,image,pred,lon,lat
1815,Go Cong Town-199.jpeg,0.9490486532449722,106.67448245318344E,10.345533136992373N
1816,Thanh Liêm District-5223.jpeg,0.9490459486842155,105.95633875177664E,20.473352280439503N
1817,Duy Tiên District-2284.jpeg,0.9490323141217232,105.9460942824821E,20.629478444376662N
1818,Binh Minh Town-3649.jpeg,0.949020616710186,105.83237306726312E,10.080060142953275N
1819,Thanh Liêm District-6165.jpeg,0.9489893242716788,105.95202458115568E,20.4868269480686N
1820,Hiệp Hòa District-370.jpeg,0.9489584043622016,105.95000981759576E,21.241926140833893N
1822,Go Cong Town-3789.jpeg,0.9489538222551346,106.62790196214955E,10.43311847657908N
1823,Phu Ly City-2784.jpeg,0.9489520266652108,105.90130015169242E,20.55588934435344N
1825,Hiệp Hòa District-5434.jpeg,0.9489104002714156,105.89214763626593E,21.333553880712092N
1826,Thanh Liêm District-6909.jpeg,0.9489055946469308,105.95346263802935E,20.498954148934796N
1827,Go Cong Town-1294.jpeg,0.9489019513130188,106.67722248206778E,10.37652487253844N
1829,Long Hồ District-2657.jpeg,0.9488339871168135,106.01805679011294E,10.176897239243907N
1830,Mỹ Hào District-126.jpeg,0.9488074705004692,106.09208777598282E,20.886724673671143N
1832,Hiệp Hòa District-643.jpeg,0.9487904533743858,105.95724259026198E,21.25135840817429N
1835,Mỹ Hào District-660.jpeg,0.9487343654036522,106.13536618739911E,20.904241741589008N
1838,Hiệp Hòa District-5032.jpeg,0.9487160444259644,105.89938040893217E,21.328164013660434N
1839,Hoa Lư District-4349.jpeg,0.9487043097615242,105.95070772529417E,20.299051781534466N
1843,Bến Tre City-2310.jpeg,0.9486728608608246,106.35021575900566E,10.24888987365182N
1844,Bac Giang City-3106.jpeg,0.948666401207447,106.16925674572272E,21.30630161250364N
1845,Binh Minh Town-1553.jpeg,0.9486416354775428,105.82279391278752E,10.031551339489894N
1846,Long Hồ District-6520.jpeg,0.9486049115657806,105.99477962037295E,10.256397778253358N
1847,Tây Ninh City-3002.jpeg,0.9485994055867196,106.09763946855021E,11.364992108359088N
1848,Yên Mỹ District-1260.jpeg,0.9485726058483124,106.0608958532426E,20.874749542154575N
