,image,pred,lon,lat
1648,Hoài Đức District-1974.jpeg,0.6936162076890469,105.67213097354968E,21.022645244213674N
1649,Bà Rịa-1486.jpeg,0.6929791253060102,107.20734921555069E,10.495683872572512N
1651,Cà Mau-3053.jpeg,0.6926826685667038,105.24251434343404E,9.138534506573302N
1657,Hoài Đức District-177.jpeg,0.6914948523044586,105.74286512376831E,20.968746573697146N
1658,Bà Rịa-2315.jpeg,0.6913657328113914,107.16760609597144E,10.510506006964109N
1660,Cà Mau-3200.jpeg,0.6904292739927769,105.15515892306227E,9.141229440099043N
1662,Hoài Đức District-3757.jpeg,0.6901846826076508,105.72842958290738E,21.064416713863977N
1664,Cà Mau-4332.jpeg,0.6890960931777954,105.14014471018588E,9.154704107727737N
1667,Cà Mau-1031.jpeg,0.6887121349573135,105.25070391409388E,9.104847837501563N
1668,Sóc Trăng-2612.jpeg,0.6884450856596231,105.99686956017732E,9.62409010728617N
1672,Bà Rịa-3822.jpeg,0.6870790217071772,107.17445835796785E,10.536107875458692N
1675,Cà Mau-7747.jpeg,0.6861294079571962,105.1920119910316E,9.191085710325217N
1676,Hoài Đức District-1376.jpeg,0.6859738714993,105.66202609494702E,21.005128176295795N
1677,Sóc Trăng-1708.jpeg,0.6858286969363689,105.95313691366383E,9.606573039368852N
1678,Cà Mau-8027.jpeg,0.6857468336820602,105.14014471018588E,9.19512811061383N
1682,Cà Mau-9637.jpeg,0.6846446990966797,105.18655227725836E,9.218035045582615N
1684,Cà Mau-7662.jpeg,0.6844414919614792,105.22613520211434E,9.18973824356235N
1688,Cà Mau-7930.jpeg,0.6828824281692505,105.14969920928903E,9.193780643850957N
1689,Bà Rịa-4214.jpeg,0.6827585324645042,107.24024007313356E,10.54419267603593N
1691,Sóc Trăng-1893.jpeg,0.682615015655756,106.02420246424826E,9.609267972894592N
1693,Cà Mau-8930.jpeg,0.6824926361441612,105.16061863683551E,9.207255311479656N
1696,Cà Mau-6448.jpeg,0.6817598836496472,105.1769977781552E,9.176263575933655N
1699,Cà Mau-11105.jpeg,0.6799010504037142,105.25206884253721E,9.24228944731427N
1701,Cà Mau-8701.jpeg,0.679478120058775,105.22613520211434E,9.203212911191047N
1707,Bà Rịa-2668.jpeg,0.6786683015525341,107.20049695355428E,10.515895874015602N
1710,Hoài Đức District-2075.jpeg,0.6778603009879589,105.6692438653775E,21.02534017773949N
1711,Bà Rịa-1740.jpeg,0.6778209898620844,107.15664247677712E,10.501073739624001N
1714,Cà Mau-1969.jpeg,0.6762069799005985,105.23295984433088E,9.122364905418868N
1715,Cà Mau-6679.jpeg,0.6761032491922379,105.15106413773236E,9.178958509459392N
1719,Hoài Đức District-949.jpeg,0.6752465963363647,105.69234073075502E,20.99300097542958N
1721,Bà Rịa-4160.jpeg,0.6750470399856567,107.23201735873785E,10.542845209273057N
1726,Bà Rịa-1856.jpeg,0.6735193207859993,107.21283102514784E,10.502421206386876N
1727,Sóc Trăng-3465.jpeg,0.6735020168125629,106.02010252863764E,9.644302108729232N
1728,Cà Mau-9220.jpeg,0.672978363931179,105.18518734881506E,9.211297711768264N
1735,Bà Rịa-4435.jpeg,0.672248974442482,107.21146057274855E,10.552277476613169N
1736,Cà Mau-4105.jpeg,0.6714653298258781,105.15652385150557E,9.152009174201998N
1746,Cà Mau-6207.jpeg,0.6704578157514334,105.19610677636153E,9.173568642407915N
1748,Cà Mau-3557.jpeg,0.6702970787882805,105.19337691947491E,9.145271840387652N
1753,Sóc Trăng-1601.jpeg,0.6700190007686615,105.98320310814186E,9.60387810584311N
1756,Cà Mau-10978.jpeg,0.6694183256477118,105.18655227725836E,9.240941980551401N
1757,Hoài Đức District-2499.jpeg,0.6692992886528373,105.73997801559614E,21.034772445079884N
