,image,pred,lon,lat
928,Hiep Binh Phuoc Ward-235.jpeg,0.066924980841577,106.70195072782592E,10.85156427094965N
934,Binh Chieu Ward-58.jpeg,0.0666915415786206,106.74963566276224E,10.87434710333131N
935,Tam Binh Ward-81.jpeg,0.066661471966654,106.72575336999209E,10.86909803714224N
937,Hiep Binh Phuoc Ward-211.jpeg,0.066586434841156,106.69920670927529E,10.850216804186774N
942,Hiep Binh Phuoc Ward-0.jpeg,0.0662345634773373,106.70606675565179E,10.835394669795166N
961,Hiep Binh Phuoc Ward-30.jpeg,0.0655924351885914,106.70195072782592E,10.838089603320915N
971,Linh Xuan Ward-23.jpeg,0.064938232768327,106.7673359829322E,10.872308903330724N
981,Hiep Binh Phuoc Ward-198.jpeg,0.0646113087423145,106.7101827834777E,10.848869337423903N
1009,Hiep Binh Phuoc Ward-368.jpeg,0.0626031551510095,106.72253086695538E,10.865038938578387N
1010,Hiep Binh Phuoc Ward-47.jpeg,0.0625621802173554,106.69920670927529E,10.839437070083784N
1012,Hiep Binh Phuoc Ward-263.jpeg,0.0624906327575445,106.7170428298542E,10.852911737712523N
1027,Tam Binh Ward-24.jpeg,0.0618533976376056,106.72575336999209E,10.86370817009075N
1033,Hiep Binh Phuoc Ward-283.jpeg,0.0614727823995053,106.7170428298542E,10.855606671238268N
1038,Hiep Binh Phuoc Ward-438.jpeg,0.0609634020365774,106.72115885768011E,10.873123739155629N
1042,Linh Xuan Ward-5.jpeg,0.0605973629280924,106.77831307562371E,10.869613969804979N
1048,Linh Xuan Ward-0.jpeg,0.0599732846021652,106.77145239269153E,10.869613969804979N
1057,Tam Binh Ward-23.jpeg,0.0595439276657998,106.73810199992089E,10.862360703327875N
1074,Hiep Binh Phuoc Ward-259.jpeg,0.0585819948464632,106.7074387649271E,10.852911737712523N
1076,Binh Chieu Ward-252.jpeg,0.058380136732012,106.71395984676897E,10.88647430419717N
1090,Hiep Binh Phuoc Ward-86.jpeg,0.0570748574100434,106.69920670927529E,10.842132003609533N
1094,Binh Chieu Ward-16.jpeg,0.0566775547340512,106.72082058061385E,10.872999636568434N
1142,Hiep Binh Phuoc Ward-113.jpeg,0.0498065040446817,106.70881077420239E,10.843479470372408N
