,epoch,train,val
0,1,84.37500000000001,94.11764705882352
1,2,88.61712135465663,94.67723669309174
2,3,91.21495327102804,94.88054607508532
3,4,91.43389199255121,95.02262443438913
4,5,92.32192414431081,95.4337899543379
5,6,92.8440366972477,95.14124293785311
6,7,93.8134810710988,94.06494960806272
7,8,94.52554744525547,95.14124293785311
8,9,94.74654377880185,94.64285714285714
9,10,96.18874773139746,94.53734671125974
10,11,95.5656108597285,94.93813273340832
11,12,96.73913043478262,95.02262443438913
12,13,97.01357466063348,95.36723163841809
13,14,97.55213055303716,94.09141583054627
14,15,97.29241877256318,94.92671927846673
15,16,97.38503155996393,94.50056116722784
16,17,98.0108499095841,94.5945945945946
17,18,98.38420107719928,95.18477043673013
18,19,98.10640216411181,94.74860335195531
19,20,98.28982898289829,94.61883408071749
