,epoch,train,val
0,1,93.05555555555554,84.92871690427698
1,2,95.27104959630911,85.1063829787234
2,3,96.10091743119267,85.3061224489796
3,4,95.98163030998852,84.37180796731359
4,5,96.13636363636364,85.82914572864323
5,6,97.03872437357631,86.20342396777441
6,7,97.05215419501134,84.3298969072165
7,8,97.72209567198178,84.84848484848484
8,9,98.18181818181819,84.12371134020619
9,10,98.29351535836179,85.13650151668351
10,11,98.42342342342343,83.91752577319588
11,12,98.75424688561722,84.16751787538304
12,13,99.3212669683258,84.6938775510204
13,14,98.41628959276018,86.85258964143426
14,15,99.20903954802259,85.82995951417004
15,16,98.98534385569334,84.71794871794872
16,17,99.54954954954955,86.00201409869082
17,18,98.64253393665157,85.68527918781726
18,19,99.09297052154196,85.97014925373134
19,20,99.32432432432432,86.82634730538922
