image,category,pred1,pred2,diff,lon,lat
Yên Mỹ District-944.jpeg,0,0.7137339,0.9529812,0.23924729999999994,20.917868478567886N,106.0190685334771E
Cao Lanh City-598.jpeg,0,0.9612323,0.72362494,0.23760736000000005,10.448663672559034N,105.63587015842995E
Sa Đéc City-129.jpeg,0,0.6611882,0.8965692,0.23538099999999995,10.281540804311488N,105.7572980081781E
Hiệp Hòa District-1264.jpeg,0,0.55457085,0.7889933,0.23442245000000006,21.32681654689765N,106.0208909897248E
Tam Điệp-34.jpeg,0,0.633607,0.86273307,0.22912606999999996,20.11161067313938N,105.93258240179902E
Châu Thành District-679.jpeg,0,0.81839716,0.59075576,0.2276414,10.273176471933965N,106.26766406240692E
Cai Lậy Town-772.jpeg,0,0.69172645,0.91489995,0.22317350000000002,10.419452707800412N,106.16216305188868E
Mỹ Hào District-764.jpeg,0,0.7321576,0.95314485,0.22098725000000008,20.952750545053963N,106.04159629599714E
Tam Điệp-3.jpeg,0,0.70556444,0.9256198,0.22005536000000003,20.103525872561924N,105.92684074811659E
Yên Mỹ District-540.jpeg,0,0.7417163,0.9572757,0.21555939999999996,20.88822420978376N,106.08253067381024E
Phu Ly City-922.jpeg,0,0.9545545,0.7400232,0.21453129999999998,20.57475387903431N,105.90993402876019E
Cai Lậy Town-1587.jpeg,0,0.8674867,0.65632313,0.21116357000000008,10.48143617889251N,106.15394254116356E
Binh Minh Town-731.jpeg,0,0.95273936,0.7416379,0.21110146000000007,10.061195608273023N,105.80500405447557E
Tây Ninh City-1598.jpeg,0,0.75744534,0.55299556,0.20444977999999991,11.42293317916263N,106.16636043841967E
Long Hồ District-283.jpeg,0,0.7157977,0.9201702,0.20437250000000007,10.159380171326553N,105.92084037531647E
Tam Điệp-72.jpeg,0,0.69482404,0.89419824,0.19937420000000006,20.117000540191025N,105.94119488232268E
Bac Giang City-293.jpeg,0,0.7569707,0.9549053,0.19793459999999996,21.267225076379173N,106.1562431301475E
Long Xuyen City-652.jpeg,0,0.7003012,0.50906503,0.19123616999999993,10.366398540735302N,105.45228581568648E
Binh Minh Town-877.jpeg,0,0.8875239,0.699175,0.18834890000000004,10.074670275901731N,105.85974208005031E
Tam Điệp-431.jpeg,0,0.7531852,0.5653426,0.18784259999999997,20.143949875449223N,105.93258240179902E
Phu Ly City-880.jpeg,0,0.7027225,0.8890718,0.18634929999999994,20.569364011982657N,105.94446953703171E
