image,category,pred1,pred2,diff,lon,lat
Hiệp Hòa District-2072.jpeg,3,0.033872668,0.04981153,0.015938861999999998,21.375325350362658N,105.98328057186043E
Long Hồ District-553.jpeg,3,0.025309425,0.041247938,0.015938512999999998,10.172854838955264N,105.90167094141293E
Tây Ninh City-1558.jpeg,3,0.0677518,0.05182166,0.015930140000000002,11.420238245636881N,106.1416208892667E
Mỹ Tho-814.jpeg,3,0.054887183,0.03896019,0.015926993,10.385304074265676N,106.39849950825668E
Châu Thành District-1911.jpeg,3,0.05999346,0.044074286,0.015919174,10.305515674242878N,106.21288434266764E
Châu Thành District-2506.jpeg,3,0.06118942,0.045270965,0.015918454999999998,10.324380208923074N,106.2950539222766E
Châu Thành District-835.jpeg,3,0.06623393,0.05032003,0.015913899999999995,10.275871405459705N,106.42926423563793E
Binh Minh Town-976.jpeg,3,0.026054502,0.04196591,0.015911408000000002,10.08814494353044N,105.7995302519181E
Long Hồ District-1193.jpeg,3,0.06095531,0.045047317,0.015907992999999995,10.210583908315655N,105.92631735643175E
Bac Giang City-761.jpeg,3,0.033804845,0.049712423,0.015907578,21.304954145740837N,106.1562431301475E
Châu Thành District-2266.jpeg,3,0.062182225,0.046274666,0.015907559,10.313600474820104N,106.42652524965095E
Châu Thành District-1577.jpeg,3,0.059266932,0.043360464,0.015906468,10.294735940139905N,106.3909184318204E
Cai Lậy Town-1164.jpeg,3,0.05059684,0.03469122,0.015905619999999995,10.449096976583586N,106.11832032802134E
Cao Lanh City-603.jpeg,3,0.066448644,0.050544024,0.01590462,10.448663672559034N,105.64957253710186E
Châu Thành District-1829.jpeg,3,0.094328195,0.07842761,0.01590058500000001,10.302820740717133N,106.25396913247211E
Long Hồ District-499.jpeg,3,0.062289245,0.046388857,0.015900388,10.170159905429522N,105.90988641308587E
Hiệp Hòa District-657.jpeg,3,0.033769198,0.04966634,0.015897142000000003,21.291782411061817N,105.93699082679657E
Binh Minh Town-222.jpeg,3,0.015059878,0.030954625,0.015894747,10.015381738335417N,105.86795278388654E
Bến Tre City-701.jpeg,3,0.055834714,0.07172728,0.015892566000000004,10.256974674229012N,106.38992444280454E
Bac Giang City-697.jpeg,3,0.05278195,0.036889832,0.015892118000000004,21.296869345163337N,106.2227571653098E
Chau Doc City-287.jpeg,3,0.06149237,0.04560068,0.01589169,10.652666072617405N,105.03843011635063E
Long Hồ District-1195.jpeg,3,0.058926757,0.04303998,0.015886777000000005,10.210583908315655N,105.93179433754705E
Thanh Liêm District-379.jpeg,3,0.059845008,0.043962274,0.015882733999999996,20.418106143160266N,105.9247015005563E
Cao Lanh City-575.jpeg,3,0.022933306,0.038814645,0.015881339,10.44596873903329N,105.67149634297695E
Bến Tre City-527.jpeg,3,0.17524153,0.15936054,0.01588099000000001,10.24619494012604N,106.33789237437864E
Châu Thành District-1843.jpeg,3,0.058878493,0.04299761,0.015880883,10.302820740717133N,106.29231493628963E
Bac Giang City-65.jpeg,3,0.042070605,0.05795072,0.015880115,21.240275741120847N,106.17937844672568E
Long Hồ District-2180.jpeg,3,0.06718213,0.051304348,0.015877782000000007,10.299516714665156N,106.00847207316117E
Tây Ninh City-1220.jpeg,3,0.058047168,0.042170353,0.015876815000000002,11.393288910379397N,106.17185811600922E
Yên Mỹ District-164.jpeg,3,0.036306396,0.052178748,0.015872352,20.863969808051312N,106.01618389073467E
Cao Lanh City-278.jpeg,3,0.065096825,0.049224593,0.015872232,10.427104204353089N,105.66053444003941E
Mỹ Hào District-292.jpeg,3,0.05062842,0.03475633,0.01587209,20.917716409218183N,106.11084175426323E
Long Hồ District-1808.jpeg,3,0.06010708,0.044236112,0.015870968,10.272567379407732N,105.99477962037294E
Chau Doc City-255.jpeg,3,0.06261574,0.046746884,0.015868856,10.649971139091662N,105.03843011635063E
Hung Yen City-578.jpeg,3,0.056875203,0.04100726,0.015867943000000002,20.669121477339324N,106.09216507343562E
Châu Thành District-749.jpeg,3,0.058983933,0.04311669,0.015867243000000003,10.275871405459705N,106.18275549681101E
Hung Yen City-766.jpeg,3,0.030809484,0.046672326,0.015862842,20.693375879071755N,106.07776432369208E
Sa Đéc City-92.jpeg,3,0.056052614,0.04019189,0.015860724,10.278845870785746N,105.71620900188725E
Bến Tre City-824.jpeg,3,0.05479926,0.038939722,0.015859538,10.270449341857722N,106.34884649404725E
Long Hồ District-1418.jpeg,3,0.06691124,0.05105221,0.015859029999999996,10.22675350947011N,106.01942603539176E
Cao Lanh City-490.jpeg,3,0.05276433,0.036907583,0.015856746999999997,10.440578871981804N,105.66053444003941E
Châu Thành District-1431.jpeg,3,0.061246257,0.045394156,0.015852101,10.292041006614165N,106.27588102036783E
Phu Ly City-371.jpeg,3,0.057988066,0.042140145,0.015847921,20.534329876146938N,105.8897883156018E
Thanh Liêm District-1331.jpeg,3,0.04919958,0.03335347,0.015846109999999997,20.47469974720256N,105.93045372805089E
Phu Ly City-365.jpeg,3,0.049736932,0.033892028,0.015844904,20.531634942621114N,105.99627279943898E
Châu Thành District-2412.jpeg,3,0.06904983,0.05320688,0.01584295000000001,10.318990341871588N,106.3827014738595E
Long Xuyen City-1154.jpeg,3,0.047627088,0.03178522,0.015841867999999995,10.412212410672934N,105.40297128785494E
Hiệp Hòa District-2451.jpeg,3,0.04482333,0.028986694,0.015836636,21.423834153827674N,105.963028808395E
Tây Ninh City-642.jpeg,3,0.05706923,0.04123446,0.015834769999999998,11.35555984101892N,106.17735579359876E
Châu Thành District-1153.jpeg,3,0.069486305,0.053655937,0.015830367999999997,10.283956206036935N,106.39639640379431E
Ninh Bình-526.jpeg,3,0.0699913,0.054161426,0.015829874000000008,20.27117174426389N,105.97445293692057E
Hiệp Hòa District-1703.jpeg,3,0.052909754,0.03708444,0.015825314,21.351070948630156N,105.97460124466096E
Thanh Liêm District-872.jpeg,3,0.05420963,0.0383857,0.01582393,20.447750411944323N,105.98222377550239E
Mỹ Tho-193.jpeg,3,0.07624911,0.060425844,0.015823265999999996,10.34218513785379N,106.4067183533127E
Châu Thành District-1009.jpeg,3,0.05437932,0.0702011,0.01582178,10.281261272511195N,106.30600986622444E
Tam Điệp-1237.jpeg,3,0.0552395,0.03941772,0.015821779999999994,20.200543479491447N,105.8751658649747E
Thanh Liêm District-1730.jpeg,3,0.058887023,0.043067172,0.015819850999999996,20.498954148934974N,105.93332984179821E
Chau Doc City-561.jpeg,3,0.053415816,0.037601344,0.015814471999999996,10.67153060729762N,105.05214267666935E
Long Hồ District-1882.jpeg,3,0.063552596,0.07936704,0.015814443999999997,10.277957246459216N,105.99751811093057E
Long Hồ District-64.jpeg,3,0.08313303,0.06731942,0.015813609999999992,10.145905503697845N,105.94822528089294E
Hiệp Hòa District-2.jpeg,3,0.035799135,0.051612735,0.015813599999999997,21.224409072916N,105.97460124466096E
Vĩnh Long-430.jpeg,3,0.05357988,0.0693929,0.01581301999999999,10.259777138980084N,105.9336346025327E
Hoa Lư District-34.jpeg,3,0.06491206,0.049099408,0.015812651999999996,20.18721204021305N,105.9449627742907E
Vĩnh Long-567.jpeg,3,0.062376603,0.046564925,0.015811678000000003,10.270556873083052N,105.9336346025327E
Yên Mỹ District-495.jpeg,3,0.027162755,0.042971317,0.015808562,20.885529276257937N,106.073876745583E
Sa Đéc City-460.jpeg,3,0.054369193,0.038560923,0.015808270000000006,10.327354674249115N,105.7381231385757E
Yên Mỹ District-1016.jpeg,3,0.027358532,0.04316542,0.015806888,20.92325834561954N,106.05079960364367E
Tây Ninh City-920.jpeg,3,0.071389385,0.055583533,0.015805852000000002,11.374424375699158N,106.16361159962487E
Thái Bình-255.jpeg,3,0.011311051,0.027115319,0.015804267999999996,20.43924784201707N,106.36658880665104E
Ninh Bình-95.jpeg,3,0.042769983,0.05857141,0.015801427,20.222662940799108N,105.97158055286475E
Hung Yen City-857.jpeg,3,0.07310431,0.057304014,0.015800296000000005,20.7068505467009N,106.03456207446143E
Châu Thành District-1109.jpeg,3,0.049093276,0.033295654,0.015797621999999997,10.283956206036935N,106.27588102036783E
Duy Tiên District-1304.jpeg,3,0.034512065,0.05030918,0.015797115,20.672597380789963N,105.92449721044969E
Hiệp Hòa District-993.jpeg,3,0.05257906,0.03678499,0.01579407,21.313341879268485N,105.89938040893217E
Thái Bình-711.jpeg,3,0.03371813,0.017925618,0.015792511999999998,20.48236677843025N,106.34357874733641E
Binh Minh Town-965.jpeg,3,0.04965338,0.03386444,0.015788939999999994,10.085450010004697N,105.83510996854169E
Binh Minh Town-800.jpeg,3,0.06592856,0.05014039,0.015788169999999997,10.066585475324505N,105.85426827749285E
Hoa Lư District-612.jpeg,3,0.062297996,0.046509877,0.015788119000000003,20.249195511306937N,105.90762059276817E
Tây Ninh City-1408.jpeg,3,0.06771406,0.051928297,0.015785763000000008,11.406763578008139N,106.16361159962487E
Long Xuyen City-923.jpeg,3,0.044658415,0.028873084,0.015785331,10.390652942466986N,105.37557432794853E
Mỹ Hào District-156.jpeg,3,0.047323953,0.031539463,0.015784490000000005,20.904241741589047N,106.09930084455222E
Hiệp Hòa District-2131.jpeg,3,0.029072136,0.044855453,0.015783317000000005,21.380715217414327N,106.01221166252535E
Trà Vinh City-232.jpeg,3,0.025005879,0.04078917,0.015783290999999998,9.923014505359031N,106.33176564748287E
Duy Tiên District-1114.jpeg,3,0.061403107,0.04562154,0.015781566999999996,20.659122713160837N,105.99072823134907E
Mỹ Tho-466.jpeg,3,0.050656036,0.03487601,0.015780026000000003,10.361049672533989N,106.40397873829404E
Long Hồ District-1881.jpeg,3,0.060766596,0.044996083,0.015770513,10.277957246459216N,105.99477962037294E
Thái Bình-551.jpeg,3,0.018399425,0.0341662,0.015766775,20.46350224374949N,106.38672260855135E
Trà Vinh City-631.jpeg,3,0.03664775,0.020881116,0.015766633999999998,9.979608109399596N,106.33450174726396E
Cai Lậy Town-135.jpeg,3,0.073410526,0.057645842,0.015764684,10.373638837862776N,106.12928100898819E
Hoa Lư District-1098.jpeg,3,0.04503815,0.029274844,0.015763305999999998,20.30039924829754N,105.93921782328722E
Cao Lanh City-794.jpeg,3,0.05640621,0.040644284,0.015761925999999996,10.464833273713493N,105.63861063416432E
Binh Minh Town-587.jpeg,3,0.051373996,0.035621274,0.015752721999999997,10.047720940644316N,105.83510996854169E
Mỹ Tho-599.jpeg,3,0.05836942,0.042617913,0.015751506999999998,10.37182940663696N,106.33274874780828E
Cai Lậy Town-1319.jpeg,3,0.04573345,0.029982442,0.015751008,10.459876710686562N,106.14572203043844E
Trà Vinh City-16.jpeg,3,0.060483232,0.044735998,0.015747234,9.890675303050141N,106.34818224616954E
Châu Thành District-2141.jpeg,3,0.064192556,0.04844552,0.015747036,10.310905541294362N,106.32792175412018E
Long Xuyen City-81.jpeg,3,0.060669675,0.044924922,0.015744753,10.315194803746184N,105.4605049036584E
Hiệp Hòa District-2219.jpeg,3,0.018051166,0.03379444,0.015743274,21.388800017991827N,106.00642544439235E
Mỹ Hào District-806.jpeg,3,0.04287793,0.058619663,0.015741733,20.955445478579797N,106.03871106856937E
Duy Tiên District-843.jpeg,3,0.061814383,0.04607402,0.015740363,20.645648045531708N,105.8985807240108E
Binh Minh Town-1009.jpeg,3,0.050152678,0.034416955,0.015735723,10.090839877056181N,105.82416236342675E
Châu Thành District-882.jpeg,3,0.053195134,0.037461128,0.015734005999999995,10.27856633898545N,106.25670811845906E
Châu Thành District-2636.jpeg,3,0.06815346,0.052420802,0.015732657999999997,10.332465009500305N,106.37722350188557E
Duy Tiên District-219.jpeg,3,0.044856258,0.029123705,0.015732553000000003,20.602529109118507N,105.93601564886697E
Tam Điệp-912.jpeg,3,0.01755303,0.033281103,0.015728073,20.170899210707425N,105.92396992127539E
Trà Vinh City-141.jpeg,3,0.04848142,0.032757312,0.015724108,9.912234771256069N,106.30166854989055E
Hung Yen City-617.jpeg,3,0.053304553,0.037582,0.015722553,20.674511344390982N,106.0835246235895E
Mỹ Tho-74.jpeg,3,0.062386326,0.046663996,0.01572233,10.334100337276558N,106.2943941375467E
Bac Giang City-31.jpeg,3,0.04777406,0.06349323,0.015719169999999998,21.22949600701752N,106.21118950702069E
Long Hồ District-287.jpeg,3,0.07380311,0.08952129,0.015718179999999998,10.159380171326553N,105.93179433754705E
Châu Thành District-1984.jpeg,3,0.05949219,0.043776534,0.015715656,10.305515674242878N,106.41283031971612E
Phu Ly City-983.jpeg,3,0.060048543,0.044334266,0.015714277000000006,20.58014374608595N,105.93007974191856E
Cao Lanh City-368.jpeg,3,0.09872782,0.083015054,0.01571276599999999,10.432494071404573N,105.67149634297695E
Go Cong Town-460.jpeg,3,0.058028135,0.042318728,0.015709407,10.392694473692872N,106.62927197659172E
Long Xuyen City-890.jpeg,3,0.056191035,0.040487684,0.015703350999999997,10.387958008941244N,105.37009493596723E
Long Hồ District-1415.jpeg,3,0.059047822,0.043345027,0.015702795,10.22675350947011N,106.0112105637188E
Cao Lanh City-442.jpeg,3,0.057474792,0.041772734,0.015702057999999998,10.43788393845606N,105.64135110989872E
Thái Bình-808.jpeg,3,0.047953207,0.03225421,0.015698997,20.49584144605937N,106.35220751957938E
Long Xuyen City-1064.jpeg,3,0.063767925,0.048074596,0.015693329000000006,10.401432676569964N,105.4468064237052E
Mỹ Hào District-447.jpeg,3,0.032204155,0.04789692,0.015692765000000004,20.931191076847337N,106.10218607197996E
Châu Thành District-692.jpeg,3,0.071282126,0.055591065,0.015691061,10.273176471933965N,106.30327088023749E
Vĩnh Long-306.jpeg,3,0.076910004,0.061222453,0.015687551,10.251692338402854N,105.94732792022363E
Cai Lậy Town-1151.jpeg,3,0.047127947,0.03144748,0.015680467000000003,10.446402043057844N,106.18956475430575E
Yên Mỹ District-286.jpeg,3,0.042061463,0.057739392,0.015677929,20.872054608628797N,106.06522281735575E
Hoa Lư District-318.jpeg,3,0.06777319,0.052095696,0.015677494,20.216856308997084N,105.89900316626299E
Hiệp Hòa District-239.jpeg,3,0.030726673,0.046403456,0.015676783000000003,21.262138142277657N,105.93120460866358E
Tây Ninh City-540.jpeg,3,0.057782475,0.042106073,0.015676402,11.350169973967425N,106.1031371461399E
Bến Tre City-787.jpeg,3,0.047880806,0.032205075,0.015675731,10.265059474806238N,106.37075473338447E
Hoa Lư District-1036.jpeg,3,0.025544211,0.041218087,0.015673876,20.2950093812459N,105.93634534778549E
Long Hồ District-1160.jpeg,3,0.047620118,0.031952176,0.015667942000000004,10.207888974789913N,105.92631735643175E
Hiệp Hòa District-709.jpeg,3,0.03437521,0.050041966,0.015666755999999997,21.29447734458765N,105.97170813559445E
Hiệp Hòa District-2209.jpeg,3,0.0660827,0.050417338,0.015665361999999995,21.388800017991827N,105.97749435372745E
Mỹ Hào District-86.jpeg,3,0.036962498,0.052617814,0.015655315999999996,20.896156941011558N,106.09930084455222E
Long Hồ District-912.jpeg,3,0.05589165,0.040236935,0.015654715,10.189024440109716N,105.9756101864694E
Long Hồ District-1555.jpeg,3,0.05835244,0.042698022,0.015654417999999996,10.240228177098823N,106.0112105637188E
Mỹ Tho-590.jpeg,3,0.06808908,0.052439116,0.015649963999999995,10.37182940663696N,106.30809221264012E
Duy Tiên District-1135.jpeg,3,0.05181473,0.03616751,0.015647220000000003,20.66181764668667N,105.90721955282378E
Ninh Bình-513.jpeg,3,0.048820145,0.033174567,0.015645578,20.27117174426389N,105.93711194419527E
Ninh Bình-219.jpeg,3,0.055879213,0.07152388,0.015644667,20.238832541954036N,105.94285671230685E
Trà Vinh City-720.jpeg,3,0.06349718,0.047852613,0.015644566999999998,9.987692909976818N,106.36733494463738E
Tây Ninh City-1510.jpeg,3,0.05304724,0.037404705,0.015642535,11.414848378585386N,106.17185811600922E
Thái Bình-249.jpeg,3,0.048976567,0.033335406,0.015641161,20.43924784201707N,106.34933126216508E
Hoa Lư District-363.jpeg,3,0.02044102,0.036081124,0.015640104,20.2195512425229N,105.95070772529417E
Long Xuyen City-195.jpeg,3,0.064581566,0.04894344,0.01563812600000001,10.325974537849158N,105.48516216757416E
Tây Ninh City-726.jpeg,3,0.09911413,0.11475217,0.015638040000000006,11.363644641596165N,106.07839759698693E
Cao Lanh City-877.jpeg,3,0.037277162,0.021639407,0.015637755000000003,10.472918074290726N,105.6249082554924E
Cai Lậy Town-1133.jpeg,3,0.06189159,0.07752699,0.0156354,10.446402043057844N,106.14024168995502E
Thái Bình-130.jpeg,3,0.024960833,0.040595245,0.015634412,20.42846810791378N,106.36658880665104E
Sa Đéc City-387.jpeg,3,0.05515151,0.039520077,0.015631433,10.316574940146145N,105.74634093983386E
Tây Ninh City-51.jpeg,3,0.0446556,0.029025322,0.015630277999999997,11.304356104029708N,106.0921417909608E
Tây Ninh City-793.jpeg,3,0.045474015,0.06110369,0.015629675000000003,11.366339575121915N,106.15536508324057E
Cao Lanh City-403.jpeg,3,0.06833142,0.052703764,0.015627656000000004,10.435189004930317N,105.64957253710186E
Tây Ninh City-525.jpeg,3,0.06727666,0.051653616,0.015623044000000003,11.347475040441676N,106.15261624444578E
Long Hồ District-2097.jpeg,3,0.06114374,0.04552356,0.015620180000000004,10.29412684761367N,105.9701332053541E
Thanh Liêm District-334.jpeg,3,0.018922241,0.034541488,0.015619247000000003,20.415411209634446N,105.89306424933592E
Hiệp Hòa District-2301.jpeg,3,0.030468848,0.04608385,0.015615002000000003,21.396884818569333N,106.00931855345885E
Long Hồ District-1580.jpeg,3,0.054223146,0.038610578,0.015612568,10.242923110624565N,106.01942603539176E
Châu Thành District-1152.jpeg,3,0.17069876,0.15508884,0.01560992,10.283956206036935N,106.39365741780736E
Phu Ly City-548.jpeg,3,0.018779876,0.03438699,0.015607113999999998,20.545109610250236N,105.91568994680544E
Duy Tiên District-425.jpeg,3,0.04767857,0.03207395,0.015604620000000007,20.62139364379928N,105.94465447767993E
Tam Điệp-1109.jpeg,3,0.046861906,0.031257417,0.015604489,20.184373878336533N,105.84071594288008E
Cai Lậy Town-1585.jpeg,3,0.057888977,0.04228516,0.015603816999999999,10.48143617889251N,106.14846220068013E
Chau Doc City-1216.jpeg,3,0.054408517,0.03880681,0.015601707000000006,10.730819144864002N,105.10699291794428E
Chau Doc City-636.jpeg,3,0.0799875,0.06438726,0.015600240000000001,10.674225540823365N,105.13990306270927E
Cai Lậy Town-585.jpeg,3,0.062481977,0.046883285,0.015598692000000004,10.405978040171693N,106.10187930657109E
Tây Ninh City-1229.jpeg,3,0.038465135,0.054063715,0.01559858,11.395983843905146N,106.08114643578169E
Phu Ly City-275.jpeg,3,0.04903661,0.033439055,0.015597554999999999,20.526245075569467N,105.98188300432585E
Yên Mỹ District-992.jpeg,3,0.05906881,0.043471295,0.015597515,20.920563412093717N,106.06522281735575E
Châu Thành District-1870.jpeg,3,0.05054567,0.034948226,0.015597444000000002,10.302820740717133N,106.3662675579377E
Tam Điệp-487.jpeg,3,0.040824484,0.025228309,0.015596175,20.149339742500864N,105.87229503813346E
Trà Vinh City-679.jpeg,3,0.0933309,0.07773482,0.015596079999999998,9.984997976451078N,106.32082124835838E
Thanh Liêm District-893.jpeg,3,0.04332683,0.027731178,0.015595651999999998,20.450445345470147N,105.90169259057785E
Long Xuyen City-432.jpeg,3,0.059206113,0.043611832,0.015594280999999995,10.347534006055099N,105.44954611969584E
Cai Lậy Town-639.jpeg,3,0.044955797,0.06054485,0.015589052999999999,10.40867297369744N,106.15120237092184E
Long Xuyen City-640.jpeg,3,0.06484875,0.04926373,0.015585019999999998,10.366398540735302N,105.41940946379877E
Tây Ninh City-974.jpeg,3,0.055194788,0.07077756,0.015582772000000002,11.379814242750655N,106.08114643578169E
Thái Bình-487.jpeg,3,0.05156813,0.035985768,0.015582361999999995,20.458112376697834N,106.37234132147971E
Thanh Liêm District-1764.jpeg,3,0.055870935,0.04028928,0.015581655,20.501649082460798N,105.9160731593144E
Phu Ly City-214.jpeg,3,0.04797611,0.032396715,0.015579395000000003,20.52355014204364N,105.92144586485071E
Long Xuyen City-532.jpeg,3,0.043210443,0.058786053,0.015575609999999997,10.35831374015807N,105.39475219988303E
Sa Đéc City-287.jpeg,3,0.05732777,0.04175322,0.01557455,10.303100272517428N,105.74086240566176E
Duy Tiên District-879.jpeg,3,0.050839696,0.035272468,0.015567227999999995,20.645648045531708N,106.00224666976634E
Hung Yen City-758.jpeg,3,0.027453091,0.043015085,0.015561994000000003,20.693375879071755N,106.0547231241024E
Binh Minh Town-1053.jpeg,3,0.05514557,0.07070674,0.015561170000000006,10.096229744107665N,105.80774095575431E
Bến Tre City-421.jpeg,3,0.05866394,0.043103997,0.015559943,10.238110139548812N,106.38170885305308E
Châu Thành District-1220.jpeg,3,0.055932444,0.07148741,0.015554966000000003,10.286651139562677N,106.2786200063548E
Phu Ly City-58.jpeg,3,0.06377321,0.048218377,0.015554832999999997,20.50738054088869N,105.90130015169233E
Thái Bình-193.jpeg,3,0.018045625,0.033599973,0.015554347999999999,20.433857974965427N,106.38384635113702E
Yên Mỹ District-758.jpeg,3,0.055142913,0.039597183,0.01554573,20.90439381093874N,105.99599139153777E
Sa Đéc City-478.jpeg,3,0.05079687,0.035252165,0.015544704999999999,10.330049607774859N,105.74360167274783E
Thái Bình-823.jpeg,3,0.03938652,0.023847668,0.015538852000000002,20.498536379585197N,106.35508377699372E
Châu Thành District-473.jpeg,3,0.057861485,0.042334586,0.015526898999999997,10.267786604882478N,106.20740637069368E
Châu Thành District-1761.jpeg,3,0.047768373,0.032244433,0.01552394,10.300125807191392N,106.33887769806806E
Thanh Liêm District-1719.jpeg,3,0.057648353,0.042124722,0.015523630999999996,20.498954148934974N,105.89306424933592E
Duy Tiên District-1380.jpeg,3,0.0452931,0.029769665,0.015523435000000002,20.67798724784162N,105.99072823134907E
Châu Thành District-999.jpeg,3,0.024887268,0.04040952,0.015522251999999997,10.281261272511195N,106.2786200063548E
Sa Đéc City-556.jpeg,3,0.051889777,0.03637013,0.015519646999999998,10.343524275403572N,105.74634093983386E
Yên Mỹ District-1040.jpeg,3,0.06546836,0.0499507,0.015517660000000003,20.925953279145364N,106.05079960364367E
Trà Vinh City-312.jpeg,3,0.06333516,0.047817893,0.015517267000000001,9.939184106513476N,106.33450174726396E
Trà Vinh City-242.jpeg,3,0.05123861,0.03572719,0.015511419999999998,9.925709438884772N,106.30440464967168E
Hung Yen City-770.jpeg,3,0.05958089,0.044070233,0.015510656999999997,20.69607081259759N,106.02880177456402E
Bến Tre City-178.jpeg,3,0.1262681,0.11075881,0.015509289999999995,10.216550671342874N,106.398140032556E
Mỹ Hào District-388.jpeg,3,0.043873202,0.059376687,0.015503484999999997,20.925801209795672N,106.11372698169097E
Hoa Lư District-751.jpeg,3,0.01890739,0.03441066,0.015503270000000003,20.26806004598768N,105.91911049477513E
Cao Lanh City-743.jpeg,3,0.056052268,0.040549293,0.015502975000000002,10.462138340187751N,105.58106064374226E
Ninh Bình-221.jpeg,3,0.062174845,0.046672545,0.015502299999999997,20.238832541954036N,105.94860148041842E
Hung Yen City-685.jpeg,3,0.045241214,0.029738972,0.015502242000000003,20.685291078494277N,106.03456207446143E
Duy Tiên District-928.jpeg,3,0.05771906,0.04221702,0.015502040000000002,20.648342979057535N,106.00224666976634E
Châu Thành District-697.jpeg,3,0.06154076,0.046040583,0.015500176999999997,10.273176471933965N,106.3169658101723E
Hiệp Hòa District-907.jpeg,3,0.033812508,0.01831946,0.015493047999999999,21.307952012216816N,105.91963217239763E
Chau Doc City-923.jpeg,3,0.055228963,0.039736543,0.01549242,10.693090075503575N,105.09328035762556E
Vĩnh Long-561.jpeg,3,0.050131466,0.034639873,0.015491592999999998,10.270556873083052N,105.91720262130363E
Chau Doc City-277.jpeg,3,0.05434853,0.038860146,0.015488384000000001,10.649971139091662N,105.09876538175307E
Bến Tre City-565.jpeg,3,0.05912591,0.043638375,0.015487534999999997,10.248889873651782N,106.32419972479289E
Long Hồ District-1874.jpeg,3,0.053628113,0.038141385,0.015486727999999998,10.277957246459216N,105.9756101864694E
Tây Ninh City-475.jpeg,3,0.05037845,0.03489591,0.015482539999999996,11.34478010691593N,106.10588598493464E
Sa Đéc City-302.jpeg,3,0.052335408,0.03685341,0.015481997999999997,10.305795206043175N,105.72716607023149E
Duy Tiên District-1389.jpeg,3,0.036178067,0.05165912,0.015481053000000002,20.67798724784162N,106.01664471778795E
Tây Ninh City-359.jpeg,3,0.047652263,0.032175284,0.015476979000000002,11.334000372812936N,106.12512785649807E
Mỹ Hào District-270.jpeg,3,0.051951084,0.067427404,0.015476319999999995,20.915021475692363N,106.13103834625751E
Go Cong Town-1044.jpeg,3,0.068520814,0.05304502,0.015475794000000001,10.43850834363051N,106.68681258316299E
Long Hồ District-346.jpeg,3,0.06470763,0.0492391,0.015468530000000001,10.162075104852295N,105.94548679033528E
Phu Ly City-233.jpeg,3,0.05590868,0.04044461,0.015464070000000003,20.52355014204364N,105.9761270862806E
Cai Lậy Town-1209.jpeg,3,0.05586691,0.04040858,0.01545833,10.451791910109334N,106.1375015197133E
Sa Đéc City-753.jpeg,3,0.056237433,0.040780753,0.01545668,10.381253344763978N,105.71620900188725E
Yên Mỹ District-44.jpeg,3,0.053675793,0.038219374,0.015456418999999999,20.847800206896345N,106.05079960364367E
Mỹ Hào District-384.jpeg,3,0.026517045,0.04196299,0.015445944999999999,20.925801209795672N,106.10218607197996E
Châu Thành District-2132.jpeg,3,0.059834648,0.04439185,0.015442798,10.310905541294362N,106.30327088023749E
Duy Tiên District-794.jpeg,3,0.025540398,0.04098266,0.015442261999999998,20.64295311200589N,105.90146033361509E
Vĩnh Long-550.jpeg,3,0.058589384,0.04314761,0.015441773999999998,10.270556873083052N,105.88707732238365E
Hiệp Hòa District-982.jpeg,3,0.03142564,0.04686227,0.01543663,21.31064694574265N,106.00063922625938E
Thanh Liêm District-1520.jpeg,3,0.03239383,0.047830425,0.015436595000000004,20.48547948130585N,105.9247015005563E
Hung Yen City-82.jpeg,3,0.06320124,0.047765534,0.015435706000000007,20.617917740348634N,106.09216507343562E
Thanh Liêm District-1842.jpeg,3,0.062769376,0.047335546,0.015433830000000003,20.507038949512445N,105.89594036308324E
Hung Yen City-641.jpeg,3,0.06155191,0.046121933,0.015429977000000004,20.679901211442633N,106.03456207446143E
Mỹ Tho-101.jpeg,3,0.06899715,0.053568978,0.01542817199999999,10.336795270802302N,106.31631105769615E
Duy Tiên District-1098.jpeg,3,0.057757996,0.042331543,0.015426453,20.659122713160837N,105.93601564886697E
Long Xuyen City-820.jpeg,3,0.06826703,0.05284077,0.015426260000000004,10.37987320836402N,105.45228581568648E
Bến Tre City-84.jpeg,3,0.13340312,0.117978156,0.015424963999999985,10.205770937239905N,106.398140032556E
Yên Mỹ District-170.jpeg,3,0.047276963,0.06270046,0.015423497000000001,20.863969808051312N,106.03349174718917E
Cai Lậy Town-1627.jpeg,3,0.029394712,0.044815905,0.015421193000000003,10.489520979469743N,106.09091862560427E
Châu Thành District-1213.jpeg,3,0.056032073,0.07144618,0.015414106999999996,10.286651139562677N,106.25944710444604E
Tây Ninh City-918.jpeg,3,0.056986004,0.041572765,0.015413239000000002,11.374424375699158N,106.15811392203533E
Phu Ly City-342.jpeg,3,0.04770532,0.032292545,0.015412775000000004,20.531634942621114N,105.93007974191856E
Long Xuyen City-163.jpeg,3,0.044182032,0.059593182,0.015411149999999998,10.323279604323412N,105.47694307960224E
Hoa Lư District-790.jpeg,3,0.018593293,0.03400249,0.015409197000000003,20.27344991303933N,105.92485544577856E
Mỹ Hào District-975.jpeg,3,0.038870845,0.05427649,0.015405644999999996,20.977004946786426N,106.07044857027468E
Châu Thành District-101.jpeg,3,0.05295774,0.037552204,0.015405536000000004,10.251617003728024N,106.3169658101723E
Cao Lanh City-1042.jpeg,3,0.057308834,0.04190415,0.015404684000000002,10.486392741919444N,105.63038920696117E
