,image,pred,lon,lat
345,Hiep Binh Phuoc Ward-223.jpeg,0.0601264364086091,106.71567082057891E,10.850216804186774N
347,Binh Chieu Ward-334.jpeg,0.0598032125271856,106.7221927273828E,10.893211638011541N
354,Hiep Binh Phuoc Ward-108.jpeg,0.0587382041849195,106.70195072782592E,10.843479470372408N
358,Tam Binh Ward-114.jpeg,0.0580115877091884,106.7463344198734E,10.870445503905115N
361,Tam Binh Ward-142.jpeg,0.0575117380358278,106.73947406991294E,10.873140437430866N
364,Binh Chieu Ward-13.jpeg,0.0573727707378566,106.7414027821484E,10.87165216980556N
366,Hiep Binh Phuoc Ward-394.jpeg,0.0573415202088654,106.71978684840481E,10.867733872104134N
367,Linh Xuan Ward-93.jpeg,0.0573101574555039,106.77556880245083E,10.87769877038222N
369,Hiep Binh Phuoc Ward-440.jpeg,0.0571006459649652,106.72390287623071E,10.873123739155629N
376,Hiep Binh Phuoc Ward-360.jpeg,0.0566971583757549,106.72939091333191E,10.863691471815514N
378,Hiep Binh Phuoc Ward-265.jpeg,0.0564122172072529,106.71978684840481E,10.852911737712523N
381,Hiep Binh Phuoc Ward-126.jpeg,0.0563603895716369,106.72664689478133E,10.843479470372408N
386,Linh Xuan Ward-13.jpeg,0.0560749126598238,106.77419666586437E,10.870961436567852N
388,Hiep Binh Phuoc Ward-345.jpeg,0.0559298936277627,106.72527488550601E,10.862344005052638N
392,Tam Binh Ward-53.jpeg,0.0556650427170097,106.73261371995252E,10.866403103616495N
393,Linh Xuan Ward-220.jpeg,0.0555715193040668,106.77282452927795E,10.891173438010956N
399,Hiep Binh Phuoc Ward-336.jpeg,0.0545372455380857,106.72939091333191E,10.860996538289765N
410,Tam Binh Ward-86.jpeg,0.0542398071847856,106.73261371995252E,10.86909803714224N
411,Hiep Binh Phuoc Ward-257.jpeg,0.0541598824784159,106.70469474637649E,10.852911737712523N
417,Linh Xuan Ward-157.jpeg,0.0538738737814128,106.77694093903727E,10.883088637433714N
421,Hiep Binh Phuoc Ward-32.jpeg,0.0536337164230644,106.70469474637649E,10.838089603320915N
424,Binh Chieu Ward-224.jpeg,0.0534309530630707,106.7235648741518E,10.883779370671427N
425,Tam Binh Ward-153.jpeg,0.0533982464112341,106.74359027988919E,10.874487904193737N
430,Hiep Binh Phuoc Ward-155.jpeg,0.0529430517926812,106.70881077420239E,10.846174403898155N
431,Binh Chieu Ward-281.jpeg,0.0528970207087695,106.73042560799664E,10.887821770960048N
436,Linh Xuan Ward-130.jpeg,0.0526591236703097,106.78242948538302E,10.880393703907968N
437,Hiep Binh Phuoc Ward-204.jpeg,0.0526086925528943,106.71841483912952E,10.848869337423903N
441,Tam Binh Ward-157.jpeg,0.0521119395270943,106.72986957996837E,10.87583537095661N
446,Binh Chieu Ward-172.jpeg,0.051811845973134,106.71395984676897E,10.881084437145677N
449,Hiep Binh Phuoc Ward-136.jpeg,0.0514038908295333,106.711554792753E,10.844826937135283N
455,Hiep Binh Phuoc Ward-362.jpeg,0.0509468968957662,106.71429881130359E,10.865038938578387N
474,Hiep Binh Phuoc Ward-327.jpeg,0.0495628151111304,106.7170428298542E,10.860996538289765N
485,Tam Binh Ward-14.jpeg,0.0489242910407483,106.72575336999209E,10.862360703327875N
496,Hiep Binh Phuoc Ward-229.jpeg,0.0484267901629209,106.72390287623071E,10.850216804186774N
502,Hiep Binh Phuoc Ward-241.jpeg,0.0482267145998775,106.7101827834777E,10.85156427094965N
509,Binh Chieu Ward-283.jpeg,0.0479711014777421,106.73316990153458E,10.887821770960048N
522,Binh Chieu Ward-15.jpeg,0.0475200326181948,106.74414707568636E,10.87165216980556N
523,Hiep Binh Phuoc Ward-436.jpeg,0.0474436380900442,106.71841483912952E,10.873123739155629N
531,Binh Chieu Ward-64.jpeg,0.0472159306518733,106.7180762870759E,10.875694570094184N
538,Binh Chieu Ward-317.jpeg,0.0468880576081573,106.7180762870759E,10.891864171248669N
541,Hiep Binh Phuoc Ward-138.jpeg,0.0468346090056002,106.71429881130359E,10.844826937135283N
543,Binh Chieu Ward-54.jpeg,0.0467710942029953,106.74414707568636E,10.87434710333131N
548,Linh Xuan Ward-177.jpeg,0.0466124275699257,106.76596384634573E,10.885783570959461N
554,Binh Chieu Ward-218.jpeg,0.0464713396504521,106.71533199353793E,10.883779370671427N
561,Binh Chieu Ward-314.jpeg,0.0461191874928772,106.71395984676897E,10.891864171248669N
569,Binh Chieu Ward-5.jpeg,0.0458670556545257,106.72905346122765E,10.87165216980556N
574,Hiep Binh Phuoc Ward-49.jpeg,0.0456797694787383,106.70195072782592E,10.839437070083784N
575,Binh Chieu Ward-309.jpeg,0.0456659835763275,106.72768131445869E,10.890516704485794N
583,Hiep Binh Phuoc Ward-261.jpeg,0.0451767360791564,106.71429881130359E,10.852911737712523N
587,Hiep Binh Phuoc Ward-235.jpeg,0.0450605475343763,106.70195072782592E,10.85156427094965N
590,Hiep Binh Phuoc Ward-163.jpeg,0.0449773501604795,106.71978684840481E,10.846174403898155N
596,Binh Chieu Ward-349.jpeg,0.044795595575124,106.7180762870759E,10.897254038300163N
601,Hiep Binh Phuoc Ward-196.jpeg,0.0447065108455717,106.7074387649271E,10.848869337423903N
606,Binh Chieu Ward-11.jpeg,0.0445518610067665,106.73865848861047E,10.87165216980556N
608,Binh Chieu Ward-58.jpeg,0.044536349363625,106.74963566276224E,10.87434710333131N
615,Hiep Binh Phuoc Ward-370.jpeg,0.0443484839051961,106.72527488550601E,10.865038938578387N
624,Binh Chieu Ward-327.jpeg,0.044190090149641,106.73316990153458E,10.891864171248669N
636,Tam Binh Ward-27.jpeg,0.0438886454794555,106.72986957996837E,10.86370817009075N
643,Hiep Binh Phuoc Ward-211.jpeg,0.0436197677627205,106.69920670927529E,10.850216804186774N
646,Binh Chieu Ward-74.jpeg,0.0435267025604844,106.73179775476564E,10.875694570094184N
665,Linh Xuan Ward-202.jpeg,0.0432124924845993,106.77008025610506E,10.888478504485208N
666,Hiep Binh Phuoc Ward-311.jpeg,0.0431958041153848,106.72664689478133E,10.858301604764018N
669,Tam Binh Ward-125.jpeg,0.0431472645141184,106.73672992992879E,10.871792970667988N
680,Binh Chieu Ward-306.jpeg,0.0429635294713079,106.7235648741518E,10.890516704485794N
682,Linh Xuan Ward-82.jpeg,0.0429448350332677,106.78242948538302E,10.876351303619344N
685,Tam Binh Ward-49.jpeg,0.0429035103879869,106.72712543998416E,10.866403103616495N
686,Hiep Binh Phuoc Ward-317.jpeg,0.0428895852528512,106.71978684840481E,10.859649071526892N
690,Hiep Binh Phuoc Ward-304.jpeg,0.0428247763775289,106.7170428298542E,10.858301604764018N
727,Hiep Binh Phuoc Ward-239.jpeg,0.0418523871339857,106.7074387649271E,10.85156427094965N
743,Hiep Binh Phuoc Ward-168.jpeg,0.0416628615930676,106.72664689478133E,10.846174403898155N
749,Binh Chieu Ward-146.jpeg,0.0415112078189849,106.75100780953125E,10.878389503619928N
751,Binh Chieu Ward-61.jpeg,0.0414872239343822,106.71395984676897E,10.875694570094184N
756,Binh Chieu Ward-174.jpeg,0.0414408440701663,106.71670414030693E,10.881084437145677N
761,Linh Xuan Ward-183.jpeg,0.0414003529585897,106.77419666586437E,10.885783570959461N
762,Hiep Binh Phuoc Ward-1.jpeg,0.0413861842826008,106.7074387649271E,10.835394669795166N
775,Linh Xuan Ward-0.jpeg,0.0411537829786539,106.77145239269153E,10.869613969804979N
778,Tam Binh Ward-138.jpeg,0.04102039989084,106.73124164996044E,10.873140437430866N
782,Binh Chieu Ward-137.jpeg,0.0409455546177923,106.73865848861047E,10.878389503619928N
783,Hiep Binh Phuoc Ward-221.jpeg,0.040938404854387,106.71292680202829E,10.850216804186774N
789,Hiep Binh Phuoc Ward-273.jpeg,0.0407961746677756,106.7170428298542E,10.854259204475397N
818,Linh Xuan Ward-22.jpeg,0.0402252813801169,106.76596384634573E,10.872308903330724N
823,Hiep Binh Phuoc Ward-47.jpeg,0.0401177173480391,106.69920670927529E,10.839437070083784N
