image,pred,lon,lat
Vĩnh Long-29,0.968421459197998,10.230132870196918N,105.90898663068909E
Go Cong Town-840,0.9683681726455688,10.425033676001789N,106.67037240985691E
Long Hồ District-294,0.9683215022087097,10.159380171326553N,105.95096377145056E
Cai Lậy Town-1368,0.9678478240966797,10.462571644212304N,106.18408441382235E
Châu Thành District-556,0.9677966833114624,10.270481538408221N,106.18823346878493E
Long Xuyen City-970,0.9677319526672363,10.39334787599273N,105.42214915978941E
Vĩnh Long-52,0.9676676988601685,10.232827803722659N,105.90898663068909E
Long Hồ District-1442,0.9676392078399658,10.229448442995853N,105.98382565814235E
Thái Bình-174,0.9675325155258179,20.433857974965427N,106.32919746026477E
Cao Lanh City-1050,0.9675132036209106,10.486392741919442N,105.65231301283626E
Hiệp Hòa District-994,0.9674028158187866,21.313341879268485N,105.90227351799868E
Tam Điệp-862,0.9673870801925659,20.168204277181605N,105.94406570916391E
Long Hồ District-1544,0.9673699140548706,10.240228177098823N,105.94274829977763E
Hiệp Hòa District-1570,0.9673604965209961,21.34298614805265N,106.00642544439235E
Cai Lậy Town-949,0.9672412276268005,10.432927375429129N,106.17312373285549E
Cai Lậy Town-1224,0.9671964645385742,10.451791910109334N,106.17860407333892E
Vĩnh Long-163,0.9671450853347778,10.240912604299886N,105.98840787329635E
Cao Lanh City-598,0.9671386480331421,10.448663672559034N,105.63587015842995E
Long Hồ District-304,0.9671249389648438,10.159380171326553N,105.98382565814235E
Chau Doc City-1170,0.9670776724815369,10.714649543709534N,105.11522045413554E
Thái Bình-589,0.967042088508606,20.468892110801132N,106.34070248992211E
Duy Tiên District-913,0.9669713973999023,20.648342979057535N,105.95905252570155E
Long Hồ District-634,0.96690833568573,10.175549772481004N,105.96739471479646E
Long Hồ District-351,0.9668679237365723,10.162075104852295N,105.95917924312353E
Phu Ly City-535,0.9668461084365845,20.54510961025024N,105.8782764795113E
Tam Điệp-919,0.9667292833328247,20.170899210707425N,105.94406570916391E
Long Hồ District-1065,0.9667190313339233,10.199804174212684N,105.94822528089293E
Long Xuyen City-514,0.9666910767555237,10.355618806632327N,105.42488885578004E
Vĩnh Long-324,0.9666516780853271,10.251692338402854N,105.9966238639109E
Mỹ Hào District-260,0.966600775718689,20.915021475692363N,106.10218607197996E
Sa Đéc City-288,0.9665755033493042,10.303100272517428N,105.74360167274783E
Duy Tiên District-1358,0.966565728187561,20.67529231431579N,106.01376510818362E
Go Cong Town-880,0.9665242433547974,10.427728609527534N,106.66489235208824E
Trà Vinh City-147,0.9664897918701172,9.912234771256069N,106.31808514857725E
Trà Vinh City-28,0.9664564728736877,9.893370236575882N,106.34544614638844E
Châu Thành District-407,0.9664325714111328,10.265091671356737N,106.26218609043302E
Hoa Lư District-877,0.9663993120193481,20.2815347136168N,105.97368752930801E
Go Cong Town-318,0.9662799835205078,10.376524872538408N,106.65393223655084E
Tam Điệp-550,0.9662712812423706,20.15203467602668N,105.92971157495782E
Long Xuyen City-666,0.9661749005317688,10.369093474261044N,105.39749189587363E
Duy Tiên District-583,0.9661670923233032,20.629478444376755N,105.98784862174475E
Go Cong Town-73,0.9661358594894409,10.349575537280982N,106.66489235208824E
Hoa Lư District-975,0.9660874009132385,20.28961951419425N,105.95358020079591E
Tam Điệp-625,0.9659905433654785,20.157424543078324N,105.87803669181591E
Trà Vinh City-428,0.9658041000366211,9.958048641193665N,106.34271004660732E
Cai Lậy Town-955,0.9657707214355469,10.432927375429129N,106.18956475430575E
Long Hồ District-1019,0.9657692909240723,10.197109240686942N,105.92084037531647E
Mỹ Tho-680,0.9656623005867004,10.377219273688445N,106.34370720788299E
Tam Điệp-592,0.9656471014022827,20.1547296095525N,105.92109909443417E
Long Xuyen City-317,0.9655442237854004,10.33675427195213N,105.4742033836116E
Bac Giang City-624,0.9655374884605408,21.291479478111672N,106.20540567787614E
Hung Yen City-379,0.9654299020767212,20.644867075606896N,106.06912387384595E
Cai Lậy Town-983,0.9653574228286743,10.435622308954873N,106.16764339237213E
Châu Thành District-386,0.9652984738349915,10.265091671356737N,106.20466738470672E
Bến Tre City-800,0.9652161598205566,10.267754408331982N,106.3406309042958E
Tam Điệp-623,0.9651902318000793,20.157424543078324N,105.87229503813344E
Phu Ly City-874,0.9651786088943481,20.56936401198266N,105.92720178289593E
Chau Doc City-476,0.9650081992149353,10.66614074024613N,105.04665765254182E
Long Xuyen City-226,0.9649868011474609,10.328669471374901N,105.48242247158353E
Cai Lậy Town-1532,0.9649841785430908,10.476046311841023N,106.16216305188868E
Châu Thành District-674,0.9649273157119751,10.273176471933965N,106.25396913247211E
Long Hồ District-1255,0.9649085998535156,10.215973775367138N,105.9181018847588E
Hiệp Hòa District-2236,0.9648569822311401,21.391494951517664N,105.97170813559445E
Thái Bình-628,0.9648118019104004,20.471587044326956N,106.3780938363084E
Long Xuyen City-1165,0.9647970199584961,10.412212410672934N,105.43310794375199E
Cao Lanh City-145,0.96478670835495,10.419019403775858N,105.6440915856331E
Tây Ninh City-536,0.9647105932235718,11.350169973967425N,106.09214179096081E
Thanh Liêm District-967,0.96468186378479,20.45314027899597N,105.97359543426047E
Cai Lậy Town-1065,0.9646761417388916,10.441012176006357N,106.17312373285549E
Long Xuyen City-942,0.9646548628807068,10.390652942466986N,105.4276285517707E
Cai Lậy Town-1024,0.9646523594856262,10.438317242480615N,106.17038356261381E
Long Xuyen City-876,0.9646483659744263,10.385263075415502N,105.41666976780813E
Duy Tiên District-593,0.9646376371383667,20.629478444376755N,106.01664471778795E
Long Xuyen City-1221,0.9646239280700684,10.417602277724422N,105.4468064237052E
Duy Tiên District-1192,0.9646059274673462,20.6645125802125N,105.9417748680756E
Sa Đéc City-508,0.9645171761512756,10.335439474826348N,105.74086240566176E
Long Hồ District-900,0.9645171165466309,10.189024440109716N,105.94274829977763E
Chau Doc City-351,0.9645142555236816,10.655361006143153N,105.12070547826302E
Trà Vinh City-127,0.9645085334777832,9.909539837730328N,106.32082124835837E
Tây Ninh City-80,0.9644783139228821,11.307051037555455N,106.10588598493464E
Long Hồ District-1920,0.9644209146499634,10.280652179984958N,105.99751811093057E
Long Xuyen City-551,0.9643130898475647,10.35831374015807N,105.4468064237052E
Long Hồ District-706,0.9642641544342041,10.178244706006748N,106.0112105637188E
Duy Tiên District-1016,0.9642211198806763,20.653732846109186N,105.97633018332745E
Mỹ Hào District-330,0.9642035365104675,20.92041134274402N,106.1310383462575E
Chau Doc City-884,0.9641777873039246,10.69039514197783N,105.09876538175307E
Hung Yen City-338,0.9641200304031372,20.639477208555242N,106.10080552328174E
Trà Vinh City-186,0.9640893936157227,9.917624638307553N,106.31534904879615E
Cao Lanh City-480,0.9640713930130005,10.440578871981804N,105.63312968269553E
Cao Lanh City-636,0.9639158248901367,10.451358606084778N,105.6440915856331E
Binh Minh Town-759,0.9639139175415039,10.063890541798765N,105.81047785703304E
Vĩnh Long-256,0.9638526439666748,10.248997404877112N,105.92267994838E
Chau Doc City-592,0.9638307094573975,10.67153060729762N,105.13716055064552E
Yên Mỹ District-1137,0.963829517364502,20.955597547929486N,106.03060710444676E
Long Hồ District-1234,0.9637901186943054,10.213278841841394N,105.95096377145056E
Thái Bình-151,0.9637854099273682,20.431163041439603N,106.34933126216508E
Tam Điệp-626,0.963773250579834,20.157424543078324N,105.8809075186571E
Long Hồ District-198,0.9637542963027954,10.15399030427507N,105.98382565814235E
Long Xuyen City-948,0.9637524485588074,10.390652942466986N,105.44406672771456E
Long Hồ District-969,0.9636833667755127,10.19171937363546N,106.00573358260351E
Go Cong Town-173,0.9636590480804443,10.360355271383954N,106.6922926409317E
Tam Điệp-468,0.9636526107788086,20.146644808975044N,105.92971157495782E
Tam Điệp-636,0.9636206030845642,20.157424543078324N,105.90961578706928E
Hoa Lư District-135,0.9636096954345703,20.200686707842156N,105.92485544577856E
Cai Lậy Town-1208,0.9635792970657349,10.451791910109334N,106.1347613494716E
Long Xuyen City-1019,0.9635765552520752,10.398737743044219N,105.4002315918643E
Thanh Liêm District-199,0.9635727405548096,20.401936542005323N,105.9275776143036E
Binh Minh Town-713,0.9635340571403503,10.058500674747284N,105.82689926470549E
Chau Doc City-1104,0.9635176658630371,10.7065647431323N,105.09876538175307E
Trà Vinh City-353,0.9635156393051147,9.947268907090702N,106.34271004660732E
Yên Mỹ District-883,0.963512122631073,20.912478611516228N,106.03637638993158E
Duy Tiên District-495,0.9635120630264282,20.624088577325107N,106.01376510818362E
Thái Bình-192,0.9634689092636108,20.433857974965427N,106.38097009372268E
Cao Lanh City-729,0.9634594917297363,10.45944340666201N,105.62764873122678E
Long Hồ District-986,0.9634209871292114,10.194414307161201N,105.94000980922003E
Châu Thành District-576,0.9633985161781311,10.270481538408221N,106.24301318852424E
Vĩnh Long-348,0.9633815288543701,10.254387271928598N,105.94732792022363E
Duy Tiên District-775,0.9633674025535583,20.640258178480057N,105.99072823134907E
Long Hồ District-981,0.9632595777511597,10.194414307161201N,105.92631735643175E
Mỹ Tho-605,0.9632046222686768,10.37182940663696N,106.34918643792035E
Long Xuyen City-1158,0.9631866812705994,10.412212410672934N,105.41393007181749E
Long Hồ District-251,0.9631577730178833,10.156685237800811N,105.98930263925763E
Cai Lậy Town-888,0.9631468057632446,10.427537508377641N,106.19230492454746E
Hiệp Hòa District-984,0.9631431698799133,21.31064694574265N,106.00642544439235E
Tam Điệp-672,0.963100254535675,20.160119476604144N,105.87229503813344E
Mỹ Hào District-184,0.9630767107009888,20.90693667511487N,106.11084175426323E
Long Xuyen City-1112,0.9630680084228516,10.406822543621448N,105.43310794375199E
Cai Lậy Town-912,0.9630218744277954,10.430232441903382N,106.16764339237213E
Châu Thành District-318,0.9629937410354614,10.262396737830992N,106.23753521655031E
Long Hồ District-657,0.9629756808280945,10.178244706006748N,105.87702452639412E
Bến Tre City-721,0.9629676342010498,10.259669607754754N,106.35158502396443E
Long Hồ District-283,0.9629520177841187,10.159380171326553N,105.92084037531647E
Bến Tre City-635,0.9629073143005371,10.251584807177524N,106.4036170923903E
Cao Lanh City-758,0.96282958984375,10.462138340187751N,105.62216777975802E
Long Xuyen City-877,0.9626724720001221,10.385263075415502N,105.41940946379876E
Go Cong Town-186,0.962615966796875,10.363050204909696N,106.65393223655084E
Cao Lanh City-187,0.9625576138496399,10.4217143373016N,105.64135110989872E
Go Cong Town-555,0.9625566005706787,10.400779274270102N,106.6758524676256E
Vĩnh Long-320,0.9625210165977478,10.251692338402854N,105.9856692097582E
Duy Tiên District-20,0.9625105857849121,20.564800039756957N,105.97057096411882E
Duy Tiên District-291,0.9624757766723633,20.61061390969598N,105.9417748680756E
Go Cong Town-220,0.9624534845352173,10.365745138435436N,106.67037240985691E
Binh Minh Town-841,0.9624457359313965,10.071975342375989N,105.82963616598423E
Thanh Liêm District-1678,0.9623940587043762,20.49625921540915N,105.89018813558863E
Go Cong Town-330,0.962357759475708,10.376524872538408N,106.68681258316299E
Sa Đéc City-419,0.9623538255691528,10.32196480719763N,105.72990533731752E
Hoa Lư District-1205,0.9622997045516968,20.311178982400836N,105.93921782328722E
Thanh Liêm District-815,0.9622931480407715,20.445055478418503N,105.95633875177664E
Châu Thành District-320,0.9622732400894165,10.262396737830992N,106.24301318852424E
Long Hồ District-990,0.9622728824615479,10.194414307161201N,105.95096377145056E
Hung Yen City-210,0.9622454643249512,20.62869747445194N,106.10368567323044E
Cai Lậy Town-1351,0.9621852040290833,10.462571644212304N,106.1375015197133E
Long Hồ District-423,0.9620753526687622,10.164770038378037N,106.00847207316117E
Vĩnh Long-30,0.9620711803436279,10.230132870196918N,105.91172529422727E
Cai Lậy Town-1425,0.9619887471199036,10.467961511263793N,106.14846220068013E
Long Hồ District-2312,0.9619807004928589,10.312991382293871N,105.97287169591176E
Cao Lanh City-408,0.9619683027267456,10.435189004930317N,105.6632749157738E
Yên Mỹ District-750,0.9619406461715698,20.904393810938735N,105.97291424959843E
Vĩnh Long-278,0.9618934988975525,10.248997404877112N,105.98293054622E
Bến Tre City-362,0.9618902802467346,10.23272027249733N,106.42278680181037E
Hiệp Hòa District-140,0.9618749618530273,21.24866347464849N,105.95145637212903E
Long Hồ District-108,0.9618479013442993,10.148600437223585N,106.00573358260351E
Thanh Liêm District-287,0.9618388414382935,20.410021342582795N,105.93332984179821E
Hoa Lư District-19,0.9618346095085144,20.181822173161407N,105.95070772529417E
Mỹ Tho-283,0.9618314504623413,10.350269938431014N,106.34370720788299E
Mỹ Hào District-584,0.961829662322998,20.939275877424816N,106.14546448339627E
Duy Tiên District-249,0.9617478251457214,20.60522404264433N,105.9561729160972E
Sa Đéc City-345,0.9617363214492798,10.31118507309466N,105.7381231385757E
Long Xuyen City-616,0.9616788029670715,10.363703607209557N,105.4468064237052E
Long Xuyen City-549,0.9616702795028687,10.35831374015807N,105.4413270317239E
Long Hồ District-541,0.9616588354110718,10.170159905429522N,106.02490301650705E
Hiệp Hòa District-1802,0.961595356464386,21.356460815681825N,105.98617368092694E
Cao Lanh City-268,0.9615595936775208,10.427104204353089N,105.63312968269553E
Go Cong Town-740,0.9614770412445068,10.419643808950303N,106.60735174551695E
Hung Yen City-108,0.961457371711731,20.62061267387446N,106.0835246235895E
Cai Lậy Town-1501,0.9614484310150146,10.47335137831528N,106.16764339237213E
Duy Tiên District-838,0.9614424705505371,20.64295311200589N,106.02816315620521E
Trà Vinh City-196,0.9613986015319824,9.917624638307553N,106.34271004660732E
Long Hồ District-592,0.9613691568374634,10.172854838955264N,106.00847207316117E
Cai Lậy Town-1398,0.9613052606582642,10.465266577738051N,106.17038356261381E
Binh Minh Town-808,0.9612825512886047,10.069280408850249N,105.80774095575431E
Mỹ Hào District-588,0.9612521529197693,20.941970810950647N,106.03582584114166E
Duy Tiên District-589,0.9612147808074951,20.629478444376755N,106.00512627937064E
Cai Lậy Town-991,0.9612002372741699,10.435622308954873N,106.18956475430575E
Mỹ Hào District-693,0.9611108303070068,20.94736067800231N,106.09064516226894E
Binh Minh Town-787,0.9610027074813843,10.066585475324505N,105.81868856086925E
