image,pred,lon,lat
Vĩnh Long-29.jpeg,0.97210455,10.230132870196918N,105.90898663068909E
Cai Lậy Town-1350.jpeg,0.9720876,10.462571644212304N,106.1347613494716E
Vĩnh Long-52.jpeg,0.97201836,10.232827803722659N,105.90898663068909E
Thái Bình-343.jpeg,0.9718535,20.447332642594546N,106.32632120285044E
Long Hồ District-701.jpeg,0.9718402,10.178244706006748N,105.99751811093057E
Sa Đéc City-136.jpeg,0.9718354,10.281540804311488N,105.77647287778049E
Long Hồ District-196.jpeg,0.9718202,10.15399030427507N,105.97834867702704E
Cai Lậy Town-1397.jpeg,0.9718165,10.465266577738051N,106.1676433923721E
Go Cong Town-514.jpeg,0.9717693,10.398084340744358N,106.63749206324476E
Long Xuyen City-1338.jpeg,0.97173494,10.431076945353137N,105.45776520766776E
Châu Thành District-2600.jpeg,0.97169626,10.32977007597456N,106.35257262800287E
Binh Minh Town-538.jpeg,0.9716637,10.042331073592832N,105.8871110928377E
Long Xuyen City-226.jpeg,0.9715829,10.328669471374901N,105.48242247158353E
Trà Vinh City-349.jpeg,0.9715595,9.947268907090702N,106.33176564748287E
Châu Thành District-2194.jpeg,0.97145855,10.313600474820104N,106.22931825858942E
Cai Lậy Town-955.jpeg,0.97142357,10.432927375429129N,106.18956475430575E
Sa Đéc City-288.jpeg,0.9713514,10.303100272517428N,105.74360167274783E
Hoa Lư District-111.jpeg,0.97129625,20.197991774316336N,105.9449627742907E
Trà Vinh City-252.jpeg,0.9711747,9.925709438884772N,106.34271004660732E
Long Xuyen City-881.jpeg,0.9710296,10.385263075415502N,105.43036824776134E
Châu Thành District-1668.jpeg,0.9709943,10.297430873665649N,106.36078958596379E
Duy Tiên District-1085.jpeg,0.9709712,20.659122713160837N,105.8985807240108E
Châu Thành District-322.jpeg,0.9709327,10.262396737830992N,106.24849116049816E
Châu Thành District-318.jpeg,0.9708957,10.262396737830992N,106.23753521655031E
Phu Ly City-4.jpeg,0.97075313,20.488516006207927N,105.90417811071494E
