image,pred,lon,lat,min_probs,max_probs,mean_probs
978.jpeg,0.98165005,11813511.32974132,1270237.3009131537,0.0739294858649373,0.9365707114338876,0.3553089543711394
122.jpeg,0.9807227,11800393.680832757,2301169.5093886307,0.0309852659702301,0.9508693367242812,0.15006152048913962
373.jpeg,0.9761263,11792632.434532398,2322513.015459868,0.2083663824014365,0.958932064473629,0.6006999016390182
322.jpeg,0.97573996,11790296.62486418,2350059.1612061705,0.0487513514235615,0.9610772281885148,0.4030825087933668
687.jpeg,0.9749448,11778341.215496125,1126286.6294048545,0.0319739640690386,0.7247127741575241,0.12676137755624947
226.jpeg,0.9735197,11812064.185145328,2382205.06104136,0.0284816117491573,0.9600025415420532,0.15290050125622656
872.jpeg,0.973034,11794080.86221968,2304784.661425381,0.0274596253875643,0.96170674264431,0.26975480272085406
878.jpeg,0.97301143,11799256.61840824,2298813.268039896,0.0229315261822193,0.9492022469639778,0.16652425042250088
306.jpeg,0.9725371,11801536.17841019,2354517.589465253,0.043185656890273,0.9533791095018388,0.3509726054617203
564.jpeg,0.97226983,11792618.06172475,1143993.9035878708,0.0203637343365699,0.9445087164640428,0.4060888757521752
269.jpeg,0.9722402,11803118.132247638,2356344.1138916137,0.0294105515349656,0.9475989863276482,0.1527039459033403
841.jpeg,0.97218174,11869724.22561244,1167927.288265108,0.0993097103200852,0.9606715440750122,0.6694070986122824
238.jpeg,0.97197515,11804910.586791158,2382956.773747098,0.0418810513801872,0.9633795693516732,0.44742758073178784
423.jpeg,0.9717562,11796648.49833907,2296795.5707993694,0.0328633752651512,0.957411214709282,0.27170601702528074
445.jpeg,0.9717148,11836142.885210805,2323012.362613537,0.03223298327066,0.9682230427861214,0.5902104446140584
110.jpeg,0.9716483,11788822.61622789,2336805.988103454,0.045830454211682,0.9578873813152312,0.6650400733924471
82.jpeg,0.97131324,11813564.09633606,1165619.715980143,0.048003630246967,0.92743868380785,0.3014856038304667
368.jpeg,0.9712903,11796439.950141463,2327299.055664581,0.1688648052513599,0.9613402709364892,0.7081805274356157
239.jpeg,0.97101235,11804896.019800398,2382957.620933094,0.0418810513801872,0.9633795693516732,0.44742758073178784
80.jpeg,0.9709524,11814038.758826012,1161832.6314797946,0.0379435801878571,0.9415962472558022,0.3083475766576488
466.jpeg,0.9709435,11701350.74113416,1199779.5512820035,0.0432187290862202,0.9629189223051072,0.1670698341913521
118.jpeg,0.9708858,11792291.292100323,2289476.888544067,0.0360680129379034,0.9554445743560792,0.18750328065029212
751.jpeg,0.97079897,11838143.10602467,1108056.6529708127,0.0412454134784638,0.9582166895270348,0.4573502379417833
800.jpeg,0.97033036,11833812.962152015,1161154.1968394967,0.0251770031172782,0.9190505966544152,0.21200085440650582
220.jpeg,0.9702296,11814030.968457526,2380504.825634585,0.0475115850567817,0.956347480416298,0.5405310139592204
525.jpeg,0.97016114,11771292.609123016,1153178.0490602124,0.0553265302442014,0.9608882144093512,0.35873195133171976
478.jpeg,0.97009385,11694344.990291148,1193505.1140008476,0.0304162285756319,0.9598939046263696,0.15524706001290015
446.jpeg,0.9700485,11836175.055093732,2322937.556489507,0.03223298327066,0.9682230427861214,0.6103530195832718
804.jpeg,0.9700458,11836166.430762373,1160150.4032079896,0.0336144927423447,0.95141089707613,0.29511390303377993
259.jpeg,0.9698323,11806611.336772382,2376865.140112905,0.0325460550375282,0.9582796841859818,0.38988661515759304
432.jpeg,0.9697786,11836074.650446463,2324497.693625991,0.0376013796776533,0.9549528136849404,0.3926126611685114
96.jpeg,0.9689441,11814195.27499896,1268298.5357633992,0.0242954231798648,0.9439726695418358,0.15919890161603686
228.jpeg,0.96859175,11809306.013601098,2383175.664235263,0.0384219624102115,0.9510342702269554,0.14391323877498507
857.jpeg,0.9684843,11873820.27384781,1158487.7754624228,0.4413645383901894,0.9710752442479134,0.8542414666735567
854.jpeg,0.96801364,11876921.432508595,1159631.5365201414,0.2432836322113871,0.962235227227211,0.640695850778785
911.jpeg,0.9678159,11773933.787171546,1150931.2034671202,0.038084396161139,0.5556998327374458,0.2024254923162516
883.jpeg,0.9677173,11796819.525800226,2299541.319208895,0.0248442969750612,0.9581237360835076,0.26148484295117663
97.jpeg,0.9677049,11812807.619129203,1270935.089921734,0.4378777518868446,0.8009670451283455,0.5891110941302031
776.jpeg,0.96764594,11820904.46903043,1168703.9197102897,0.0363199799321591,0.9415754154324532,0.43649766309600735
544.jpeg,0.96761996,11794093.315900616,1145246.778725296,0.0511166644282639,0.9283046126365662,0.4116185276458661
850.jpeg,0.96742153,11875121.509546977,1160071.9606400805,0.0376342236995697,0.9535927474498748,0.3909904070314951
244.jpeg,0.9673369,11803919.775894608,2378376.555311827,0.035410301759839,0.9601626992225648,0.14012383281563717
767.jpeg,0.96732426,11813888.96764953,1164878.8344618783,0.0214170541148632,0.945610910654068,0.17909121534062755
229.jpeg,0.9672291,11809544.062624808,2382487.000395591,0.0429709949530661,0.5908345207571983,0.1746509149088524
13.jpeg,0.9671494,11739672.086755058,1158744.4181063178,0.0312787424772977,0.4597813184373081,0.13854800770059222
362.jpeg,0.96703166,11797799.998905774,2333612.1778733386,0.8539687991142273,0.9610107019543648,0.9356650114059448
280.jpeg,0.9669867,11806611.558612242,2352581.5860459344,0.0419759531505405,0.95555629581213,0.3854518796184233
675.jpeg,0.96674913,11797732.971612504,1146138.863438466,0.0153269990114495,0.9524167999625206,0.27060975435597356
881.jpeg,0.9666245,11798995.9137034,2301399.7333768443,0.0312812679912894,0.9392860606312752,0.16311431801295834
270.jpeg,0.9665959,11803707.812415486,2354960.5843371693,0.0395273687317967,0.9068874716758728,0.17788365943124515
589.jpeg,0.9663975,11837375.82809124,1163406.791519413,0.0329037073533982,0.9533575177192688,0.15050190058536825
788.jpeg,0.9661618,11836475.593708776,1156502.8479825535,0.0338959651999175,0.9559425488114356,0.17386510991491375
420.jpeg,0.9660379,11798826.065574847,2300161.4746302366,0.0418739216402173,0.9543666765093805,0.4458618429822049
837.jpeg,0.965975,11839043.965990962,1160127.7856158111,0.0453638327307999,0.9539104253053664,0.19390709881138585
562.jpeg,0.96596456,11793491.17699146,1144416.0807422164,0.0392835047096014,0.9580115452408792,0.3339177439454943
510.jpeg,0.9659327,11758434.49469149,1171212.2056786877,0.0178373344242572,0.9492866471409798,0.18837640367564742
4.jpeg,0.9658549,11696874.796290869,1196438.563920652,0.0286017344333231,0.915209487080574,0.16641888060257767
573.jpeg,0.9657909,11835509.120218666,1113656.1412147884,0.0297938899602741,0.8846583366394043,0.20174864804721435
380.jpeg,0.96577203,11789244.80842974,2322253.6150411163,0.0343962488695979,0.9548582211136818,0.21701736861307705
920.jpeg,0.9657362,11734991.184206776,1163227.6999844704,0.0369081306271255,0.9559631943702698,0.3097711278242059
685.jpeg,0.96573514,11801654.581036674,1150791.9270680237,0.0229446005541831,0.9421023279428482,0.21967149135889483
468.jpeg,0.9656794,11701508.046591766,1199466.891047335,0.0385408923029899,0.9357415363192558,0.24915703991428018
282.jpeg,0.9656624,11806200.582493115,2352596.47783368,0.0396680585108697,0.9583473950624466,0.2869616938987747
674.jpeg,0.96541804,11797717.141979704,1146161.6008979094,0.0153269990114495,0.9524167999625206,0.26437480402819347
320.jpeg,0.9653197,11791311.295900537,2349261.016467601,0.0378633369691669,0.958224855363369,0.4163969290176673
202.jpeg,0.96521705,11823818.85624222,2425367.8477091845,0.0414276700466871,0.9601069539785384,0.2462743377545848
340.jpeg,0.9651788,11797499.864858704,2342862.3527054708,0.0710667357780039,0.9671647027134896,0.7931511607686323
505.jpeg,0.96516335,11755455.818566468,1174018.7117284634,0.0334610724821686,0.949670933187008,0.3827450190567308
292.jpeg,0.9650889,11806078.828499082,2350150.2176369363,0.038799914997071,0.947847530245781,0.17812206945382056
475.jpeg,0.96471334,11704809.988327015,1195884.3613485538,0.0282670415472239,0.6760476566851139,0.1869372895453125
555.jpeg,0.96465886,11801052.45414314,1147535.9198247846,0.0282916824799031,0.665298193693161,0.2700792552334153
114.jpeg,0.9646286,11794032.72433261,2304977.486922276,0.0420138565823435,0.96170674264431,0.2994609915767796
657.jpeg,0.9646165,11794376.941216275,1143028.232235739,0.0259685472119599,0.9580319598317146,0.26011013009701855
915.jpeg,0.96442074,11773638.970258836,1152539.2573876723,0.0467200870625674,0.9577626660466194,0.23037775052297446
357.jpeg,0.9642807,11798422.565919513,2336354.167537955,0.1575651126913726,0.9628662019968032,0.7959339935997767
845.jpeg,0.9641895,11872625.836900204,1159979.654204565,0.0477914046496152,0.9626349434256554,0.5882707562996075
977.jpeg,0.9641247,11812948.377253948,1267084.4469044742,0.0409145979210734,0.2147331163287162,0.06434534548316145
635.jpeg,0.9640456,11790861.33558784,2336685.773076389,0.0766382538713514,0.920528084039688,0.3349615155852267
7.jpeg,0.9637831,11700882.10006416,1200815.30157756,0.0373340458609163,0.9616044238209724,0.303287431714125
958.jpeg,0.9637034,11699629.164797192,1203097.2938053757,0.0389579958282411,0.4906488787382841,0.10507639549905431
396.jpeg,0.9636001,11789940.93670129,2333190.2562503107,0.0358973692636936,0.9449922144412994,0.4940642720030155
903.jpeg,0.9635461,11773633.264037294,1152534.4151164617,0.0467200870625674,0.9577626660466194,0.23037775052297446
580.jpeg,0.96345943,11841606.36825142,1158738.6615177344,0.0407226160168647,0.2575793978758156,0.07013768388424063
86.jpeg,0.9634283,11815298.230947364,1165310.7602779388,0.0393774295225739,0.9605479836463928,0.5726563438074663
6.jpeg,0.9631248,11700963.035892168,1200696.7468921472,0.0243817837908864,0.9616044238209724,0.3011962746386416
291.jpeg,0.96305436,11806114.630186828,2350005.3539584544,0.045639042276889,0.947847530245781,0.18765795743092895
191.jpeg,0.96301156,11818079.125519833,2424415.6950360327,0.0429705753922462,0.9623660296201706,0.5375867229886353
419.jpeg,0.9627651,11796710.510366865,2301470.2650203137,0.0403365329839289,0.957421325147152,0.16268911541556005
941.jpeg,0.9626952,11757971.528805029,1172136.366117595,0.0265142391435802,0.0734666814096272,0.04524515898083334
408.jpeg,0.96259797,11794681.092101444,2307410.8153657443,0.0256048950832337,0.958511583507061,0.4063444777857512
49.jpeg,0.96259785,11798738.627347006,1145908.6216763095,0.0387172563932836,0.9519348368048668,0.1725870083241413
328.jpeg,0.9624421,11790593.104374137,2347357.468983118,0.0340573480352759,0.961559496819973,0.2918724315240979
874.jpeg,0.9624311,11796726.759532228,2301486.681074097,0.0403365329839289,0.957421325147152,0.16268911541556005
341.jpeg,0.96237475,11797413.772877373,2342867.748236021,0.0409469953738153,0.9671647027134896,0.5854524720343761
310.jpeg,0.9621862,11799316.909260036,2348881.753955795,0.0434187687933445,0.9641228541731834,0.5653738821339276
725.jpeg,0.9621753,11835489.526926547,1118565.15246721,0.0109107688185758,0.9323563650250436,0.14493810907151777
724.jpeg,0.9620184,11838515.46904065,1116455.7736048603,0.0342330557759851,0.8943148851394653,0.3429362647293601
639.jpeg,0.9618801,11791188.982053485,2335142.0874907034,0.0987728326581418,0.9523882940411568,0.7702677039030407
300.jpeg,0.96187556,11808463.274764968,2348159.383007037,0.0382391009479761,0.8534110970795155,0.41038735350593925
207.jpeg,0.96184057,11821377.449464392,2424191.4719171063,0.033013075357303,0.7760550417006016,0.13746872785850425
8.jpeg,0.96169335,11705008.533707503,1197721.1866906,0.0408141035586595,0.8367435708642006,0.26173305772762334
705.jpeg,0.96138,11841391.510361595,1147751.8951873502,0.0413580234162509,0.9556759223341942,0.40721401147311553
773.jpeg,0.9612058,11817340.578763504,1165847.3693298255,0.0300171673297882,0.9116314724087716,0.3688520358118694
517.jpeg,0.960972,11759000.83408005,1167173.5728699474,0.021438717842102,0.9541597738862038,0.3689104305231012
219.jpeg,0.9609133,11814097.357827242,2380542.499547725,0.0289582137484103,0.956347480416298,0.36015312556992285
897.jpeg,0.96086764,11791298.999900224,2290375.948458544,0.0384054211899638,0.9664858430624008,0.2694313778192736
64.jpeg,0.9608212,11839501.613520743,1160390.8471127737,0.0419862107373774,0.9546118825674056,0.2538953953189775
271.jpeg,0.96079654,11806450.210138736,2356328.334385381,0.0321059459820389,0.9583881348371506,0.19088205772762495
50.jpeg,0.960725,11835486.004787514,1118568.303342715,0.0109107688185758,0.9323563650250436,0.14493810907151777
547.jpeg,0.96070886,11797667.277061224,1151166.8038889137,0.0219182199798524,0.9443273395299911,0.3531375131052401
500.jpeg,0.96056914,11753367.826868942,1173556.270004294,0.0254293207544833,0.9508327320218086,0.1509927965526003
296.jpeg,0.96054727,11806506.924819527,2348800.6781716,0.0390861616469919,0.953724890947342,0.3243940794574363
997.jpeg,0.9605118,11796724.978498287,2438520.4565943,0.0350258662365376,0.9597102031111716,0.583591102023742
301.jpeg,0.96048707,11808618.376726229,2348266.7622102564,0.0301979796495288,0.9624415934085846,0.3934138490751918
206.jpeg,0.9604762,11821310.84703607,2424174.4616176663,0.033013075357303,0.7760550417006016,0.1363476686237845
901.jpeg,0.9604421,11771482.275236338,1154039.1657925174,0.038307118229568,0.9529429450631142,0.2625212427810766
692.jpeg,0.9603181,11841248.193213755,1144865.6260791314,0.0394924441352486,0.9330158606171608,0.20220602938206864
684.jpeg,0.9601444,11801417.20860134,1140746.3202638028,0.0409507043659687,0.959438033401966,0.3476080164934198
413.jpeg,0.96012825,11792407.557784664,2307626.195805188,0.030462582129985,0.8742349371314049,0.30010371218668297
215.jpeg,0.96007794,11813324.469730036,2384480.860799475,0.0258565176045522,0.953501969575882,0.27919584133714026
125.jpeg,0.9600756,11798504.01659474,2433516.755902936,0.046389146707952,0.9536696076393129,0.32249357597902417
853.jpeg,0.9600665,11875313.125212535,1160261.0473984145,0.0376342236995697,0.9535927474498748,0.15778677526395762
3.jpeg,0.9598263,11697887.676503051,1195333.2098595817,0.0350100516807287,0.9476135969161988,0.38229682700087625
428.jpeg,0.95979846,11792671.213613804,2301936.9126236085,0.0233379208948463,0.9589001312851906,0.1982754726486746
716.jpeg,0.95969546,11839819.963937834,1148194.9458812752,0.0215162949170917,0.9163705706596376,0.3054931012447923
567.jpeg,0.9594771,11801360.495342154,1137130.9271606691,0.068435619585216,0.9526408165693284,0.4585851032493843
101.jpeg,0.95947057,11837509.1763928,2326578.97036396,0.0421151835471391,0.9591388180851936,0.18034475709178618
710.jpeg,0.95932037,11843807.290833429,1142839.3772094776,0.0200280852150172,0.947268344461918,0.2754001904298396
374.jpeg,0.9592394,11792414.640271207,2321668.56255256,0.3229476949200034,0.9736533686518668,0.7938793638022617
65.jpeg,0.95913655,11833933.378486143,1161376.548852565,0.0274135740473866,0.942841537296772,0.1647798275142642
643.jpeg,0.95896417,11792949.999194622,2335702.1874675658,0.0391067015007138,0.9511285796761512,0.33417871716665104
891.jpeg,0.95894784,11788452.293311251,2291356.616249951,0.0398853975348174,0.9564145058393478,0.4679837850853801
