Unnamed: 0,image,pred,lon,lat,found_Anditi
67,Go Cong Town-2207.jpeg,0.9709916561841964,106.67722248206778N,10.40077927427014E,"['851.jpeg', '54.jpeg']"
72,Go Cong Town-2985.jpeg,0.9705136492848396,106.60735174551695N,10.419643808950358E,[]
73,Go Cong Town-4716.jpeg,0.9704146385192872,106.65119220766648N,10.460067811836536E,[]
74,Go Cong Town-3132.jpeg,0.9703886210918428,106.61146178884346N,10.422338742476105E,[]
76,Tây Ninh City-356.jpeg,0.9703007787466048,106.09076737156332N,11.308398504318339E,['986.jpeg']
77,Go Cong Town-3818.jpeg,0.970291182398796,106.66763238097258N,10.43311847657908E,[]
78,Hiệp Hòa District-4950.jpeg,0.9701528921723366,105.9225252814641N,21.32681654689752E,['158.jpeg']
79,Long Hồ District-4159.jpeg,0.970131978392601,106.00984131843998N,10.197109240686984E,[]
81,Thái Bình-548.jpeg,0.9700349718332292,106.35939816311522N,20.429815574676653E,[]
83,Phu Ly City-2462.jpeg,0.969935342669487,105.96893218872448N,20.54915201053889E,['359.jpeg']
84,Yên Mỹ District-1162.jpeg,0.9699271321296692,106.03349174718953N,20.873402075391663E,[]
85,Go Cong Town-3634.jpeg,0.969919502735138,106.6306419910339N,10.430423543053335E,[]
86,Bac Giang City-2308.jpeg,0.9697326868772508,106.21986525073754N,21.287437077822833E,[]
87,Mỹ Hào District-1054.jpeg,0.9696070179343224,106.10218607197996N,20.915021475692306E,['225.jpeg']
88,Go Cong Town-2123.jpeg,0.969465270638466,106.6361220488026N,10.399431807507273E,[]
89,Hung Yen City-483.jpeg,0.9694314077496528,106.07920439866642N,20.621960140637352E,"['298.jpeg', '299.jpeg']"
90,Duy Tiên District-3953.jpeg,0.9692573100328444,105.97920979293177N,20.652385379346146E,[]
91,Go Cong Town-2172.jpeg,0.9692345187067986,106.62927197659172N,10.40077927427014E,[]
92,Go Cong Town-2367.jpeg,0.9692051261663436,106.67037240985691N,10.404821674558763E,['56.jpeg']
93,Tây Ninh City-4792.jpeg,0.9691816791892052,106.12925111468995N,11.393288910379463E,['980.jpeg']
94,Phu Ly City-3229.jpeg,0.9691449105739594,105.9113730082717N,20.56397414493091E,[]
95,Binh Minh Town-1084.jpeg,0.969125509262085,105.83647841918126N,10.020771605386921E,['31.jpeg']
96,Go Cong Town-3000.jpeg,0.9691232964396476,106.62790196214955N,10.419643808950358E,[]
97,Go Cong Town-3779.jpeg,0.9690354466438292,106.61420181772779N,10.43311847657908E,[]
98,Go Cong Town-217.jpeg,0.9690127298235892,106.65256222210868N,10.346880603755244E,[]
99,Tam Điệp-2341.jpeg,0.9690119177103044,105.92253450785479N,20.15472960955243E,"['896.jpeg', '895.jpeg']"
101,Go Cong Town-2487.jpeg,0.9689564555883408,106.68544256872082N,10.407516608084503E,[]
102,Hiệp Hòa District-4282.jpeg,0.9689265117049216,106.01944443519157N,21.316036812794195E,[]
103,Long Hồ District-690.jpeg,0.9689100757241248,106.0112105637188N,10.15264283751221E,[]
106,Long Hồ District-1530.jpeg,0.9688078761100768,106.00847207316117N,10.163422571615186E,[]
107,Tam Điệp-1586.jpeg,0.9688057079911232,105.89239082602198N,20.142602408686262E,[]
108,Hiệp Hòa District-9303.jpeg,0.9687789753079414,106.00642544439235N,21.399579752094933E,[]
109,Duy Tiên District-5234.jpeg,0.9687575176358224,105.94465447767993N,20.672597380789824E,[]
110,Go Cong Town-1227.jpeg,0.9687485471367836,106.65393223655084N,10.375177405775567E,[]
111,Tam Điệp-3267.jpeg,0.9686950519680976,105.92253450785479N,20.166856810418608E,[]
