image,pred,lat,lon,found_Anditi
Long Xuyen City-3488.jpeg,0.9786156117916108,10.385263075415558N,105.41803961580345E,[]
Long Xuyen City-4189.jpeg,0.9786153435707092,10.401432676570025N,105.40160143985962E,[]
Trà Vinh City-2074.jpeg,0.9784392341971396,9.968828375296683N,106.35365444573176E,"['755.jpeg', '51.jpeg', '754.jpeg']"
Cao Lanh City-4532.jpeg,0.9783087745308876,10.494477542496732N,105.59202254667983E,[]
Trà Vinh City-535.jpeg,0.9782515615224838,9.910887304493212N,106.31808514857725E,[]
Long Xuyen City-2835.jpeg,0.9781912490725516,10.371788407786832N,105.44954611969584E,"['12.jpeg', '928.jpeg']"
Vĩnh Long-1368.jpeg,0.9781610816717148,10.254387271928618N,105.94869725199236E,[]
Cai Lậy Town-4083.jpeg,0.9780609235167504,10.43831724248067N,106.17038356261381E,[]
Trà Vinh City-182.jpeg,0.9780344441533088,9.8974126368645N,106.34544614638844E,[]
Cai Lậy Town-5978.jpeg,0.9780326709151268,10.473351378315359N,106.14846220068013E,[]
Cai Lậy Town-5800.jpeg,0.9779986813664436,10.46930897802674N,106.18408441382235E,[]
Mỹ Hào District-2739.jpeg,0.9778418466448784,20.9460132112393N,106.14546448339627E,[]
Long Hồ District-2016.jpeg,0.9777428507804872,10.170159905429546N,105.91262490364353E,[]
Cai Lậy Town-4571.jpeg,0.9777238592505456,10.446402043057908N,106.1881946691849E,[]
Long Hồ District-2180.jpeg,0.977682538330555,10.171507372192416N,105.98245641286351E,[]
Binh Minh Town-2598.jpeg,0.9776695147156717,10.051763340932972N,105.8843741915594E,[]
Long Xuyen City-3556.jpeg,0.9776604026556016,10.38661054217843N,105.41940946379876E,[]
Trà Vinh City-1356.jpeg,0.9776071459054948,9.945921440327869N,106.34818224616954E,[]
Cao Lanh City-2072.jpeg,0.9775932058691978,10.443273805507571N,105.6249082554924E,[]
Duy Tiên District-5234.jpeg,0.9775077477097512,20.672597380789824N,105.94465447767993E,[]
Cai Lậy Town-5346.jpeg,0.9775052964687349,10.461224177449507N,106.14572203043844E,[]
Long Hồ District-1536.jpeg,0.9775029718875884,10.163422571615186N,106.01668754483413E,[]
Cai Lậy Town-3949.jpeg,0.977452114224434,10.435622308954924N,106.19778526503087E,[]
Tây Ninh City-800.jpeg,0.9774258062243462,11.320525705184215N,106.09076737156332E,"['990.jpeg', '985.jpeg']"
Long Xuyen City-3498.jpeg,0.9773306995630264,10.385263075415558N,105.43173809575667E,['482.jpeg']
Trà Vinh City-1017.jpeg,0.9772611632943152,9.92840437241054N,106.32355734813949E,[]
Cai Lậy Town-6680.jpeg,0.977252222597599,10.494910846521323N,106.09228871072513E,"['761.jpeg', '760.jpeg', '762.jpeg']"
Vĩnh Long-182.jpeg,0.97724000364542,10.231480336959795N,105.94869725199236E,['544.jpeg']
Cai Lậy Town-5372.jpeg,0.9772202745079994,10.461224177449507N,106.18134424358063E,[]
Trà Vinh City-1920.jpeg,0.9771985411643982,9.964785975008068N,106.34818224616954E,[]
Cai Lậy Town-6123.jpeg,0.9771291613578796,10.476046311841102N,106.16764339237213E,[]
Cao Lanh City-4499.jpeg,0.97707387059927,10.493130075733859N,105.64135110989872E,[]
Cao Lanh City-3560.jpeg,0.9770384430885316,10.474265541053642N,105.63449992056276E,[]
Long Hồ District-510.jpeg,0.9769886434078217,10.149947903986464N,106.02627226178588E,[]
Tây Ninh City-745.jpeg,0.9769287258386612,11.31917823842134N,106.0921417909607E,"['990.jpeg', '985.jpeg']"
Thanh Liêm District-6642.jpeg,0.9769255295395852,20.494911748646064N,105.92182538680898E,[]
Cai Lậy Town-5273.jpeg,0.9768949896097184,10.459876710686634N,106.14298186019671E,[]
Cai Lậy Town-6298.jpeg,0.9768482372164726,10.481436178892595N,106.0991391363294E,[]
Trà Vinh City-1667.jpeg,0.9768269136548042,9.958048641193713N,106.31534904879615E,[]
Tây Ninh City-1473.jpeg,0.9767915830016136,11.335347839575835N,106.12100459830566E,['978.jpeg']
Long Xuyen City-2965.jpeg,0.976784773170948,10.374483341312578N,105.44817627170053E,['928.jpeg']
Cai Lậy Town-5074.jpeg,0.976777158677578,10.455834310398014N,106.16353313700955E,[]
Trà Vinh City-1019.jpeg,0.9767734110355376,9.92840437241054N,106.32629344792062E,[]
Trà Vinh City-712.jpeg,0.9767560511827468,9.916277171544703N,106.34271004660732E,[]
Cai Lậy Town-2384.jpeg,0.976694829761982,10.405978040171728N,106.11283998753794E,['595.jpeg']
Cai Lậy Town-5563.jpeg,0.9766353294253348,10.465266577738122N,106.15120237092184E,[]
Cao Lanh City-3975.jpeg,0.9766195490956306,10.48369780839375N,105.5755796922735E,[]
Cai Lậy Town-2614.jpeg,0.9766125604510308,10.410020440460348N,106.13887160483415E,['86.jpeg']
Sa Đéc City-472.jpeg,0.9766095355153084,10.280193337548628N,105.76003727526444E,[]
Cai Lậy Town-3927.jpeg,0.9765922203660012,10.435622308954924N,106.16764339237213E,[]
Sa Đéc City-380.jpeg,0.9765372797846794,10.277498404022884N,105.76277654235054E,[]
Cai Lậy Town-4465.jpeg,0.9765028208494186,10.445054576295032N,106.14983228580098E,[]
Cai Lậy Town-5341.jpeg,0.9764765128493308,10.461224177449507N,106.13887160483415E,[]
Hiệp Hòa District-6255.jpeg,0.9764597490429878,21.342986148052496N,106.00642544439235E,[]
Trà Vinh City-1018.jpeg,0.9764579385519028,9.92840437241054N,106.32492539803008E,[]
Trà Vinh City-1129.jpeg,0.9764086827635764,9.933794239462024N,106.33997394682622E,"['735.jpeg', '758.jpeg', '733.jpeg']"
Cai Lậy Town-3161.jpeg,0.9763187021017076,10.420800174563325N,106.18134424358063E,[]
Cai Lậy Town-5487.jpeg,0.9763186201453208,10.463919110975251N,106.14435194531758E,[]
Trà Vinh City-901.jpeg,0.9762504324316978,9.923014505359054N,106.33450174726396E,['720.jpeg']
Trà Vinh City-154.jpeg,0.9762470200657845,9.896065170101627N,106.34544614638844E,[]
Tây Ninh City-1833.jpeg,0.9762157946825027,11.343432640153088N,106.11413250131875E,['988.jpeg']
Long Xuyen City-2365.jpeg,0.976211242377758,10.362356140446725N,105.44817627170053E,['10.jpeg']
Cai Lậy Town-6214.jpeg,0.9761806502938272,10.478741245366848N,106.12791092386735E,[]
Trà Vinh City-407.jpeg,0.9761601015925409,9.906844904204599N,106.31124489912449E,[]
Long Xuyen City-3497.jpeg,0.9761457517743112,10.385263075415558N,105.43036824776134E,['483.jpeg']
Trà Vinh City-595.jpeg,0.9760512411594392,9.912234771256085N,106.34407809649787E,[]
Sa Đéc City-2831.jpeg,0.9760405123233796,10.370473610661076N,105.71620900188731E,[]
Go Cong Town-2276.jpeg,0.976005494594574,10.402126741033015N,106.6964026842582E,[]
Binh Minh Town-3375.jpeg,0.9759906753897668,10.071975342376048N,105.85563672813252E,[]
Cai Lậy Town-3585.jpeg,0.9759144186973572,10.428884975140564N,106.1827143287015E,[]
Binh Minh Town-2311.jpeg,0.9759104028344154,10.046373473881486N,105.8679527838869E,[]
Trà Vinh City-583.jpeg,0.9758988246321678,9.912234771256085N,106.32766149781118E,[]
Cao Lanh City-4066.jpeg,0.9758018553256989,10.485045275156622N,105.6070951632189E,[]
Cai Lậy Town-5869.jpeg,0.9757754430174828,10.470656444789617N,106.18408441382235E,[]
Cai Lậy Town-6651.jpeg,0.975751131772995,10.493563379758449N,106.09091862560427E,[]
Binh Minh Town-2157.jpeg,0.9757203683257104,10.043678540355744N,105.84332067237811E,[]
Long Hồ District-1161.jpeg,0.97566706687212,10.15938017132657N,105.94411754505647E,[]
Cao Lanh City-4838.jpeg,0.9756581708788872,10.499867409548223N,105.64135110989872E,[]
Cai Lậy Town-3240.jpeg,0.9756400808691978,10.422147641326202N,106.19230492454746E,[]
