,image,pred,lon,lat,anditi_id
159,Cao Lanh City-2855.jpeg,0.967345,10.458095939899168N,105.64272134776591E,950
117,Mỹ Hào District-1241.jpeg,0.96732384,20.919063875981042N,106.10939914054936E,226
234,Mỹ Hào District-1241.jpeg,0.96732384,20.919063875981042N,106.10939914054936E,227
260,Cao Lanh City-4206.jpeg,0.9673084,10.487740208682368N,105.61531659042207E,509
188,Cao Lanh City-2530.jpeg,0.96729714,10.45135860608481N,105.64272134776591E,949
593,Thanh Liêm District-3202.jpeg,0.96728647,20.44505547841839N,105.92326344368263E,390
291,Sa Đéc City-2693.jpeg,0.9672695,10.363736276846714N,105.72442680314552E,520
241,Long Hồ District-5516.jpeg,0.9671734,10.225406042707299N,105.94274829977763E,562
84,Duy Tiên District-3644.jpeg,0.9671396,20.64834297905742N,105.95905252570155E,618
186,Phu Ly City-750.jpeg,0.96711993,20.52085520851777N,105.96893218872448E,355
39,Cao Lanh City-2579.jpeg,0.9670862,10.452706072847677N,105.61531659042207E,513
245,Ninh Bình-1447.jpeg,0.96708304,20.250959742820164N,105.9888148571995E,877
142,Hoa Lư District-2307.jpeg,0.96707445,20.2438056442552N,105.93490911003464E,428
134,Hoa Lư District-2307.jpeg,0.96707445,20.2438056442552N,105.93490911003464E,427
177,Chau Doc City-3782.jpeg,0.9670605,10.694437542266506N,105.12619050239051E,471
240,Mỹ Tho-3630.jpeg,0.96704406,10.393388874842957N,106.33685817033654E,589
244,Mỹ Tho-3630.jpeg,0.96704406,10.393388874842957N,106.33685817033654E,588
17,Long Xuyen City-2432.jpeg,0.9670022,10.363703607209597N,105.4468064237052E,10
66,Duy Tiên District-4873.jpeg,0.9669594,20.66586004697526N,105.99216803615124E,318
75,Long Hồ District-5316.jpeg,0.9669239,10.22136364241868N,105.9345328281047E,564
511,Hiệp Hòa District-9241.jpeg,0.96691406,21.398232285332018N,105.99340645359315E,134
237,Yên Mỹ District-2234.jpeg,0.9669107,20.890919143309524N,106.0205108548486E,248
