image,pred,lon,lat
Hiệp Hòa District-2038.jpeg,0.9488480240106583,21.372630416836827N,105.97170813559445E
Long Xuyen City-794.jpeg,0.9487690255045891,10.37987320836402N,105.38105371992982E
Tây Ninh City-536.jpeg,0.9486543014645576,11.350169973967425N,106.09214179096081E
Cao Lanh City-409.jpeg,0.9483595192432404,10.435189004930317N,105.6660153915082E
Hiệp Hòa District-2257.jpeg,0.9479029923677444,21.3941898850435N,105.95724259026198E
Thái Bình-67.jpeg,0.9474162086844444,20.42038330733631N,106.32632120285044E
Duy Tiên District-20.jpeg,0.9472190290689468,20.564800039756957N,105.97057096411882E
Thanh Liêm District-287.jpeg,0.9471910670399666,20.410021342582795N,105.93332984179821E
Hung Yen City-293.jpeg,0.9468931630253792,20.63678227502942N,106.0604834239998E
Ninh Bình-236.jpeg,0.946801207959652,20.238832541954036N,105.9916872412553E
Thanh Liêm District-338.jpeg,0.9465995579957962,20.415411209634446N,105.90456870432516E
Châu Thành District-320.jpeg,0.9462063163518906,10.262396737830992N,106.24301318852424E
Long Xuyen City-551.jpeg,0.9457511380314827,10.35831374015807N,105.4468064237052E
Thanh Liêm District-1241.jpeg,0.945738211274147,20.46930988015091N,105.94195818304013E
Thanh Liêm District-1848.jpeg,0.945667214691639,20.507038949512445N,105.93045372805089E
Hiệp Hòa District-62.jpeg,0.9451158046722412,21.237883740545165N,105.95145637212903E
Mỹ Tho-680.jpeg,0.9450536146759987,10.377219273688445N,106.34370720788299E
Hiệp Hòa District-1095.jpeg,0.9449200555682182,21.318731746320154N,105.93120460866358E
Duy Tiên District-1337.jpeg,0.9448314532637596,20.67529231431579N,105.92449721044969E
Tam Điệp-549.jpeg,0.9445528909564018,20.15203467602668N,105.92684074811658E
Sa Đéc City-288.jpeg,0.9445344656705856,10.303100272517428N,105.74360167274783E
Long Hồ District-2312.jpeg,0.9443632662296295,10.312991382293871N,105.97287169591176E
Long Xuyen City-1221.jpeg,0.9441422671079636,10.417602277724422N,105.4468064237052E
Cao Lanh City-226.jpeg,0.9440459683537483,10.424409270827347N,105.63312968269553E
Phu Ly City-771.jpeg,0.9439747035503387,20.561279211405186N,105.91856790582808E
Mỹ Tho-362.jpeg,0.9438759610056877,10.355659805482505N,106.33822797784565E
Trà Vinh City-353.jpeg,0.9438359960913658,9.947268907090702N,106.34271004660732E
Duy Tiên District-359.jpeg,0.9436955004930496,20.61600377674763N,105.98496901214044E
Châu Thành District-2108.jpeg,0.9436598718166351,10.310905541294362N,106.23753521655031E
Hoa Lư District-1071.jpeg,0.9436510801315308,20.297704314771725N,105.94783524979243E
Hung Yen City-670.jpeg,0.9434866681694984,20.682596144968457N,106.05760327405113E
Mỹ Hào District-330.jpeg,0.9434785544872284,20.92041134274402N,106.1310383462575E
Chau Doc City-1166.jpeg,0.9433876723051071,10.714649543709534N,105.10425040588055E
Hiệp Hòa District-1643.jpeg,0.9432106390595436,21.34837601510432N,105.93988393586307E
Châu Thành District-788.jpeg,0.942598283290863,10.275871405459705N,106.28957595030268E
Vĩnh Long-320.jpeg,0.941876694560051,10.251692338402854N,105.9856692097582E
Hiệp Hòa District-1225.jpeg,0.9417881742119789,21.32681654689765N,105.90805973613166E
Hiệp Hòa District-1625.jpeg,0.9417388886213303,21.34568108157849N,106.02378409879131E
Tam Điệp-742.jpeg,0.9417377859354019,20.162814410129968N,105.9239699212754E
Yên Mỹ District-344.jpeg,0.941557452082634,20.877444475680456N,106.0017606770226E
Phu Ly City-651.jpeg,0.9411805272102356,20.55319441082771N,105.88978831560182E
Hoa Lư District-19.jpeg,0.9410616457462311,20.181822173161407N,105.95070772529417E
Bac Giang City-805.jpeg,0.9410573393106461,21.310344012792505N,106.16491887386432E
Tam Điệp-493.jpeg,0.9408587217330933,20.149339742500864N,105.88951999918079E
Hiệp Hòa District-2439.jpeg,0.9407041370868683,21.41844428677601N,105.96881502652796E
Chau Doc City-946.jpeg,0.9406391233205795,10.693090075503575N,105.15635813509175E
Cai Lậy Town-699.jpeg,0.9401302635669708,10.414062840748926N,106.12654083874648E
Phu Ly City-754.jpeg,0.9399460032582283,20.55858427787936N,105.9761270862806E
Cai Lậy Town-1344.jpeg,0.9398286193609238,10.462571644212304N,106.11832032802134E
Vĩnh Long-90.jpeg,0.9394367933273315,10.235522737248402N,105.95554391083817E
Hiệp Hòa District-345.jpeg,0.9393192380666733,21.270222942855153N,105.95145637212903E
Cao Lanh City-112.jpeg,0.9391946643590927,10.416324470250116N,105.66875586724257E
Go Cong Town-328.jpeg,0.9390485361218452,10.376524872538408N,106.68133252539432E
Hiệp Hòa District-1484.jpeg,0.9380996972322464,21.340291214526815N,105.90805973613166E
Hiệp Hòa District-1892.jpeg,0.9377630427479744,21.36185068273349N,105.98906678999342E
Hung Yen City-567.jpeg,0.9372140169143677,20.669121477339324N,106.0604834239998E
Thái Bình-173.jpeg,0.9370227158069611,20.433857974965427N,106.32632120285044E
Duy Tiên District-418.jpeg,0.9360231086611748,20.62139364379928N,105.92449721044969E
Chau Doc City-1082.jpeg,0.9360226541757584,10.703869809606557N,105.12619050239051E
Hiệp Hòa District-1859.jpeg,0.9353206232190132,21.359155749207655N,106.0208909897248E
Yên Mỹ District-872.jpeg,0.9352299496531487,20.912478611516228N,106.004645319765E
Tây Ninh City-375.jpeg,0.9351843446493149,11.336695306338685N,106.08664411337125E
Vĩnh Long-18.jpeg,0.934936486184597,10.227437936671175N,105.95280524729999E
Mỹ Tho-806.jpeg,0.9349209517240524,10.385304074265676N,106.37658258810718E
Hiệp Hòa District-2220.jpeg,0.9341086447238922,21.388800017991827N,106.00931855345885E
Hiệp Hòa District-1396.jpeg,0.9338640943169594,21.334901347475153N,105.963028808395E
Chau Doc City-790.jpeg,0.9326336830854416,10.685005274926342N,105.0740827731793E
Duy Tiên District-331.jpeg,0.9323797821998596,20.6133088432218N,105.98496901214044E
Cao Lanh City-935.jpeg,0.9321034029126167,10.478307941342212N,105.61394635255486E
Hiệp Hòa District-1521.jpeg,0.9306074380874634,21.340291214526815N,106.01510477159182E
Hiệp Hòa District-1034.jpeg,0.9302238076925278,21.313341879268485N,106.01799788065833E
Mỹ Tho-283.jpeg,0.9289179369807243,10.350269938431014N,106.34370720788299E
Bac Giang City-624.jpeg,0.9286739751696587,21.291479478111672N,106.20540567787614E
Long Xuyen City-1165.jpeg,0.927837923169136,10.412212410672934N,105.43310794375199E
Yên Mỹ District-1068.jpeg,0.9277286380529404,20.931343146197026N,106.02195317621951E
Duy Tiên District-999.jpeg,0.9273160547018051,20.653732846109186N,105.92449721044969E
Tam Điệp-764.jpeg,0.9269298315048218,20.165509343655785N,105.82636180867401E
Cao Lanh City-644.jpeg,0.9260745868086815,10.451358606084778N,105.6660153915082E
Hung Yen City-731.jpeg,0.9259359166026115,20.69068094554593N,106.03456207446143E
Yên Mỹ District-285.jpeg,0.9246815368533134,20.872054608628797N,106.06233817461333E
Bac Giang City-357.jpeg,0.9246567189693451,21.27261494343084N,106.15913504471978E
Phu Ly City-405.jpeg,0.9237456917762756,20.534329876146938N,105.9876389223711E
