,image,pred,lon,lat,anditi_id
123,Yên Mỹ District-714.jpeg,0.96101207,20.90169887741291N,105.98445282056811E,265
131,Long Hồ District-1058.jpeg,0.96098644,10.199804174212684N,105.92905584698941E,40
103,Cai Lậy Town-991.jpeg,0.9609216,10.435622308954873N,106.18956475430575E,779
305,Hiệp Hòa District-1852.jpeg,0.96090966,21.359155749207655N,106.00063922625938E,184
356,Mỹ Hào District-600.jpeg,0.96083903,20.941970810950647N,106.07044857027468E,235
344,Sa Đéc City-419.jpeg,0.9608116,10.321964807197629N,105.72990533731752E,523
306,Go Cong Town-997.jpeg,0.9607699,10.435813410104764N,106.65941229431952E,847
63,Duy Tiên District-249.jpeg,0.96065295,20.60522404264433N,105.9561729160972E,334
85,Duy Tiên District-249.jpeg,0.96065295,20.60522404264433N,105.9561729160972E,333
33,Long Hồ District-336.jpeg,0.96064216,10.162075104852295N,105.91810188475881E,34
188,Cao Lanh City-635.jpeg,0.9606161,10.451358606084778N,105.64135110989872E,949
524,Duy Tiên District-20.jpeg,0.9605457,20.564800039756957N,105.97057096411882E,342
178,Thanh Liêm District-499.jpeg,0.9605258,20.426190943737737N,105.94195818304013E,371
138,Tam Điệp-686.jpeg,0.9604222,20.160119476604144N,105.91248661391052E,898
499,Sa Đéc City-553.jpeg,0.9603233,10.343524275403572N,105.7381231385757E,521
280,Bac Giang City-368.jpeg,0.96018225,21.27261494343084N,106.19094610501479E,208
240,Binh Minh Town-759.jpeg,0.96017814,10.063890541798765N,105.81047785703305E,23
508,Hoa Lư District-1071.jpeg,0.9601752,20.297704314771725N,105.94783524979243E,406
488,Hoa Lư District-1071.jpeg,0.9601752,20.297704314771725N,105.94783524979243E,404
208,Hoa Lư District-1071.jpeg,0.9601752,20.297704314771725N,105.94783524979243E,405
391,Phu Ly City-48.jpeg,0.9600438,20.50468560736287N,105.90993402876019E,395
533,Mỹ Hào District-693.jpeg,0.96002346,20.94736067800231N,106.09064516226894E,214
290,Mỹ Hào District-693.jpeg,0.96002346,20.94736067800231N,106.09064516226894E,213
319,Thanh Liêm District-1848.jpeg,0.9599526,20.507038949512445N,105.93045372805089E,398
475,Binh Minh Town-963.jpeg,0.959818,10.085450010004697N,105.82963616598421E,29
492,Hiệp Hòa District-1625.jpeg,0.9598064,21.34568108157849N,106.02378409879131E,185
191,Phu Ly City-405.jpeg,0.95973545,20.534329876146938N,105.9876389223711E,357
283,Phu Ly City-405.jpeg,0.95973545,20.534329876146938N,105.9876389223711E,358
400,Cao Lanh City-935.jpeg,0.95971435,10.478307941342212N,105.61394635255486E,507
203,Go Cong Town-220.jpeg,0.95967615,10.365745138435436N,106.67037240985691E,858
466,Mỹ Tho-324.jpeg,0.95963913,10.35296487195676N,106.34370720788299E,583
654,Hiệp Hòa District-706.jpeg,0.9594622,21.29447734458765N,105.963028808395E,178
385,Long Xuyen City-405.jpeg,0.9594235,10.344839072529355N,105.45776520766776E,14
90,Ninh Bình-236.jpeg,0.95934296,20.238832541954036N,105.9916872412553E,881
217,Mỹ Hào District-542.jpeg,0.95933694,20.936580943898992N,106.14546448339627E,216
180,Duy Tiên District-331.jpeg,0.95925105,20.6133088432218N,105.98496901214044E,339
277,Long Hồ District-2297.jpeg,0.959209,10.31029644876813N,105.99751811093057E,681
598,Long Hồ District-2297.jpeg,0.959209,10.31029644876813N,105.99751811093057E,551
164,Hung Yen City-605.jpeg,0.95915186,20.674511344390982N,106.04896282420499E,276
72,Hung Yen City-605.jpeg,0.95915186,20.674511344390982N,106.04896282420499E,277
369,Hiệp Hòa District-2257.jpeg,0.9590885,21.3941898850435N,105.95724259026198E,139
254,Hiệp Hòa District-2257.jpeg,0.9590885,21.3941898850435N,105.95724259026198E,138
284,Phu Ly City-754.jpeg,0.9589451,20.55858427787936N,105.9761270862806E,360
414,Phu Ly City-754.jpeg,0.9589451,20.55858427787936N,105.9761270862806E,361
251,Thái Bình-277.jpeg,0.9589408,20.441942775542895N,106.33207371767911E,436
253,Hoa Lư District-1041.jpeg,0.9585278,20.2950093812459N,105.95070772529417E,407
15,Bến Tre City-220.jpeg,0.95848864,10.221940538394358N,106.36527767355018E,703
562,Binh Minh Town-519.jpeg,0.95847327,10.042331073592832N,105.83510996854169E,30
354,Hiệp Hòa District-1034.jpeg,0.95832664,21.313341879268485N,106.01799788065833E,181
619,Cao Lanh City-560.jpeg,0.95832545,10.44596873903329N,105.63038920696117E,944
229,Bến Tre City-635.jpeg,0.95826954,10.251584807177524N,106.4036170923903E,700
489,Vĩnh Long-315.jpeg,0.95811576,10.251692338402854N,105.97197589206726E,45
628,Vĩnh Long-315.jpeg,0.95811576,10.251692338402854N,105.97197589206726E,667
443,Vĩnh Long-315.jpeg,0.95811576,10.251692338402854N,105.97197589206726E,44
361,Trà Vinh City-430.jpeg,0.9578561,9.958048641193665N,106.34818224616954E,740
539,Trà Vinh City-430.jpeg,0.9578561,9.958048641193665N,106.34818224616954E,721
349,Trà Vinh City-430.jpeg,0.9578561,9.958048641193665N,106.34818224616954E,749
638,Long Xuyen City-794.jpeg,0.9576102,10.37987320836402N,105.38105371992981E,491
532,Yên Mỹ District-737.jpeg,0.9574792,20.90169887741291N,106.05079960364367E,242
25,Cao Lanh City-775.jpeg,0.9574628,10.464833273713493N,105.58654159521102E,499
504,Hung Yen City-610.jpeg,0.95744246,20.674511344390982N,106.06336357394854E,278
263,Bac Giang City-568.jpeg,0.957397,21.286089611060007N,106.24010865274344E,187
655,Bac Giang City-568.jpeg,0.957397,21.286089611060007N,106.24010865274344E,186
625,Long Hồ District-1306.jpeg,0.95736825,10.218668708892883N,105.96739471479646E,664
239,Phu Ly City-922.jpeg,0.9572936,20.57475387903431N,105.90993402876019E,347
295,Phu Ly City-922.jpeg,0.9572936,20.57475387903431N,105.90993402876019E,346
232,Hung Yen City-731.jpeg,0.95719105,20.69068094554593N,106.03456207446143E,270
644,Long Xuyen City-884.jpeg,0.9571295,10.385263075415502N,105.43858733573327E,937
651,Hiệp Hòa District-2439.jpeg,0.9570392,21.418444286776005N,105.96881502652796E,135
623,Yên Mỹ District-285.jpeg,0.9568609,20.872054608628797N,106.06233817461333E,258
387,Cao Lanh City-112.jpeg,0.9568479,10.416324470250116N,105.66875586724257E,518
376,Chau Doc City-616.jpeg,0.95664877,10.674225540823365N,105.08505282143432E,3
559,Thái Bình-173.jpeg,0.95655906,20.433857974965427N,106.32632120285044E,433
375,Thái Bình-173.jpeg,0.95655906,20.433857974965427N,106.32632120285044E,432
411,Vĩnh Long-278.jpeg,0.95653313,10.248997404877116N,105.98293054622E,677
214,Vĩnh Long-278.jpeg,0.95653313,10.248997404877116N,105.98293054622E,676
599,Vĩnh Long-431.jpeg,0.956463,10.259777138980084N,105.93637326607089E,545
548,Bac Giang City-743.jpeg,0.9561163,21.302259212215002N,106.17937844672568E,196
152,Ninh Bình-499.jpeg,0.95608485,20.268476810738072N,105.94860148041842E,114
166,Ninh Bình-499.jpeg,0.95608485,20.268476810738072N,105.94860148041842E,872
110,Duy Tiên District-424.jpeg,0.95602185,20.62139364379928N,105.9417748680756E,336
426,Hiệp Hòa District-1643.jpeg,0.95565164,21.34837601510432N,105.93988393586307E,148
175,Vĩnh Long-58.jpeg,0.9555341,10.232827803722659N,105.94732792022363E,544
249,Hiệp Hòa District-624.jpeg,0.9554305,21.28908747753599N,105.94567015399605E,154
64,Sa Đéc City-129.jpeg,0.95531404,10.281540804311488N,105.7572980081781E,531
415,Mỹ Tho-239.jpeg,0.9551774,10.347575004905272N,106.3272695177709E,584
57,Thái Bình-67.jpeg,0.95491475,20.42038330733631N,106.32632120285044E,445
67,Thái Bình-67.jpeg,0.95491475,20.42038330733631N,106.32632120285044E,446
323,Thanh Liêm District-338.jpeg,0.95457625,20.415411209634446N,105.90456870432516E,380
357,Thanh Liêm District-1037.jpeg,0.95456606,20.458530146047615N,105.89594036308324E,381
165,Hung Yen City-293.jpeg,0.9545625,20.63678227502942N,106.06048342399983E,297
384,Hiệp Hòa District-1802.jpeg,0.9545032,21.356460815681825N,105.98617368092691E,123
308,Hiệp Hòa District-1802.jpeg,0.9545032,21.356460815681825N,105.98617368092691E,124
332,Hiệp Hòa District-842.jpeg,0.95430315,21.302562145165147N,105.99774611719289E,179
643,Thanh Liêm District-1781.jpeg,0.9542098,20.501649082460798N,105.96496709301856E,364
154,Yên Mỹ District-872.jpeg,0.95416874,20.912478611516228N,106.004645319765E,108
582,Hiệp Hòa District-1230.jpeg,0.95372486,21.32681654689765N,105.9225252814641E,158
325,Go Cong Town-113.jpeg,0.95363575,10.35496540433247N,106.66489235208823E,848
112,Vĩnh Long-358.jpeg,0.9536076,10.254387271928598N,105.97471455560544E,668
141,Vĩnh Long-358.jpeg,0.9536076,10.254387271928598N,105.97471455560544E,669
649,Thanh Liêm District-636.jpeg,0.9536043,20.434275744315205N,105.96209097927128E,370
561,Trà Vinh City-314.jpeg,0.9534814,9.939184106513476N,106.3399739468262E,747
515,Hiệp Hòa District-1225.jpeg,0.9533012,21.32681654689765N,105.90805973613166E,161
399,Hiệp Hòa District-1225.jpeg,0.9533012,21.32681654689765N,105.90805973613166E,160
353,Mỹ Hào District-314.jpeg,0.9532613,20.92041134274402N,106.08487470741345E,230
246,Ninh Bình-351.jpeg,0.95314413,20.24961227605732N,105.9888148571995E,877
378,Hiệp Hòa District-1291.jpeg,0.9530031,21.329511480423488N,105.95724259026198E,150
75,Long Hồ District-1327.jpeg,0.9529889,10.221363642418622N,105.9345328281047E,564
498,Ninh Bình-198.jpeg,0.9526012,20.23613760842822N,105.9600910166416E,882
568,Vĩnh Long-124.jpeg,0.9525578,10.238217670774144N,105.96923722852908E,665
405,Ninh Bình-487.jpeg,0.9525565,20.265781877212248N,105.96583578475317E,876
382,Mỹ Hào District-301.jpeg,0.95250505,20.917716409218183N,106.136808801113E,218
339,Thanh Liêm District-1737.jpeg,0.9523636,20.498954148934974N,105.95346263802935E,365
260,Hoa Lư District-151.jpeg,0.95233905,20.200686707842156N,105.97081505380628E,423
451,Hiệp Hòa District-1704.jpeg,0.9522425,21.351070948630156N,105.97749435372745E,126
449,Cao Lanh City-733.jpeg,0.95200896,10.45944340666201N,105.63861063416432E,948
544,Cao Lanh City-733.jpeg,0.95200896,10.45944340666201N,105.63861063416432E,946
272,Tây Ninh City-1662.jpeg,0.9518366,11.431017979739876N,106.11413250131899E,611
565,Mỹ Tho-412.jpeg,0.95127994,10.358354739008245N,106.36562412803248E,820
288,Phu Ly City-691.jpeg,0.9512757,20.555889344353528N,105.90130015169233E,109
373,Phu Ly City-691.jpeg,0.9512757,20.555889344353528N,105.90130015169233E,628
395,Hung Yen City-567.jpeg,0.9512596,20.669121477339324N,106.06048342399983E,281
211,Hung Yen City-567.jpeg,0.9512596,20.669121477339324N,106.06048342399983E,280
433,Phu Ly City-214.jpeg,0.9508608,20.52355014204364N,105.92144586485071E,639
407,Thanh Liêm District-1900.jpeg,0.95083576,20.509733883038265N,105.98222377550239E,363
287,Thanh Liêm District-1900.jpeg,0.95083576,20.509733883038265N,105.98222377550239E,362
163,Binh Minh Town-786.jpeg,0.9507448,10.066585475324505N,105.81595165959052E,27
102,Go Cong Town-945.jpeg,0.9503217,10.433118476579022N,106.62653194770736E,841
503,Vĩnh Long-425.jpeg,0.9501049,10.259777138980084N,105.91994128484181E,651
142,Hoa Lư District-584.jpeg,0.94994724,20.243805644255286N,105.93634534778549E,428
134,Hoa Lư District-584.jpeg,0.94994724,20.243805644255286N,105.93634534778549E,427
546,Long Hồ District-1120.jpeg,0.9499178,10.202499107738426N,106.00299509204586E,683
603,Hung Yen City-373.jpeg,0.9497889,20.644867075606896N,106.05184297415371E,290
635,Hung Yen City-373.jpeg,0.9497889,20.644867075606896N,106.05184297415371E,289
367,Hiệp Hòa District-1521.jpeg,0.9495721,21.340291214526815N,106.01510477159182E,182
379,Hiệp Hòa District-1521.jpeg,0.9495721,21.340291214526815N,106.01510477159182E,183
366,Phu Ly City-419.jpeg,0.9495036,20.537024809672765N,105.90417811071494E,627
181,Ninh Bình-423.jpeg,0.9493652,20.257697076634788N,105.96870816880897E,875
490,Mỹ Tho-411.jpeg,0.94933736,10.358354739008245N,106.36288451301378E,829
242,Long Hồ District-1394.jpeg,0.94930345,10.22675350947011N,105.94274829977763E,562
418,Long Hồ District-1394.jpeg,0.94930345,10.22675350947011N,105.94274829977763E,563
93,Chau Doc City-1166.jpeg,0.9490387,10.714649543709534N,105.10425040588055E,5
584,Phu Ly City-420.jpeg,0.94865555,20.537024809672765N,105.90705606973756E,629
336,Mỹ Tho-63.jpeg,0.94807804,10.331405403750816N,106.31631105769615E,787
310,Mỹ Tho-63.jpeg,0.94807804,10.331405403750816N,106.31631105769615E,62
172,Go Cong Town-994.jpeg,0.9480291,10.435813410104764N,106.65119220766648E,53
337,Sa Đéc City-402.jpeg,0.946697,10.319269873671887N,105.73538387148965E,524
95,Cao Lanh City-665.jpeg,0.94660646,10.454053539610522N,105.6276487312268E,942
316,Hung Yen City-432.jpeg,0.9464114,20.650256942658544N,106.07776432369208E,305
471,Hiệp Hòa District-785.jpeg,0.9463662,21.299867211639317N,105.96013569932849E,993
206,Trà Vinh City-472.jpeg,0.94611406,9.963438508245146N,106.3399739468262E,736
567,Thanh Liêm District-79.jpeg,0.94608665,20.38307200732456N,105.92182538680898E,378
2,Tam Điệp-584.jpeg,0.94597644,20.1547296095525N,105.89813247970443E,891
137,Go Cong Town-1033.jpeg,0.9459745,10.43850834363051N,106.65667226543519E,600
588,Cao Lanh City-215.jpeg,0.94594586,10.424409270827345N,105.60298444961734E,495
104,Cao Lanh City-1031.jpeg,0.9457521,10.486392741919444N,105.60024397388295E,505
554,Phu Ly City-467.jpeg,0.94544744,20.53971974319859N,105.91856790582808E,632
560,Phu Ly City-467.jpeg,0.94544744,20.53971974319859N,105.91856790582808E,630
551,Phu Ly City-467.jpeg,0.94544744,20.53971974319859N,105.91856790582808E,646
98,Chau Doc City-790.jpeg,0.94531244,10.685005274926342N,105.07408277317931E,4
483,Long Hồ District-752.jpeg,0.94525075,10.18093963953249N,105.98382565814235E,680
355,Long Hồ District-752.jpeg,0.94525075,10.18093963953249N,105.98382565814235E,41
580,Thanh Liêm District-1241.jpeg,0.9449652,20.46930988015091N,105.94195818304013E,401
10,Tam Điệp-412.jpeg,0.9449412,20.143949875449223N,105.87803669181591E,889
6,Tam Điệp-412.jpeg,0.9449412,20.143949875449223N,105.87803669181591E,892
12,Cao Lanh City-314.jpeg,0.9442617,10.429799137878831N,105.64135110989872E,515
430,Hiệp Hòa District-2386.jpeg,0.9439683,21.40766455267267N,105.97170813559445E,136
459,Hiệp Hòa District-2386.jpeg,0.9439683,21.40766455267267N,105.97170813559445E,137
620,Hiệp Hòa District-10.jpeg,0.9432872,21.227104006441834N,105.97460124466096E,167
170,Binh Minh Town-500.jpeg,0.9428564,10.03963614006709N,105.87616348772275E,539
148,Bac Giang City-295.jpeg,0.9425149,21.267225076379173N,106.16202695929205E,192
607,Tây Ninh City-974.jpeg,0.94245404,11.379814242750655N,106.08114643578169E,610
507,Duy Tiên District-874.jpeg,0.942419,20.645648045531708N,105.98784862174475E,312
204,Ninh Bình-140.jpeg,0.9422714,20.228052807850748N,105.9916872412553E,420
402,Phu Ly City-665.jpeg,0.94149053,20.55319441082771N,105.93007974191856E,640
602,Bac Giang City-438.jpeg,0.94114417,21.278004810482507N,106.19672993415932E,106
445,Thanh Liêm District-375.jpeg,0.94070816,20.418106143160266N,105.91319704556706E,376
597,Hiệp Hòa District-2179.jpeg,0.9404869,21.386105084466N,105.97460124466096E,130
340,Hiệp Hòa District-1801.jpeg,0.94042605,21.356460815681825N,105.98328057186043E,995
463,Long Hồ District-213.jpeg,0.9404215,10.15399030427507N,106.02490301650705E,566
550,Long Hồ District-213.jpeg,0.9404215,10.15399030427507N,106.02490301650705E,565
187,Yên Mỹ District-355.jpeg,0.9403717,20.877444475680452N,106.03349174718917E,251
591,Vĩnh Long-37.jpeg,0.9399545,10.230132870196918N,105.95554391083817E,42
473,Hiệp Hòa District-2030.jpeg,0.939559,21.372630416836827N,105.94856326306252E,140
146,Mỹ Hào District-922.jpeg,0.9392216,20.96353027915728N,106.07333379770245E,621
135,Mỹ Hào District-922.jpeg,0.9392216,20.96353027915728N,106.07333379770245E,107
106,Hiệp Hòa District-62.jpeg,0.9390868,21.237883740545165N,105.95145637212903E,165
522,Thanh Liêm District-1064.jpeg,0.93878174,20.458530146047615N,105.97359543426047E,369
71,Bến Tre City-695.jpeg,0.93863404,10.256974674229012N,106.37349326330161E,706
525,Long Hồ District-2033.jpeg,0.93855065,10.288736980562188N,105.99204112981529E,549
36,Hiệp Hòa District-254.jpeg,0.9384122,21.262138142277657N,105.97460124466096E,170
128,Thanh Liêm District-1062.jpeg,0.9380473,20.458530146047615N,105.96784320676586E,368
639,Long Xuyen City-913.jpeg,0.93718314,10.387958008941244N,105.43310794375199E,924
129,Duy Tiên District-509.jpeg,0.9366048,20.62678351085093N,105.91585838163671E,328
450,Thanh Liêm District-1534.jpeg,0.9359558,20.48547948130585N,105.96496709301856E,367
453,Thanh Liêm District-1534.jpeg,0.9359558,20.48547948130585N,105.96496709301856E,366
241,Mỹ Tho-905.jpeg,0.93560624,10.393388874842904N,106.33822797784565E,589
245,Mỹ Tho-905.jpeg,0.93560624,10.393388874842904N,106.33822797784565E,588
233,Bến Tre City-310.jpeg,0.9354365,10.230025338971585N,106.37075473338447E,692
413,Go Cong Town-194.jpeg,0.93534166,10.363050204909696N,106.6758524676256E,850
558,Hoa Lư District-120.jpeg,0.93519557,20.197991774316336N,105.97081505380628E,424
621,Binh Minh Town-269.jpeg,0.935123,10.020771605386901N,105.83510996854169E,31
151,Yên Mỹ District-1087.jpeg,0.93464386,20.934038079722853N,106.02772246170434E,237
447,Binh Minh Town-842.jpeg,0.934259,10.071975342375989N,105.83237306726295E,534
497,Hiệp Hòa District-392.jpeg,0.93395495,21.272917876380983N,105.97460124466096E,174
218,Bac Giang City-483.jpeg,0.93317604,21.280699744008338N,106.21408142159298E,202
91,Tam Điệp-637.jpeg,0.93263656,20.157424543078324N,105.91248661391052E,887
406,Bến Tre City-129.jpeg,0.93164974,10.211160804291389N,106.39540150263886E,709
37,Bến Tre City-129.jpeg,0.93164974,10.211160804291389N,106.39540150263886E,710
495,Long Hồ District-844.jpeg,0.9315251,10.186329506583974N,105.9345328281047E,38
127,Tây Ninh City-84.jpeg,0.9312616,11.307051037555455N,106.11688134011376E,977
126,Chau Doc City-1138.jpeg,0.92974216,10.709259676658043N,105.12070547826302E,469
41,Hung Yen City-267.jpeg,0.92889917,20.634087341503598N,106.07776432369208E,301
335,Hung Yen City-267.jpeg,0.92889917,20.634087341503598N,106.07776432369208E,300
397,Phu Ly City-341.jpeg,0.9288436,20.531634942621114N,105.92720178289593E,113
300,Phu Ly City-341.jpeg,0.9288436,20.531634942621114N,105.92720178289593E,112
231,Yên Mỹ District-957.jpeg,0.92878217,20.917868478567886N,106.05656888912849E,240
312,Yên Mỹ District-957.jpeg,0.92878217,20.917868478567886N,106.05656888912849E,241
456,Trà Vinh City-165.jpeg,0.928352,9.914929704781807N,106.31261294901502E,739
557,Trà Vinh City-165.jpeg,0.928352,9.914929704781807N,106.31261294901502E,744
658,Trà Vinh City-165.jpeg,0.928352,9.914929704781807N,106.31261294901502E,729
250,Hung Yen City-137.jpeg,0.92738366,20.623307607400292N,106.08064447364077E,298
613,Phu Ly City-302.jpeg,0.9273347,20.528940009095287N,105.93871361898645E,643
404,Phu Ly City-302.jpeg,0.9273347,20.528940009095287N,105.93871361898645E,354
59,Tây Ninh City-504.jpeg,0.9271702,11.347475040441676N,106.09489062975555E,608
16,Chau Doc City-727.jpeg,0.9268786,10.67961540787485N,105.14538808683676E,475
461,Long Hồ District-1376.jpeg,0.9264998,10.224058575944365N,105.98382565814235E,559
485,Thái Bình-471.jpeg,0.9262143,20.458112376697834N,106.32632120285044E,447
444,Thái Bình-471.jpeg,0.9262143,20.458112376697834N,106.32632120285044E,448
327,Sa Đéc City-525.jpeg,0.92617595,10.338134408352087N,105.74360167274783E,917
368,Bến Tre City-120.jpeg,0.92587113,10.211160804291389N,106.37075473338447E,711
359,Bến Tre City-120.jpeg,0.92587113,10.211160804291389N,106.37075473338447E,691
247,Chau Doc City-742.jpeg,0.92462456,10.682310341400596N,105.06311272492432E,954
225,Duy Tiên District-1447.jpeg,0.9241847,20.6860720484191N,106.01376510818362E,306
401,Hiệp Hòa District-1886.jpeg,0.923837,21.36185068273349N,105.97170813559445E,128
452,Cao Lanh City-569.jpeg,0.92270434,10.44596873903329N,105.65505348857066E,952
477,Cao Lanh City-569.jpeg,0.92270434,10.44596873903329N,105.65505348857066E,953
220,Ninh Bình-572.jpeg,0.92087626,20.279256544841353N,105.9600910166416E,864
329,Ninh Bình-572.jpeg,0.92087626,20.279256544841353N,105.9600910166416E,115
535,Long Hồ District-814.jpeg,0.91964865,10.183634573058232N,106.00299509204586E,568
139,Chau Doc City-1240.jpeg,0.91957635,10.744293812492726N,105.09876538175307E,958
388,Sa Đéc City-347.jpeg,0.9194639,10.31118507309466N,105.74360167274783E,900
523,Yên Mỹ District-363.jpeg,0.9188626,20.877444475680452N,106.05656888912849E,260
612,Sa Đéc City-188.jpeg,0.91853577,10.289625604888718N,105.7572980081781E,22
634,Cai Lậy Town-588.jpeg,0.9184154,10.405978040171693N,106.11009981729622E,595
