image,pred,lon,lat
Mỹ Hào District-931,0.9712726473808289,20.96353027915728N,106.09930084455222E
Yên Mỹ District-562,0.9712519645690918,20.89091914330959N,106.02195317621951E
Mỹ Hào District-260,0.9712364673614502,20.915021475692363N,106.10218607197996E
Hiệp Hòa District-2041,0.9712194800376892,21.372630416836827N,105.98038746279394E
Sa Đéc City-129,0.9711945056915283,10.281540804311488N,105.7572980081781E
Cao Lanh City-636,0.9711724519729614,10.451358606084778N,105.6440915856331E
Yên Mỹ District-1081,0.9711501002311707,20.931343146197026N,106.05945353187091E
Duy Tiên District-522,0.9710087776184082,20.62678351085093N,105.95329330649288E
Tam Điệp-493,0.970978319644928,20.149339742500864N,105.88951999918079E
Bac Giang City-504,0.9709268808364868,21.283394677534172N,106.16202695929204E
Bến Tre City-633,0.9708780646324158,10.251584807177524N,106.398140032556E
Tam Điệp-584,0.9708693027496338,20.1547296095525N,105.89813247970444E
Binh Minh Town-269,0.9708388447761536,10.020771605386901N,105.83510996854167E
Duy Tiên District-441,0.97079998254776,20.62139364379928N,105.99072823134907E
Yên Mỹ District-875,0.9707527160644531,20.912478611516228N,106.01329924799226E
Cao Lanh City-480,0.9707522392272949,10.440578871981804N,105.63312968269553E
Sa Đéc City-666,0.9707451462745667,10.362388810083774N,105.7244268031454E
Long Xuyen City-968,0.9707435965538025,10.39334787599273N,105.41666976780813E
Cao Lanh City-314,0.9706717133522034,10.429799137878831N,105.64135110989872E
Chau Doc City-935,0.9706653952598572,10.693090075503575N,105.12619050239051E
Chau Doc City-754,0.9706606864929199,10.682310341400596N,105.0960228696893E
Tam Điệp-244,0.9706407189369202,20.13047520782012N,105.92971157495782E
Thái Bình-221,0.9706345200538635,20.436552908491254N,106.36658880665104E
Châu Thành District-317,0.9706231951713562,10.262396737830992N,106.23479623056335E
Mỹ Hào District-166,0.9705454707145691,20.904241741589047N,106.12815311882974E
Long Hồ District-986,0.9705373048782349,10.194414307161201N,105.94000980922003E
Tam Điệp-456,0.9705274105072021,20.146644808975044N,105.89526165286318E
Tam Điệp-672,0.9705223441123962,20.160119476604144N,105.87229503813344E
Duy Tiên District-1016,0.9705098867416382,20.653732846109186N,105.97633018332745E
Tam Điệp-366,0.9705089926719666,20.141254941923396N,105.8550700770862E
Hiệp Hòa District-315,0.9704020023345947,21.26752800932932N,105.97460124466096E
Tam Điệp-468,0.9703965187072754,20.146644808975044N,105.92971157495782E
Cao Lanh City-1023,0.9703783988952637,10.486392741919442N,105.57832016800789E
Yên Mỹ District-883,0.9703276753425598,20.912478611516228N,106.03637638993158E
Binh Minh Town-787,0.9703271389007568,10.066585475324505N,105.81868856086925E
Tam Điệp-538,0.9702611565589905,20.15203467602668N,105.89526165286318E
Long Hồ District-1920,0.9702185988426208,10.280652179984958N,105.99751811093057E
Long Xuyen City-1221,0.9702020883560181,10.417602277724422N,105.4468064237052E
Cao Lanh City-584,0.9701846241950989,10.448663672559034N,105.59750349814857E
Tam Điệp-919,0.9701830148696899,20.170899210707425N,105.94406570916391E
Bac Giang City-233,0.9701648354530334,21.259140275801677N,106.21118950702068E
Tam Điệp-592,0.9701542854309082,20.1547296095525N,105.92109909443417E
Chau Doc City-427,0.970152735710144,10.660750873194642N,105.12893301445428E
Thái Bình-174,0.9701391458511353,20.433857974965427N,106.32919746026477E
Bến Tre City-129,0.9701228737831116,10.211160804291389N,106.39540150263886E
Hung Yen City-752,0.9700648784637451,20.693375879071755N,106.03744222441014E
Long Hồ District-1991,0.970054566860199,10.286042047036446N,105.9810871675847E
Yên Mỹ District-872,0.9700505137443542,20.912478611516228N,106.004645319765E
Mỹ Tho-425,0.9700410962104797,10.358354739008243N,106.40123912327536E
Chau Doc City-727,0.9700303673744202,10.67961540787485N,105.14538808683676E
Yên Mỹ District-737,0.970023512840271,20.90169887741291N,106.05079960364367E
Hung Yen City-338,0.9700132608413696,20.639477208555242N,106.10080552328174E
Bến Tre City-721,0.9700007438659668,10.259669607754754N,106.35158502396443E
Hiệp Hòa District-2257,0.969984233379364,21.3941898850435N,105.95724259026198E
Vĩnh Long-358,0.9699772000312805,10.254387271928598N,105.97471455560544E
Long Xuyen City-551,0.9699699878692627,10.35831374015807N,105.4468064237052E
Phu Ly City-726,0.9699504971504211,20.55858427787936N,105.89554423364706E
Tam Điệp-1050,0.9699234366416931,20.178984011284886N,105.90674496022807E
Binh Minh Town-836,0.9698891639709473,10.071975342375989N,105.81595165959052E
Long Xuyen City-666,0.9698810577392578,10.369093474261044N,105.39749189587363E
Hiệp Hòa District-985,0.9698340892791748,21.31064694574265N,106.00931855345885E
Binh Minh Town-1036,0.969767689704895,10.093534810581922N,105.82963616598423E
Tam Điệp-530,0.9697673916816711,20.15203467602668N,105.87229503813344E
Cao Lanh City-818,0.9696900248527527,10.467528207239239N,105.62216777975802E
Hoa Lư District-975,0.9696811437606812,20.28961951419425N,105.95358020079591E
Hoa Lư District-584,0.9696559309959412,20.243805644255286N,105.93634534778548E
Ninh Bình-378,0.969645082950592,20.252307209583137N,105.9859424731437E
Duy Tiên District-501,0.9696447253227234,20.624088577325107N,106.03104276580953E
Sa Đéc City-388,0.9696365594863892,10.316574940146145N,105.74908020691991E
Bến Tre City-669,0.9696280360221863,10.254279740703268N,106.398140032556E
Châu Thành District-617,0.969598114490509,10.270481538408221N,106.3909184318204E
