,image,pred,lon,lat,anditi_id
147,Hiệp Hòa District-89.jpeg,0.11630323,21.240578674070996N,105.97170813559445E,168
64,Binh Minh Town-970.jpeg,0.11282533,10.085450010004697N,105.84879447493539E,532
135,Cai Lậy Town-563.jpeg,0.10481137,10.403283106645949N,106.14024168995502E,768
58,Mỹ Tho-160.jpeg,0.10297997,10.34218513785379N,106.31631105769615E,830
160,Long Xuyen City-876.jpeg,0.09752495,10.385263075415502N,105.41666976780813E,919
97,Cao Lanh City-343.jpeg,0.09434276,10.432494071404575N,105.60298444961734E,494
174,Thái Bình-209.jpeg,0.085870855,20.436552908491254N,106.33207371767911E,434
54,Thái Bình-209.jpeg,0.085870855,20.436552908491254N,106.33207371767911E,435
280,Chau Doc City-884.jpeg,0.08521373,10.69039514197783N,105.09876538175307E,463
72,Hung Yen City-324.jpeg,0.08053168,20.639477208555242N,106.0604834239998E,295
46,Cao Lanh City-695.jpeg,0.073684864,10.456748473136265N,105.62216777975802E,940
29,Duy Tiên District-836.jpeg,0.06934354,20.64295311200589N,106.0224039369966E,309
92,Tây Ninh City-592.jpeg,0.06761778,11.352864907493174N,106.14711856685626E,983
11,Long Xuyen City-248.jpeg,0.06678474,10.331364404900643N,105.45776520766776E,493
229,Long Xuyen City-257.jpeg,0.06673611,10.331364404900643N,105.48242247158353E,931
49,Trà Vinh City-224.jpeg,0.06633095,9.923014505359031N,106.30987684923393E,732
125,Mỹ Tho-697.jpeg,0.06550511,10.377219273688445N,106.39028066320061E,839
249,Ninh Bình-522.jpeg,0.06535504,20.27117174426389N,105.96296340069738E,416
89,Ninh Bình-252.jpeg,0.06495119,20.241527475479863N,105.95434624853E,417
241,Cai Lậy Town-481.jpeg,0.063937865,10.397893239594463N,106.12106049826308E,765
201,Sa Đéc City-194.jpeg,0.063144125,10.289625604888718N,105.77373361069444E,910
116,Cai Lậy Town-639.jpeg,0.0628232,10.40867297369744N,106.15120237092184E,85
8,Tây Ninh City-185.jpeg,0.06262623,11.317830771658448N,106.12787669529285E,96
245,Cai Lậy Town-391.jpeg,0.0625664,10.392503372542977N,106.09639896608768E,81
17,Mỹ Tho-124.jpeg,0.06180152,10.339490204328046N,106.31357144267747E,922
172,Long Hồ District-1317.jpeg,0.061788194,10.218668708892883N,105.99751811093057E,557
105,Bến Tre City-305.jpeg,0.060064867,10.230025338971585N,106.3570620837987E,714
61,Binh Minh Town-802.jpeg,0.058957856,10.066585475324505N,105.8597420800503E,533
285,Phu Ly City-510.jpeg,0.054825835,20.54241467672441N,105.91856790582808E,634
192,Bến Tre City-346.jpeg,0.05408694,10.23272027249733N,106.37897032313595E,695
167,Long Xuyen City-1024.jpeg,0.053238116,10.398737743044219N,105.41393007181749E,480
15,Ninh Bình-143.jpeg,0.05205053,20.228052807850748N,106.0003043934227E,866
188,Vĩnh Long-234.jpeg,0.05198776,10.24630247135137N,105.9692372285291E,666
150,Bến Tre City-778.jpeg,0.051963337,10.265059474806238N,106.3461079641301E,52
232,Ninh Bình-371.jpeg,0.051948726,20.252307209583137N,105.96583578475317E,869
286,Thái Bình-193.jpeg,0.051624227,20.433857974965427N,106.38384635113702E,461
145,Tây Ninh City-477.jpeg,0.051308874,11.34478010691593N,106.11138366252419E,988
155,Cai Lậy Town-245.jpeg,0.051276967,10.381723638440002N,106.1375015197133E,79
53,Cao Lanh City-979.jpeg,0.051236235,10.481002874867958N,105.6440915856331E,18
151,Trà Vinh City-27.jpeg,0.05118303,9.893370236575882N,106.34271004660732E,738
178,Trà Vinh City-27.jpeg,0.05118303,9.893370236575882N,106.34271004660732E,752
179,Long Xuyen City-139.jpeg,0.050888564,10.320584670797672N,105.48242247158353E,16
118,Tây Ninh City-75.jpeg,0.050854873,11.307051037555455N,106.09214179096081E,986
143,Tây Ninh City-97.jpeg,0.050112303,11.309745971081202N,106.08664411337125E,989
110,Tây Ninh City-1205.jpeg,0.04987149,11.393288910379397N,106.13062553408761E,980
107,Chau Doc City-569.jpeg,0.04967532,10.67153060729762N,105.0740827731793E,955
146,Tây Ninh City-198.jpeg,0.049411267,11.320525705184194N,106.09214179096081E,990
138,Tây Ninh City-198.jpeg,0.049411267,11.320525705184194N,106.09214179096081E,985
103,Long Xuyen City-436.jpeg,0.049087435,10.347534006055099N,105.4605049036584E,929
171,Tây Ninh City-53.jpeg,0.04738534,11.304356104029708N,106.09763946855034E,605
82,Trà Vinh City-363.jpeg,0.047290884,9.949963840616443N,106.32629344792062E,574
200,Trà Vinh City-248.jpeg,0.047216076,9.925709438884772N,106.33176564748287E,746
35,Hung Yen City-107.jpeg,0.04714734,20.62061267387446N,106.08064447364077E,299
26,Sa Đéc City-229.jpeg,0.047103383,10.295015471940204N,105.7572980081781E,906
223,Trà Vinh City-349.jpeg,0.04668116,9.947268907090702N,106.33176564748287E,575
268,Tây Ninh City-127.jpeg,0.04633986,11.312440904606953N,106.1031371461399E,967
99,Ninh Bình-345.jpeg,0.04630542,20.24961227605732N,105.97158055286475E,873
127,Tây Ninh City-7.jpeg,0.04616284,11.296271303452464N,106.10588598493464E,992
55,Phu Ly City-1006.jpeg,0.04592314,20.582838679611783N,105.93007974191856E,344
163,Bến Tre City-764.jpeg,0.045847874,10.262364541280496N,106.38444738297022E,713
187,Tây Ninh City-312.jpeg,0.045829855,11.331305439287188N,106.08114643578169E,963
141,Bến Tre City-443.jpeg,0.045802973,10.240805073074556N,106.33515384446149E,690
173,Long Hồ District-678.jpeg,0.045588452,10.178244706006748N,105.9345328281047E,37
136,Go Cong Town-911.jpeg,0.04556877,10.430423543053276N,106.64297212101346E,844
24,Mỹ Tho-528.jpeg,0.045254588,10.366439539585475N,106.35466566795775E,814
186,Trà Vinh City-262.jpeg,0.0452264,9.92840437241051N,106.33176564748287E,728
199,Long Hồ District-1382.jpeg,0.045054927,10.224058575944365N,106.00025660148823E,556
111,Tây Ninh City-200.jpeg,0.044895813,11.320525705184194N,106.09763946855034E,965
115,Phu Ly City-429.jpeg,0.044856332,20.537024809672765N,105.9329577009412E,111
169,Bến Tre City-423.jpeg,0.044673912,10.238110139548812N,106.38718591288739E,712
161,Bến Tre City-423.jpeg,0.044673912,10.238110139548812N,106.38718591288739E,696
248,Hiệp Hòa District-205.jpeg,0.044489108,21.256748275225995N,105.96881502652796E,171
94,Cao Lanh City-788.jpeg,0.04442896,10.464833273713497N,105.62216777975802E,943
69,Vĩnh Long-316.jpeg,0.04416804,10.251692338402854N,105.97471455560544E,670
211,Trà Vinh City-326.jpeg,0.044107247,9.941879040039218N,106.33997394682622E,722
108,Trà Vinh City-326.jpeg,0.044107247,9.941879040039218N,106.33997394682622E,577
74,Trà Vinh City-326.jpeg,0.044107247,9.941879040039218N,106.33997394682622E,737
