image,pred,lon,lat
Duy Tiên District-368.jpeg,0.9658925,20.61600377674763N,106.0224039369966E
Go Cong Town-220.jpeg,0.96587956,10.365745138435436N,106.67037240985691E
Yên Mỹ District-612.jpeg,0.96587044,20.893614076835426N,106.04214567541645E
Châu Thành District-2195.jpeg,0.9658585,10.313600474820104N,106.23205724457637E
Cai Lậy Town-1567.jpeg,0.9656822,10.481436178892512N,106.0991391363294E
Thái Bình-606.jpeg,0.9656357,20.471587044326956N,106.31481617319312E
Mỹ Tho-720.jpeg,0.9655718,10.379914207214187N,106.34918643792035E
Long Hồ District-1544.jpeg,0.9655718,10.240228177098823N,105.94274829977763E
Bến Tre City-220.jpeg,0.9655645,10.221940538394358N,106.36527767355018E
Go Cong Town-173.jpeg,0.9655641,10.360355271383954N,106.6922926409317E
Ninh Bình-164.jpeg,0.9655137,20.23074774137657N,105.99743200936688E
Trà Vinh City-429.jpeg,0.9654876,9.958048641193665N,106.34544614638844E
Duy Tiên District-715.jpeg,0.96548736,20.637563244954233N,105.95905252570155E
Ninh Bình-294.jpeg,0.9654579,20.244222409005683N,105.9916872412553E
Yên Mỹ District-872.jpeg,0.965452,20.912478611516228N,106.004645319765E
Thanh Liêm District-636.jpeg,0.96535826,20.434275744315205N,105.96209097927128E
Duy Tiên District-775.jpeg,0.96535134,20.640258178480057N,105.99072823134907E
Long Xuyen City-1164.jpeg,0.96521384,10.412212410672934N,105.43036824776134E
Thái Bình-67.jpeg,0.9652065,20.42038330733631N,106.32632120285044E
Hiệp Hòa District-1859.jpeg,0.9650783,21.359155749207655N,106.0208909897248E
Châu Thành District-2108.jpeg,0.96499133,10.310905541294362N,106.23753521655031E
Long Hồ District-2312.jpeg,0.9649702,10.312991382293871N,105.97287169591176E
Chau Doc City-1204.jpeg,0.96495,10.725429277812513N,105.11247794207179E
Binh Minh Town-519.jpeg,0.9648879,10.042331073592832N,105.83510996854167E
Cao Lanh City-636.jpeg,0.96487826,10.451358606084778N,105.6440915856331E
Hung Yen City-696.jpeg,0.96485424,20.685291078494277N,106.06624372389724E
Bac Giang City-624.jpeg,0.96478826,21.291479478111672N,106.20540567787614E
Mỹ Hào District-773.jpeg,0.9647706,20.952750545053963N,106.06756334284692E
Mỹ Tho-324.jpeg,0.9645717,10.35296487195676N,106.34370720788299E
Sa Đéc City-288.jpeg,0.96455985,10.303100272517428N,105.74360167274783E
Cao Lanh City-1158.jpeg,0.9645311,10.49717247602242N,105.5728392165391E
Mỹ Tho-654.jpeg,0.964419,10.374524340162703N,106.37658258810718E
Châu Thành District-1138.jpeg,0.96437085,10.283956206036935N,106.35531161398983E
Duy Tiên District-418.jpeg,0.96436065,20.62139364379928N,105.92449721044969E
Hiệp Hòa District-1136.jpeg,0.9643257,21.321426679845985N,105.91963217239763E
Thái Bình-205.jpeg,0.9642926,20.436552908491254N,106.3205686880218E
Tam Điệp-493.jpeg,0.9641792,20.149339742500864N,105.88951999918079E
