image,pred,lon,lat
Thái Bình-277.jpeg,0.9557579,20.441942775542895N,106.33207371767911E
Cao Lanh City-729.jpeg,0.95571876,10.45944340666201N,105.62764873122678E
Hiệp Hòa District-1785.jpeg,0.9554412,21.356460815681825N,105.93699082679657E
Long Xuyen City-1164.jpeg,0.9554368,10.412212410672934N,105.43036824776134E
Châu Thành District-788.jpeg,0.9551125,10.275871405459705N,106.28957595030268E
Hiệp Hòa District-2257.jpeg,0.9543736,21.3941898850435N,105.95724259026198E
Thanh Liêm District-967.jpeg,0.9543139,20.45314027899597N,105.97359543426047E
Hiệp Hòa District-994.jpeg,0.9542724,21.313341879268485N,105.90227351799868E
Go Cong Town-186.jpeg,0.9542281,10.363050204909696N,106.65393223655084E
Tam Điệp-469.jpeg,0.95421064,20.146644808975044N,105.93258240179902E
Hiệp Hòa District-1120.jpeg,0.9541978,21.318731746320154N,106.00353233532584E
Mỹ Hào District-584.jpeg,0.9539643,20.939275877424816N,106.14546448339627E
Vĩnh Long-320.jpeg,0.95390165,10.251692338402854N,105.9856692097582E
Ninh Bình-164.jpeg,0.95380783,20.23074774137657N,105.99743200936688E
Hoa Lư District-1208.jpeg,0.9537303,20.311178982400836N,105.94783524979243E
Tam Điệp-493.jpeg,0.9535267,20.149339742500864N,105.88951999918079E
Cao Lanh City-760.jpeg,0.9533367,10.462138340187751N,105.62764873122678E
Long Xuyen City-1158.jpeg,0.9532551,10.412212410672934N,105.41393007181749E
Thái Bình-606.jpeg,0.9529894,20.471587044326956N,106.31481617319312E
Yên Mỹ District-507.jpeg,0.95292777,20.88822420978376N,105.98733746331052E
Cao Lanh City-409.jpeg,0.9521116,10.435189004930317N,105.6660153915082E
Hoa Lư District-1071.jpeg,0.95199764,20.297704314771725N,105.94783524979243E
Châu Thành District-2108.jpeg,0.95191175,10.310905541294362N,106.23753521655031E
Thái Bình-67.jpeg,0.9518326,20.42038330733631N,106.32632120285044E
Hiệp Hòa District-984.jpeg,0.95132154,21.31064694574265N,106.00642544439235E
Bac Giang City-357.jpeg,0.9512084,21.27261494343084N,106.15913504471978E
Mỹ Hào District-693.jpeg,0.9511574,20.94736067800231N,106.09064516226894E
Tam Điệp-919.jpeg,0.95109487,20.170899210707425N,105.94406570916391E
Hoa Lư District-645.jpeg,0.9509454,20.251890444832753N,105.94496277429069E
Tây Ninh City-363.jpeg,0.9508621,11.334000372812936N,106.13612321167716E
Duy Tiên District-331.jpeg,0.9507266,20.6133088432218N,105.98496901214044E
Ninh Bình-237.jpeg,0.9504485,20.238832541954036N,105.9945596253111E
Cao Lanh City-644.jpeg,0.95023596,10.451358606084778N,105.6660153915082E
Hung Yen City-293.jpeg,0.9501748,20.63678227502942N,106.0604834239998E
Mỹ Tho-774.jpeg,0.94996804,10.38260914073993N,106.3930202782193E
Tây Ninh City-536.jpeg,0.94990414,11.350169973967425N,106.09214179096081E
Bac Giang City-624.jpeg,0.949713,21.291479478111672N,106.20540567787614E
Thanh Liêm District-1848.jpeg,0.9493696,20.507038949512445N,105.93045372805089E
Binh Minh Town-916.jpeg,0.9493589,10.080060142953212N,105.83237306726295E
Bến Tre City-635.jpeg,0.9489061,10.251584807177524N,106.4036170923903E
Chau Doc City-1114.jpeg,0.9488942,10.7065647431323N,105.12619050239051E
Hiệp Hòa District-1095.jpeg,0.9481881,21.318731746320154N,105.93120460866358E
Hiệp Hòa District-1625.jpeg,0.94812006,21.34568108157849N,106.02378409879131E
Long Hồ District-2312.jpeg,0.94790334,10.312991382293871N,105.97287169591176E
Hiệp Hòa District-1287.jpeg,0.94787085,21.329511480423488N,105.94567015399605E
Duy Tiên District-20.jpeg,0.94758433,20.564800039756957N,105.97057096411882E
Cao Lanh City-822.jpeg,0.9472919,10.467528207239239N,105.63312968269553E
Long Xuyen City-1132.jpeg,0.94726676,10.40951747714719N,105.41393007181749E
Thanh Liêm District-338.jpeg,0.9471413,20.415411209634446N,105.90456870432516E
Yên Mỹ District-473.jpeg,0.94700444,20.885529276257937N,106.01041460524985E
Hoa Lư District-19.jpeg,0.94678867,20.181822173161407N,105.95070772529417E
Yên Mỹ District-344.jpeg,0.94676,20.877444475680456N,106.0017606770226E
Châu Thành District-1138.jpeg,0.9467473,10.283956206036935N,106.35531161398983E
Phu Ly City-418.jpeg,0.94661194,20.537024809672765N,105.90130015169234E
Mỹ Hào District-330.jpeg,0.9465108,20.92041134274402N,106.1310383462575E
Hiệp Hòa District-1225.jpeg,0.9464719,21.32681654689765N,105.90805973613166E
Yên Mỹ District-872.jpeg,0.946238,20.912478611516228N,106.004645319765E
Thanh Liêm District-287.jpeg,0.94615763,20.410021342582795N,105.93332984179821E
Long Xuyen City-551.jpeg,0.94597805,10.35831374015807N,105.4468064237052E
Cao Lanh City-226.jpeg,0.9459709,10.424409270827347N,105.63312968269553E
Cai Lậy Town-1567.jpeg,0.9457992,10.481436178892512N,106.0991391363294E
Tam Điệp-271.jpeg,0.94574726,20.13317014134594N,105.90100330654563E
Long Xuyen City-1221.jpeg,0.94564193,10.417602277724422N,105.4468064237052E
Trà Vinh City-353.jpeg,0.9455002,9.947268907090702N,106.34271004660732E
Duy Tiên District-418.jpeg,0.9453295,20.62139364379928N,105.92449721044969E
Thanh Liêm District-636.jpeg,0.94503266,20.434275744315205N,105.96209097927128E
Thanh Liêm District-1241.jpeg,0.9449607,20.46930988015091N,105.94195818304013E
Phu Ly City-771.jpeg,0.94440323,20.561279211405186N,105.91856790582808E
Go Cong Town-328.jpeg,0.9443221,10.376524872538408N,106.68133252539432E
Duy Tiên District-359.jpeg,0.9442294,20.61600377674763N,105.98496901214044E
Ninh Bình-236.jpeg,0.9440092,20.238832541954036N,105.9916872412553E
Hoa Lư District-1205.jpeg,0.943933,20.311178982400836N,105.93921782328722E
Tam Điệp-764.jpeg,0.9439292,20.165509343655785N,105.82636180867401E
Thái Bình-589.jpeg,0.9438334,20.468892110801132N,106.34070248992211E
Duy Tiên District-368.jpeg,0.94325787,20.61600377674763N,106.0224039369966E
Cai Lậy Town-991.jpeg,0.94325274,10.435622308954873N,106.18956475430575E
Binh Minh Town-851.jpeg,0.9431632,10.071975342375989N,105.85700517877159E
Yên Mỹ District-1055.jpeg,0.9431361,20.928648212671206N,106.03637638993158E
Bac Giang City-587.jpeg,0.9428737,21.28878454458584N,106.19672993415931E
Hiệp Hòa District-2042.jpeg,0.94268936,21.372630416836827N,105.98328057186043E
Yên Mỹ District-1047.jpeg,0.9426546,20.928648212671206N,106.01329924799226E
