,image,pred,lon,lat,anditi_id
190,Hung Yen City-2636.jpeg,0.1008295640349388,20.68124867820544N,106.08064447364077E,275
109,Bac Giang City-1412.jpeg,0.0889588464051485,21.271267476667855N,106.20106780601776E,1001
249,Ninh Bình-2075.jpeg,0.0799867494497448,20.2711717442638N,105.96296340069738E,416
117,Hiệp Hòa District-3959.jpeg,0.0798095962963998,21.311994412505456N,105.95145637212903E,151
71,Yên Mỹ District-1399.jpeg,0.0784939641598612,20.877444475680402N,106.03349174718953E,252
88,Phu Ly City-4056.jpeg,0.0767150926403701,20.58418614637456N,105.93151872143017E,343
33,Mỹ Tho-3272.jpeg,0.0744608561508357,10.386651541028591N,106.36836374305156E,828
83,Mỹ Tho-3272.jpeg,0.0744608561508357,10.386651541028591N,106.36836374305156E,61
38,Thanh Liêm District-462.jpeg,0.0728986365720629,20.391156807901996N,105.91032093181974E,377
40,Long Xuyen City-3161.jpeg,0.0709501761011779,10.378525741601193N,105.43995718372858E,926
116,Cai Lậy Town-2554.jpeg,0.0695956130512058,10.40867297369747N,106.1525724560427E,85
91,Tây Ninh City-2815.jpeg,0.0674208961427211,11.360949708070462N,106.16498601902181E,613
35,Hung Yen City-483.jpeg,0.0662117484025657,20.621960140637352N,106.07920439866642E,299
81,Long Hồ District-7876.jpeg,0.0644270651973784,10.284694580273671N,105.99067188453644E,548
5,Tây Ninh City-730.jpeg,0.0632452741265297,11.317830771658468N,106.14299530866373E,614
107,Chau Doc City-2191.jpeg,0.0626921169459819,10.670183140534787N,105.0740827731793E,955
110,Tây Ninh City-4792.jpeg,0.0624979827553033,11.393288910379463N,106.12925111468995E,980
57,Mỹ Hào District-1355.jpeg,0.0603492390364408,20.921758809506876N,106.09353038969671E,232
31,Mỹ Hào District-1355.jpeg,0.0603492390364408,20.921758809506876N,106.09353038969671E,231
4,Phu Ly City-2658.jpeg,0.0592184751294553,20.553194410827622N,105.93295770094146E,642
205,Hung Yen City-2592.jpeg,0.0573132070712745,20.67990121144253N,106.07920439866642E,274
155,Cai Lậy Town-995.jpeg,0.0570868086069822,10.381723638440027N,106.13887160483415E,79
265,Cai Lậy Town-2931.jpeg,0.0570018701255321,10.416757774274714N,106.1224305833839E,596
22,Tam Điệp-2433.jpeg,0.0568797895684838,20.156077076315338N,105.92109909443417E,895
89,Ninh Bình-1010.jpeg,0.0564622227102518,20.241527475479803N,105.95434624853E,417
67,Binh Minh Town-3193.jpeg,0.0555771579965949,10.06793294208743N,105.80910940639374E,24
241,Cai Lậy Town-1867.jpeg,0.05519061954692,10.39654577283162N,106.12106049826308E,765
50,Cai Lậy Town-1443.jpeg,0.0547683821059763,10.38980843901726N,106.09502888096684E,759
180,Long Hồ District-7152.jpeg,0.0545011097565293,10.271219912644948N,106.00299509204586E,554
108,Trà Vinh City-1252.jpeg,0.0517106805928051,9.940531573276383N,106.33997394682622E,577
120,Trà Vinh City-1252.jpeg,0.0517106805928051,9.940531573276383N,106.33997394682622E,576
106,Trà Vinh City-2748.jpeg,0.0516383326612412,9.986345443214013N,106.31261294901503E,741
183,Ninh Bình-1324.jpeg,0.0507932249456644,20.248264809294348N,105.98019770503211E,863
47,Binh Minh Town-827.jpeg,0.0507181072607636,10.014034271572568N,105.88711109283818E,538
232,Ninh Bình-1534.jpeg,0.0504769068211317,20.253654676345977N,105.9672719767811E,869
49,Trà Vinh City-884.jpeg,0.05038174521178,9.923014505359054N,106.31124489912449E,732
2,Tây Ninh City-189.jpeg,0.0501675219275057,11.30300863726684N,106.11000924312664E,95
103,Long Xuyen City-1717.jpeg,0.0501021509990096,10.347534006055131N,105.4605049036584E,929
127,Tây Ninh City-55.jpeg,0.0498316483572125,11.29761877021534N,106.10588598493449E,992
14,Long Xuyen City-4630.jpeg,0.0494574927724897,10.412212410673003N,105.41529991981282E,936
73,Hiệp Hòa District-2493.jpeg,0.0493859914131462,21.289087477535897N,105.92686494506385E,162
99,Ninh Bình-1377.jpeg,0.0491704531013965,20.249612276057256N,105.97158055286475E,873
76,Sa Đéc City-1124.jpeg,0.0491550303995609,10.301752805754587N,105.75455874109232E,526
209,Bac Giang City-1502.jpeg,0.049080389086157,21.273962410193683N,106.14178355728613E,193
125,Mỹ Tho-2755.jpeg,0.048389381263405,10.377219273688485N,106.39028066320114E,839
39,Phu Ly City-1706.jpeg,0.048376808874309,20.537024809672698N,105.91856790582827E,635
268,Tây Ninh City-460.jpeg,0.0482423156499862,11.311093437844091N,106.10176272674236E,967
170,Sa Đéc City-966.jpeg,0.0481597809121012,10.296362938703094N,105.76551580943658E,916
144,Vĩnh Long-1304.jpeg,0.0479725752957165,10.253039805165749N,105.97608388737403E,671
189,Tây Ninh City-1959.jpeg,0.0475981277413666,11.346127573678837N,106.10863482372925E,617
136,Go Cong Town-3643.jpeg,0.0471739107742905,10.430423543053335N,106.64297212101346E,844
55,Phu Ly City-4015.jpeg,0.0469734002836048,20.582838679611655N,105.93151872143017E,344
132,Trà Vinh City-2127.jpeg,0.0468598646111786,9.970175842059554N,106.35365444573176E,754
142,Trà Vinh City-2127.jpeg,0.0468598646111786,9.970175842059554N,106.35365444573176E,755
156,Trà Vinh City-2127.jpeg,0.0468598646111786,9.970175842059554N,106.35365444573176E,51
145,Tây Ninh City-1896.jpeg,0.0466114454902708,11.344780106915964N,106.1127580819214E,988
150,Bến Tre City-3111.jpeg,0.0465195775032043,10.265059474806286N,106.34610796412997E,52
270,Phu Ly City-3983.jpeg,0.0464692208915948,20.58149121284874N,105.95310341409997E,620
75,Hiệp Hòa District-8682.jpeg,0.0464568934403359,21.384757617702867N,105.97460124466096E,129
207,Long Xuyen City-2784.jpeg,0.0463914931751787,10.371788407786832N,105.37968387193449E,492
192,Bến Tre City-1386.jpeg,0.0463909585960209,10.232720272497357N,106.37897032313563E,695
131,Long Hồ District-7543.jpeg,0.0461105001159012,10.27930471322218N,105.95233301672941E,546
52,Chau Doc City-4673.jpeg,0.0460351910442113,10.715997010472476N,105.11110668603992E,467
53,Cao Lanh City-3889.jpeg,0.0460300706326961,10.481002874868004N,105.6440915856331E,18
119,Tây Ninh City-295.jpeg,0.0460046976804733,11.30570357079259N,106.13612321167683E,982
90,Cai Lậy Town-2458.jpeg,0.0459587932564318,10.407325506934605N,106.11832032802134E,84
162,Long Hồ District-5222.jpeg,0.0455290293321013,10.218668708892936N,105.98519490342119E,558
139,Thái Bình-1709.jpeg,0.0453104861080646,20.454069976409034N,106.33063558897192E,449
70,Hiệp Hòa District-6710.jpeg,0.0452755615115165,21.349723481867073N,105.963028808395E,994
261,Long Hồ District-7584.jpeg,0.0450924327597022,10.27930471322218N,106.00847207316117E,553
105,Bến Tre City-1237.jpeg,0.0450921519659459,10.230025338971611N,106.35706208379852E,714
44,Long Xuyen City-3982.jpeg,0.0450490061193704,10.396042809518535N,105.4276285517707E,923
194,Cai Lậy Town-2317.jpeg,0.044979038182646,10.404630573408856N,106.12106049826308E,83
171,Tây Ninh City-268.jpeg,0.044817445334047,11.30570357079259N,106.0990138879476E,605
163,Bến Tre City-3031.jpeg,0.0447915773838758,10.262364541280542N,106.3844473829699E,713
141,Bến Tre City-1801.jpeg,0.0447619566693902,10.240805073074588N,106.33378457950285E,690
140,Thanh Liêm District-1558.jpeg,0.0447054808028042,20.419453609923103N,105.90888287494612E,379
36,Cai Lậy Town-1759.jpeg,0.0446063289418816,10.393850839305879N,106.19504509478917E,780
17,Mỹ Tho-591.jpeg,0.0444568544626235,10.340837671090929N,106.31220163516828E,922
173,Long Hồ District-2595.jpeg,0.0444269925355911,10.176897239243907N,105.93316358282588E,37
201,Sa Đéc City-767.jpeg,0.0442700777202844,10.289625604888732N,105.77373361069478E,910
111,Tây Ninh City-749.jpeg,0.0442224806174635,11.31917823842134N,106.09763946855021E,965
84,Long Xuyen City-3800.jpeg,0.0441786120645701,10.392000409229915N,105.41940946379876E,921
172,Long Hồ District-5164.jpeg,0.0441614110022783,10.217321242130064N,105.99751811093057E,557
179,Long Xuyen City-528.jpeg,0.0441069994121789,10.320584670797679N,105.48379231957885E,16
69,Vĩnh Long-1219.jpeg,0.044066718313843,10.251692338402876N,105.97471455560493E,670
218,Long Xuyen City-1716.jpeg,0.0440520816482603,10.347534006055131N,105.45913505566305E,15
227,Long Hồ District-5605.jpeg,0.0439480328932404,10.226753509470168N,105.97697943174823E,560
161,Bến Tre City-1610.jpeg,0.0439302362501621,10.23676267278597N,106.38855517784562E,696
169,Bến Tre City-1610.jpeg,0.0439302362501621,10.23676267278597N,106.38855517784562E,712
215,Trà Vinh City-1281.jpeg,0.0439167264848947,9.941879040039257N,106.34544614638844E,727
203,Phu Ly City-3870.jpeg,0.0438931547105312,20.57879627932292N,105.94590851654337E,345
56,Bến Tre City-1657.jpeg,0.0438740174286067,10.238110139548848N,106.35021575900566E,707
224,Cai Lậy Town-4198.jpeg,0.0437701623886823,10.441012176006414N,106.10872973217536E,93
245,Cai Lậy Town-1686.jpeg,0.0437689316459,10.393850839305879N,106.09502888096684E,81
273,Mỹ Tho-2113.jpeg,0.0437314142473042,10.366439539585507N,106.3560354754674E,64
198,Go Cong Town-723.jpeg,0.043707248289138,10.361702738146843N,106.67722248206778E,852
124,Phu Ly City-2462.jpeg,0.0436735749244689,20.54915201053889N,105.96893218872448E,359
28,Tây Ninh City-147.jpeg,0.0436476306058466,11.301661170503968N,106.10588598493449E,969
188,Vĩnh Long-973.jpeg,0.0436304863542318,10.24764993811426N,105.9706065602977E,666
164,Long Xuyen City-3096.jpeg,0.0434760437346994,10.377178274838322N,105.44406672771456E,486
60,Long Hồ District-1398.jpeg,0.0433303301688283,10.162075104852311N,105.97834867702704E,569
257,Tây Ninh City-692.jpeg,0.0433021029457449,11.317830771658468N,106.09076737156332E,991
210,Tây Ninh City-527.jpeg,0.042939203325659,11.312440904606968N,106.12787669529254E,979
65,Yên Mỹ District-1181.jpeg,0.0429024877957999,20.873402075391663N,106.0608958532426E,259
223,Trà Vinh City-1376.jpeg,0.0428936812095344,9.94726890709074N,106.3331336973734E,575
135,Cai Lậy Town-2330.jpeg,0.0428631505928933,10.404630573408856N,106.13887160483415E,768
184,Hiệp Hòa District-3130.jpeg,0.0428589722141623,21.299867211639217N,105.93843738132982E,155
274,Mỹ Tho-1639.jpeg,0.0426847534254193,10.35835473900827N,106.36151470550483E,818
185,Tây Ninh City-661.jpeg,0.0424969103187322,11.316483304895591N,106.11963017890828E,981
