,image,pred,lon,lat,anditi_id
90,Ninh Bình-236.jpeg,0.9440092,20.238832541954036N,105.9916872412553E,881
7,Hoa Lư District-1205.jpeg,0.943933,20.311178982400836N,105.93921782328722E,402
103,Cai Lậy Town-991.jpeg,0.94325274,10.435622308954873N,106.18956475430575E,779
375,Thái Bình-173.jpeg,0.94234014,20.433857974965427N,106.32632120285044E,432
559,Thái Bình-173.jpeg,0.94234014,20.433857974965427N,106.32632120285044E,433
249,Hiệp Hòa District-624.jpeg,0.9421295,21.28908747753599N,105.94567015399605E,154
191,Phu Ly City-405.jpeg,0.94175255,20.534329876146938N,105.9876389223711E,357
283,Phu Ly City-405.jpeg,0.94175255,20.534329876146938N,105.9876389223711E,358
93,Chau Doc City-1166.jpeg,0.9409083,10.714649543709534N,105.10425040588055E,5
651,Hiệp Hòa District-2439.jpeg,0.9408923,21.41844428677601N,105.96881502652796E,135
395,Hung Yen City-567.jpeg,0.9402161,20.669121477339324N,106.0604834239998E,281
211,Hung Yen City-567.jpeg,0.9402161,20.669121477339324N,106.0604834239998E,280
499,Sa Đéc City-553.jpeg,0.9382668,10.343524275403572N,105.7381231385757E,521
555,Tam Điệp-592.jpeg,0.93765044,20.1547296095525N,105.92109909443417E,896
351,Tam Điệp-592.jpeg,0.93765044,20.1547296095525N,105.92109909443417E,894
305,Hiệp Hòa District-1852.jpeg,0.9375536,21.359155749207655N,106.00063922625938E,184
15,Bến Tre City-220.jpeg,0.9367533,10.221940538394358N,106.36527767355018E,703
316,Hung Yen City-432.jpeg,0.9358744,20.650256942658544N,106.07776432369208E,305
75,Long Hồ District-1327.jpeg,0.9358444,10.221363642418622N,105.9345328281047E,564
232,Hung Yen City-731.jpeg,0.93175274,20.69068094554593N,106.03456207446143E,270
366,Phu Ly City-419.jpeg,0.9314978,20.537024809672765N,105.90417811071494E,627
650,Cao Lanh City-480.jpeg,0.9298613,10.440578871981804N,105.63312968269553E,514
387,Cao Lanh City-112.jpeg,0.9291141,10.416324470250116N,105.66875586724257E,518
449,Cao Lanh City-733.jpeg,0.9284389,10.45944340666201N,105.63861063416432E,948
544,Cao Lanh City-733.jpeg,0.9284389,10.45944340666201N,105.63861063416432E,946
98,Chau Doc City-790.jpeg,0.9283492,10.685005274926342N,105.0740827731793E,4
490,Mỹ Tho-411.jpeg,0.92769694,10.358354739008243N,106.36288451301381E,829
354,Hiệp Hòa District-1034.jpeg,0.9274013,21.313341879268485N,106.01799788065833E,181
466,Mỹ Tho-324.jpeg,0.92713916,10.35296487195676N,106.34370720788299E,583
14,Duy Tiên District-151.jpeg,0.92659956,20.589054441489374N,105.97920979293177E,340
40,Duy Tiên District-151.jpeg,0.92659956,20.589054441489374N,105.97920979293177E,341
204,Ninh Bình-140.jpeg,0.9243056,20.228052807850748N,105.9916872412553E,420
272,Tây Ninh City-1662.jpeg,0.9220824,11.431017979739876N,106.11413250131899E,611
382,Mỹ Hào District-301.jpeg,0.9205343,20.917716409218183N,106.136808801113E,218
325,Go Cong Town-113.jpeg,0.9201932,10.354965404332471N,106.66489235208824E,848
373,Phu Ly City-691.jpeg,0.9192597,20.555889344353528N,105.90130015169234E,628
288,Phu Ly City-691.jpeg,0.9192597,20.555889344353528N,105.90130015169234E,109
623,Yên Mỹ District-285.jpeg,0.9180616,20.872054608628797N,106.06233817461333E,258
367,Hiệp Hòa District-1521.jpeg,0.91705996,21.340291214526815N,106.01510477159182E,182
379,Hiệp Hòa District-1521.jpeg,0.91705996,21.340291214526815N,106.01510477159182E,183
146,Mỹ Hào District-922.jpeg,0.9163949,20.96353027915728N,106.07333379770245E,621
135,Mỹ Hào District-922.jpeg,0.9163949,20.96353027915728N,106.07333379770245E,107
427,Hiệp Hòa District-1484.jpeg,0.91585547,21.340291214526815N,105.90805973613166E,145
19,Chau Doc City-592.jpeg,0.9151868,10.67153060729762N,105.13716055064552E,476
628,Vĩnh Long-315.jpeg,0.9125985,10.251692338402854N,105.97197589206726E,667
443,Vĩnh Long-315.jpeg,0.9125985,10.251692338402854N,105.97197589206726E,44
489,Vĩnh Long-315.jpeg,0.9125985,10.251692338402854N,105.97197589206726E,45
86,Duy Tiên District-1016.jpeg,0.90838623,20.653732846109186N,105.97633018332745E,314
106,Hiệp Hòa District-62.jpeg,0.9069892,21.237883740545165N,105.95145637212903E,165
426,Hiệp Hòa District-1643.jpeg,0.90444547,21.34837601510432N,105.93988393586307E,148
400,Cao Lanh City-935.jpeg,0.90355325,10.478307941342212N,105.61394635255486E,507
356,Mỹ Hào District-600.jpeg,0.9026627,20.941970810950647N,106.07044857027465E,235
217,Mỹ Hào District-542.jpeg,0.90027946,20.936580943898992N,106.14546448339627E,216
581,Long Hồ District-241.jpeg,0.89950275,10.156685237800811N,105.94548679033528E,36
240,Binh Minh Town-759.jpeg,0.8989115,10.063890541798765N,105.81047785703304E,23
286,Bac Giang City-194.jpeg,0.89707303,21.25644534227584N,106.1764865321534E,188
357,Thanh Liêm District-1037.jpeg,0.8957529,20.458530146047615N,105.89594036308324E,381
332,Hiệp Hòa District-842.jpeg,0.8925618,21.302562145165147N,105.99774611719289E,179
420,Cao Lanh City-980.jpeg,0.89254004,10.481002874867958N,105.64683206136746E,947
113,Thái Bình-733.jpeg,0.8911357,20.48506171195607N,106.34645500475075E,454
292,Sa Đéc City-666.jpeg,0.8894114,10.362388810083774N,105.7244268031454E,520
64,Sa Đéc City-129.jpeg,0.8883935,10.281540804311488N,105.7572980081781E,531
405,Ninh Bình-487.jpeg,0.885025,20.265781877212248N,105.96583578475317E,876
404,Phu Ly City-302.jpeg,0.8843807,20.528940009095287N,105.93871361898645E,354
