image,pred,lon,lat
Go Cong Town-186,0.9641736745834351,10.363050204909696N,106.65393223655084E
Binh Minh Town-851,0.9641642570495605,10.071975342375989N,105.85700517877159E
Cao Lanh City-1158,0.9640780687332153,10.49717247602242N,105.5728392165391E
Châu Thành District-320,0.9640700817108154,10.262396737830992N,106.24301318852424E
Mỹ Hào District-693,0.9640291929244995,20.94736067800231N,106.09064516226894E
Duy Tiên District-368,0.9640260934829712,20.61600377674763N,106.0224039369966E
Duy Tiên District-249,0.9639328718185425,20.60522404264433N,105.9561729160972E
Cai Lậy Town-991,0.9638626575469971,10.435622308954873N,106.18956475430575E
Yên Mỹ District-507,0.9638385772705078,20.88822420978376N,105.98733746331052E
Binh Minh Town-784,0.9637877941131592,10.066585475324505N,105.81047785703304E
Binh Minh Town-519,0.9637855887413025,10.042331073592832N,105.83510996854167E
Thanh Liêm District-287,0.9636850357055664,20.410021342582795N,105.93332984179821E
Hiệp Hòa District-984,0.9636383056640625,21.31064694574265N,106.00642544439235E
Hiệp Hòa District-624,0.9635987281799316,21.28908747753599N,105.94567015399605E
Ninh Bình-236,0.9635846614837646,20.238832541954036N,105.9916872412553E
Cao Lanh City-729,0.9635730981826782,10.45944340666201N,105.62764873122678E
Long Xuyen City-255,0.9634720087051392,10.331364404900643N,105.47694307960226E
Hiệp Hòa District-985,0.9634109735488892,21.31064694574265N,106.00931855345885E
Tây Ninh City-536,0.9633505344390869,11.350169973967425N,106.09214179096081E
Cao Lanh City-226,0.9633193016052246,10.424409270827347N,105.63312968269553E
Thái Bình-205,0.9633058309555054,20.436552908491254N,106.3205686880218E
Mỹ Tho-324,0.9632246494293213,10.35296487195676N,106.34370720788299E
Duy Tiên District-331,0.9631780982017517,20.6133088432218N,105.98496901214044E
Duy Tiên District-232,0.9631438255310059,20.602529109118507N,105.97345057372313E
Châu Thành District-1544,0.9630008935928345,10.294735940139905N,106.30053189425054E
Cao Lanh City-409,0.9628928899765015,10.435189004930317N,105.6660153915082E
Mỹ Tho-680,0.9628920555114746,10.377219273688445N,106.34370720788299E
Vĩnh Long-320,0.9628900289535522,10.251692338402854N,105.9856692097582E
Long Hồ District-283,0.9628899097442627,10.159380171326553N,105.92084037531647E
Long Hồ District-1327,0.9628664255142212,10.221363642418622N,105.9345328281047E
Hiệp Hòa District-2038,0.9628071784973145,21.372630416836827N,105.97170813559445E
Thanh Liêm District-1848,0.9627546072006226,20.507038949512445N,105.93045372805089E
Thanh Liêm District-636,0.9627392292022705,20.434275744315205N,105.96209097927128E
Cao Lanh City-480,0.9626364707946777,10.440578871981804N,105.63312968269553E
Bac Giang City-368,0.9626176357269287,21.27261494343084N,106.19094610501479E
Châu Thành District-2108,0.9625675082206726,10.310905541294362N,106.23753521655031E
Mỹ Hào District-584,0.9625313878059387,20.939275877424816N,106.14546448339627E
Long Xuyen City-794,0.9625201225280762,10.37987320836402N,105.38105371992982E
Tam Điệp-163,0.9624688625335693,20.125085340768482N,105.91248661391052E
Mỹ Tho-654,0.9624254703521729,10.374524340162703N,106.37658258810718E
Hiệp Hòa District-345,0.9623757004737854,21.270222942855153N,105.95145637212903E
Mỹ Tho-362,0.962143063545227,10.355659805482505N,106.33822797784565E
Châu Thành District-1529,0.9621384143829346,10.294735940139905N,106.25944710444604E
Tam Điệp-469,0.9621186256408691,20.146644808975044N,105.93258240179902E
Tam Điệp-493,0.9621068239212036,20.149339742500864N,105.88951999918079E
Hiệp Hòa District-1643,0.9620974063873291,21.34837601510432N,105.93988393586307E
Long Xuyen City-730,0.9620710015296936,10.374483341312532N,105.39201250389236E
Hiệp Hòa District-1095,0.9620295166969299,21.318731746320154N,105.93120460866358E
Tam Điệp-636,0.962024450302124,20.157424543078324N,105.90961578706928E
Châu Thành District-1138,0.961846649646759,10.283956206036935N,106.35531161398983E
Ninh Bình-237,0.9617802500724792,20.238832541954036N,105.9945596253111E
Thái Bình-277,0.9616985321044922,20.441942775542895N,106.33207371767911E
Duy Tiên District-359,0.9616661071777344,20.61600377674763N,105.98496901214044E
Binh Minh Town-808,0.9616433382034302,10.069280408850249N,105.80774095575431E
Long Xuyen City-1132,0.961617112159729,10.40951747714719N,105.41393007181749E
Ninh Bình-294,0.9615947604179382,20.244222409005683N,105.9916872412553E
Thái Bình-538,0.9615930914878845,20.46350224374949N,106.34933126216508E
Ninh Bình-71,0.9614695310592651,20.217273073747467N,105.9945596253111E
Hiệp Hòa District-1625,0.9614413976669312,21.34568108157849N,106.02378409879131E
Go Cong Town-328,0.961402416229248,10.376524872538408N,106.68133252539432E
Châu Thành District-788,0.9613370895385742,10.275871405459705N,106.28957595030268E
Tam Điệp-494,0.9613120555877686,20.149339742500864N,105.89239082602198E
Cao Lanh City-598,0.961253821849823,10.448663672559034N,105.63587015842995E
Mỹ Tho-774,0.9611262083053589,10.38260914073993N,106.3930202782193E
Hiệp Hòa District-62,0.9610275030136108,21.237883740545165N,105.95145637212903E
Long Xuyen City-1019,0.9609986543655396,10.398737743044219N,105.4002315918643E
Tam Điệp-244,0.960986852645874,20.13047520782012N,105.92971157495782E
Cai Lậy Town-699,0.9608353972434998,10.414062840748926N,106.12654083874648E
Tây Ninh City-1662,0.9607484340667725,11.431017979739876N,106.11413250131899E
Cao Lanh City-112,0.9607037305831909,10.416324470250116N,105.66875586724257E
Hiệp Hòa District-1396,0.9606754779815674,21.334901347475153N,105.963028808395E
Sa Đéc City-288,0.9606736898422241,10.303100272517428N,105.74360167274783E
Hiệp Hòa District-1802,0.9606216549873352,21.356460815681825N,105.98617368092694E
Thanh Liêm District-967,0.9605519771575928,20.45314027899597N,105.97359543426047E
Hung Yen City-293,0.9604758024215698,20.63678227502942N,106.0604834239998E
Hiệp Hòa District-1859,0.9604352712631226,21.359155749207655N,106.0208909897248E
Hiệp Hòa District-1568,0.9602087140083313,21.34298614805265N,106.00063922625938E
Chau Doc City-1166,0.9601502418518066,10.714649543709534N,105.10425040588055E
Mỹ Tho-806,0.9601373672485352,10.385304074265676N,106.37658258810718E
Hoa Lư District-975,0.9600874185562134,20.28961951419425N,105.95358020079591E
Thanh Liêm District-338,0.960014820098877,20.415411209634446N,105.90456870432516E
Cao Lanh City-797,0.9599570035934448,10.464833273713497N,105.64683206136746E
Hiệp Hòa District-2439,0.9599348306655884,21.41844428677601N,105.96881502652796E
Trà Vinh City-353,0.9599306583404541,9.947268907090702N,106.34271004660732E
Binh Minh Town-269,0.9598598480224609,10.020771605386901N,105.83510996854167E
Tây Ninh City-363,0.9598385095596313,11.334000372812936N,106.13612321167716E
Hung Yen City-129,0.9597950577735901,20.623307607400292N,106.05760327405113E
Vĩnh Long-90,0.9597762823104858,10.235522737248402N,105.95554391083817E
Hung Yen City-731,0.9596505165100098,20.69068094554593N,106.03456207446143E
Hoa Lư District-151,0.959613561630249,20.200686707842156N,105.97081505380626E
Tam Điệp-418,0.9595951437950134,20.143949875449223N,105.89526165286318E
Vĩnh Long-142,0.959540843963623,10.240912604299886N,105.92541861191818E
Chau Doc City-790,0.9594290852546692,10.685005274926342N,105.0740827731793E
Thanh Liêm District-1241,0.9594123959541321,20.46930988015091N,105.94195818304013E
Long Hồ District-1991,0.9593950510025024,10.286042047036446N,105.9810871675847E
Phu Ly City-651,0.9593112468719482,20.55319441082771N,105.88978831560182E
Tam Điệp-550,0.9592962265014648,20.15203467602668N,105.92971157495782E
Mỹ Tho-283,0.9592336416244507,10.350269938431014N,106.34370720788299E
Bac Giang City-743,0.9592073559761047,21.302259212215N,106.17937844672568E
Phu Ly City-771,0.959175705909729,20.561279211405186N,105.91856790582808E
Mỹ Hào District-751,0.9591633081436157,20.950055611528136N,106.1310383462575E
Trà Vinh City-641,0.9591401815414429,9.979608109399596N,106.36186274507514E
Bac Giang City-358,0.9591375589370728,21.27261494343084N,106.16202695929204E
Duy Tiên District-715,0.9590921401977539,20.637563244954233N,105.95905252570155E
Cao Lanh City-760,0.9590679407119751,10.462138340187751N,105.62764873122678E
Phu Ly City-418,0.959061324596405,20.537024809672765N,105.90130015169234E
Mỹ Tho-239,0.9590122699737549,10.347575004905272N,106.3272695177709E
Hung Yen City-696,0.9587908983230591,20.685291078494277N,106.06624372389724E
Hiệp Hòa District-842,0.9585103392601013,21.302562145165147N,105.99774611719289E
Châu Thành District-1383,0.9584774374961853,10.289346073088419N,106.4320032216249E
Chau Doc City-1114,0.9584628343582153,10.7065647431323N,105.12619050239051E
Cao Lanh City-215,0.9584407806396484,10.424409270827347N,105.60298444961734E
Vĩnh Long-18,0.9583632349967957,10.227437936671175N,105.95280524729999E
Mỹ Tho-411,0.9583430290222168,10.358354739008243N,106.36288451301381E
Hiệp Hòa District-1225,0.9582471251487732,21.32681654689765N,105.90805973613166E
Cao Lanh City-636,0.9581508636474609,10.451358606084778N,105.6440915856331E
Hiệp Hòa District-1034,0.9578830599784851,21.313341879268485N,106.01799788065833E
Hiệp Hòa District-994,0.9578325748443604,21.313341879268485N,105.90227351799868E
Mỹ Hào District-301,0.9577023983001709,20.917716409218183N,106.136808801113E
Long Hồ District-1619,0.9575989842414856,10.253702844727535N,105.99477962037295E
Vĩnh Long-315,0.9574492573738098,10.251692338402854N,105.97197589206726E
Sa Đéc City-419,0.9573708772659302,10.32196480719763N,105.72990533731752E
Cao Lanh City-935,0.9573690891265869,10.478307941342212N,105.61394635255486E
Hung Yen City-338,0.9573602676391602,20.639477208555242N,106.10080552328174E
Bến Tre City-695,0.9573156833648682,10.256974674229012N,106.37349326330161E
Yên Mỹ District-285,0.9571689963340759,20.872054608628797N,106.06233817461333E
Ninh Bình-393,0.9570968151092529,20.255002143108964N,105.95434624853E
Long Hồ District-241,0.9570373296737671,10.156685237800811N,105.94548679033528E
Hiệp Hòa District-1785,0.9568364024162292,21.356460815681825N,105.93699082679657E
Thái Bình-173,0.9567950963973999,20.433857974965427N,106.32632120285044E
Phu Ly City-405,0.9567445516586304,20.534329876146938N,105.9876389223711E
Cao Lanh City-187,0.9566023349761963,10.4217143373016N,105.64135110989872E
Hiệp Hòa District-1570,0.9565716981887817,21.34298614805265N,106.00642544439235E
Duy Tiên District-589,0.9563352465629578,20.629478444376755N,106.00512627937064E
Hiệp Hòa District-1723,0.9563204050064087,21.351070948630156N,106.03246342599076E
Hiệp Hòa District-2220,0.9563044309616089,21.388800017991827N,106.00931855345885E
Bến Tre City-827,0.9562140703201294,10.270449341857724N,106.3570620837987E
Cao Lanh City-737,0.956209659576416,10.45944340666201N,105.64957253710186E
Hiệp Hòa District-1892,0.9559966325759888,21.36185068273349N,105.98906678999342E
Mỹ Tho-234,0.9559909105300903,10.347575004905272N,106.31357144267747E
Hoa Lư District-120,0.9559792280197144,20.197991774316336N,105.97081505380626E
Vĩnh Long-270,0.9559123516082764,10.248997404877112N,105.96102123791452E
Hoa Lư District-1041,0.9558656811714172,20.2950093812459N,105.95070772529417E
Hoa Lư District-1208,0.9558597207069397,20.311178982400836N,105.94783524979243E
Tam Điệp-742,0.9558351039886475,20.162814410129968N,105.9239699212754E
Bac Giang City-568,0.9558314681053162,21.286089611060007N,106.24010865274344E
Binh Minh Town-683,0.9557979106903076,10.05580574122154N,105.81868856086925E
Châu Thành District-787,0.955771267414093,10.275871405459705N,106.2868369643157E
Hiệp Hòa District-1484,0.955756425857544,21.340291214526815N,105.90805973613166E
Long Hồ District-1281,0.9557139873504639,10.215973775367138N,105.98930263925763E
Hoa Lư District-338,0.9555596113204956,20.216856308997087N,105.95645267629762E
Hung Yen City-567,0.9555435180664062,20.669121477339324N,106.0604834239998E
Yên Mỹ District-344,0.9552655816078186,20.877444475680456N,106.0017606770226E
Go Cong Town-113,0.9552544951438904,10.354965404332471N,106.66489235208824E
Ninh Bình-351,0.955211877822876,20.24961227605732N,105.9888148571995E
Long Hồ District-294,0.9551788568496704,10.159380171326553N,105.95096377145056E
Mỹ Tho-720,0.9551293253898621,10.379914207214187N,106.34918643792035E
Phu Ly City-691,0.9550861716270447,20.555889344353528N,105.90130015169234E
Bac Giang City-805,0.9550130367279053,21.310344012792505N,106.16491887386432E
Mỹ Tho-518,0.9550071358680725,10.366439539585475N,106.3272695177709E
Ninh Bình-286,0.9549132585525513,20.244222409005683N,105.96870816880897E
Binh Minh Town-759,0.9548161029815674,10.063890541798765N,105.81047785703304E
Duy Tiên District-495,0.9547935128211975,20.624088577325107N,106.01376510818362E
