image,pred,lon,lat
Long Hồ District-2312.jpeg,0.9647969827055931,10.312991382293871N,105.97287169591176E
Tam Điệp-672.jpeg,0.9647942036390305,20.160119476604144N,105.87229503813344E
Thái Bình-67.jpeg,0.9646107628941536,20.42038330733631N,106.32632120285044E
Chau Doc City-427.jpeg,0.9644900038838387,10.660750873194642N,105.12893301445428E
Mỹ Hào District-330.jpeg,0.964460514485836,20.92041134274402N,106.1310383462575E
Thái Bình-178.jpeg,0.9643905088305473,20.433857974965427N,106.34070248992211E
Hoa Lư District-1205.jpeg,0.9643072783946991,20.311178982400836N,105.93921782328722E
Thái Bình-606.jpeg,0.9642433375120163,20.471587044326956N,106.31481617319312E
Tam Điệp-862.jpeg,0.9642128124833107,20.168204277181605N,105.94406570916391E
Hiệp Hòa District-2257.jpeg,0.9641990065574646,21.3941898850435N,105.95724259026198E
Go Cong Town-186.jpeg,0.9641737267374992,10.363050204909696N,106.65393223655084E
Binh Minh Town-851.jpeg,0.96416424959898,10.071975342375989N,105.85700517877159E
Cao Lanh City-1158.jpeg,0.9640780612826347,10.49717247602242N,105.5728392165391E
Châu Thành District-320.jpeg,0.964070126414299,10.262396737830992N,106.24301318852424E
Mỹ Hào District-693.jpeg,0.9640291780233383,20.94736067800231N,106.09064516226894E
Duy Tiên District-368.jpeg,0.9640260934829712,20.61600377674763N,106.0224039369966E
Duy Tiên District-249.jpeg,0.9639328792691231,20.60522404264433N,105.9561729160972E
Cai Lậy Town-991.jpeg,0.963862732052803,10.435622308954873N,106.18956475430575E
Yên Mỹ District-507.jpeg,0.9638385251164436,20.88822420978376N,105.98733746331052E
Binh Minh Town-784.jpeg,0.9637878760695457,10.066585475324505N,105.81047785703304E
Binh Minh Town-519.jpeg,0.9637856259942055,10.042331073592832N,105.83510996854167E
Thanh Liêm District-287.jpeg,0.9636849984526634,20.410021342582795N,105.93332984179821E
Hiệp Hòa District-984.jpeg,0.9636382758617401,21.31064694574265N,106.00642544439235E
Hiệp Hòa District-624.jpeg,0.9635986536741257,21.28908747753599N,105.94567015399605E
Ninh Bình-236.jpeg,0.9635846987366676,20.238832541954036N,105.9916872412553E
Cao Lanh City-729.jpeg,0.9635731428861618,10.45944340666201N,105.62764873122678E
Long Xuyen City-255.jpeg,0.963471993803978,10.331364404900643N,105.47694307960226E
Hiệp Hòa District-985.jpeg,0.9634111523628235,21.31064694574265N,106.00931855345885E
Tây Ninh City-536.jpeg,0.9633505269885063,11.350169973967425N,106.09214179096081E
Cao Lanh City-226.jpeg,0.9633192345499992,10.424409270827347N,105.63312968269553E
Thái Bình-205.jpeg,0.963305838406086,20.436552908491254N,106.3205686880218E
Mỹ Tho-324.jpeg,0.9632246792316437,10.35296487195676N,106.34370720788299E
Duy Tiên District-331.jpeg,0.9631780907511711,20.6133088432218N,105.98496901214044E
Duy Tiên District-232.jpeg,0.9631438553333282,20.602529109118507N,105.97345057372313E
Châu Thành District-1544.jpeg,0.963000938296318,10.294735940139905N,106.30053189425054E
Cao Lanh City-409.jpeg,0.9628928825259209,10.435189004930317N,105.6660153915082E
Mỹ Tho-680.jpeg,0.9628920555114746,10.377219273688445N,106.34370720788299E
Vĩnh Long-320.jpeg,0.9628900215029716,10.251692338402854N,105.9856692097582E
Long Hồ District-283.jpeg,0.9628899097442627,10.159380171326553N,105.92084037531647E
Long Hồ District-1327.jpeg,0.9628664702177048,10.221363642418622N,105.9345328281047E
Hiệp Hòa District-2038.jpeg,0.9628071784973145,21.372630416836827N,105.97170813559445E
Thanh Liêm District-1848.jpeg,0.9627545699477196,20.507038949512445N,105.93045372805089E
Thanh Liêm District-636.jpeg,0.9627392292022705,20.434275744315205N,105.96209097927128E
Cao Lanh City-480.jpeg,0.9626365080475807,10.440578871981804N,105.63312968269553E
Bac Giang City-368.jpeg,0.9626176208257675,21.27261494343084N,106.19094610501479E
Châu Thành District-2108.jpeg,0.9625674933195114,10.310905541294362N,106.23753521655031E
Mỹ Hào District-584.jpeg,0.9625314176082611,20.939275877424816N,106.14546448339627E
Long Xuyen City-794.jpeg,0.9625201672315598,10.37987320836402N,105.38105371992982E
Tam Điệp-163.jpeg,0.9624689072370529,20.125085340768482N,105.91248661391052E
Mỹ Tho-654.jpeg,0.9624254181981087,10.374524340162703N,106.37658258810718E
Hiệp Hòa District-345.jpeg,0.9623757004737854,21.270222942855153N,105.95145637212903E
Mỹ Tho-362.jpeg,0.9621431231498718,10.355659805482505N,106.33822797784565E
Châu Thành District-1529.jpeg,0.9621384665369987,10.294735940139905N,106.25944710444604E
Tam Điệp-469.jpeg,0.9621185585856438,20.146644808975044N,105.93258240179902E
Tam Điệp-493.jpeg,0.9621069058775902,20.149339742500864N,105.88951999918079E
Hiệp Hòa District-1643.jpeg,0.9620974510908127,21.34837601510432N,105.93988393586307E
Long Xuyen City-730.jpeg,0.962071031332016,10.374483341312532N,105.39201250389236E
Hiệp Hòa District-1095.jpeg,0.9620294943451881,21.318731746320154N,105.93120460866358E
Tam Điệp-636.jpeg,0.9620244428515434,20.157424543078324N,105.90961578706928E
Châu Thành District-1138.jpeg,0.9618466049432755,10.283956206036935N,106.35531161398983E
Ninh Bình-237.jpeg,0.961780235171318,20.238832541954036N,105.9945596253111E
Thái Bình-277.jpeg,0.9616984650492668,20.441942775542895N,106.33207371767911E
Duy Tiên District-359.jpeg,0.9616661965847015,20.61600377674763N,105.98496901214044E
Binh Minh Town-808.jpeg,0.9616434052586555,10.069280408850249N,105.80774095575431E
Long Xuyen City-1132.jpeg,0.9616170600056648,10.40951747714719N,105.41393007181749E
Ninh Bình-294.jpeg,0.9615947380661964,20.244222409005683N,105.9916872412553E
Thái Bình-538.jpeg,0.9615930989384651,20.46350224374949N,106.34933126216508E
Ninh Bình-71.jpeg,0.9614694267511368,20.217273073747467N,105.9945596253111E
Hiệp Hòa District-1625.jpeg,0.9614413380622864,21.34568108157849N,106.02378409879131E
Go Cong Town-328.jpeg,0.9614024236798286,10.376524872538408N,106.68133252539432E
Châu Thành District-788.jpeg,0.9613371565937996,10.275871405459705N,106.28957595030268E
Tam Điệp-494.jpeg,0.9613120555877686,20.149339742500864N,105.89239082602198E
Cao Lanh City-598.jpeg,0.9612538665533066,10.448663672559034N,105.63587015842995E
Mỹ Tho-774.jpeg,0.9611261561512947,10.38260914073993N,106.3930202782193E
Hiệp Hòa District-62.jpeg,0.9610274657607079,21.237883740545165N,105.95145637212903E
Long Xuyen City-1019.jpeg,0.9609985947608948,10.398737743044219N,105.4002315918643E
Tam Điệp-244.jpeg,0.9609866663813591,20.13047520782012N,105.92971157495782E
Cai Lậy Town-699.jpeg,0.9608353599905968,10.414062840748926N,106.12654083874648E
