image,pred,lon,lat,found_Anditi
Duy Tiên District-566.jpeg,0.9756445661187172,105.97776998812962N,20.587706974726427E,"['340.jpeg', '341.jpeg']"
Hoa Lư District-388.jpeg,0.975440427660942,105.94927148754331N,20.19664430755339E,[]
Cai Lậy Town-4866.jpeg,0.9753843769431114,106.17860407333892N,10.4517919101094E,[]
Go Cong Town-2207.jpeg,0.975358210504055,106.67722248206778N,10.40077927427014E,"['851.jpeg', '54.jpeg']"
Go Cong Town-2123.jpeg,0.975314773619175,106.6361220488026N,10.399431807507273E,[]
Phu Ly City-17.jpeg,0.9752841144800186,105.90417811071508N,20.48851600620792E,[]
Hung Yen City-1452.jpeg,0.9750424847006798,106.07632424871774N,20.643519608843928E,[]
Phu Ly City-4242.jpeg,0.9750357940793036,105.93295770094146N,20.592270946952027E,[]
Go Cong Town-3963.jpeg,0.9749521240592004,106.64982219322431N,10.435813410104826E,['53.jpeg']
Thái Bình-707.jpeg,0.9747660085558892,106.33063558897192N,20.433857974965385E,[]
Tây Ninh City-800.jpeg,0.97454434633255,106.09076737156332N,11.320525705184215E,"['990.jpeg', '985.jpeg']"
Go Cong Town-2670.jpeg,0.9745235294103622,106.62242190438084N,10.412906475136E,[]
Go Cong Town-2608.jpeg,0.9745179712772368,106.61831186105434N,10.411559008373121E,[]
Cai Lậy Town-4249.jpeg,0.9744691476225852,106.17860407333892N,10.441012176006414E,[]
Cai Lậy Town-6058.jpeg,0.9744361639022828,106.16764339237213N,10.474698845078231E,[]
Vĩnh Long-1368.jpeg,0.9744331985712053,105.94869725199236N,10.254387271928618E,[]
Binh Minh Town-3355.jpeg,0.9743972197175026,105.828267715345N,10.071975342376048E,[]
Thái Bình-2194.jpeg,0.974384605884552,106.35076939087223N,20.46484971051231E,[]
Duy Tiên District-593.jpeg,0.9742485210299492,105.97920979293177N,20.589054441489335E,"['340.jpeg', '341.jpeg']"
Go Cong Town-759.jpeg,0.9741231054067612,106.65256222210868N,10.363050204909717E,['845.jpeg']
Go Cong Town-1296.jpeg,0.974091611802578,106.67996251095214N,10.37652487253844E,[]
Phu Ly City-2927.jpeg,0.9740819856524467,105.89554423364714N,20.558584277879262E,[]
Hung Yen City-1138.jpeg,0.9739848226308824,106.09360514840996N,20.635434808266467E,['304.jpeg']
Long Hồ District-1248.jpeg,0.9738878011703492,105.91673263947999N,10.16072763808944E,['34.jpeg']
Cai Lậy Town-2171.jpeg,0.9738541394472122,106.11969041314218N,10.401935639883115E,[]
Go Cong Town-4050.jpeg,0.9738162383437156,106.66078230876171N,10.4371608768677E,['847.jpeg']
Long Hồ District-4321.jpeg,0.973653756082058,105.93727131866235N,10.201151640975601E,[]
Hiệp Hòa District-4729.jpeg,0.9736394360661508,106.01365821705858N,21.32277414660878E,[]
Vĩnh Long-1235.jpeg,0.9736383035779,105.99662386391029N,10.251692338402876E,[]
Duy Tiên District-1533.jpeg,0.9736085534095764,105.93889525847129N,20.618698710273378E,[]
Chau Doc City-2006.jpeg,0.9735582545399666,105.04665765254182N,10.66748820700904E,"['2.jpeg', '1.jpeg']"
Go Cong Town-2080.jpeg,0.9735235869884492,106.64845217878214N,10.398084340744397E,[]
Hoa Lư District-232.jpeg,0.9735158905386924,105.94496277429069N,20.192601907264667E,['426.jpeg']
Cai Lậy Town-3944.jpeg,0.9734567776322364,106.19093483942662N,10.435622308954924E,['779.jpeg']
Cai Lậy Town-6008.jpeg,0.9732770547270776,106.0991391363294N,10.474698845078231E,[]
Cai Lậy Town-4867.jpeg,0.9732596129179,106.17997415845981N,10.4517919101094E,[]
Bac Giang City-1451.jpeg,0.9732219278812408,106.16347291657819N,21.272614943430767E,"['191.jpeg', '190.jpeg']"
Cai Lậy Town-5934.jpeg,0.973083071410656,106.17997415845981N,10.472003911552486E,[]
Duy Tiên District-3437.jpeg,0.9730416387319564,105.94321467287777N,20.645648045531594E,[]
Cai Lậy Town-4086.jpeg,0.9730353876948356,106.17449381797637N,10.43831724248067E,[]
Bac Giang City-2505.jpeg,0.9729781821370124,106.20540567787614N,21.291479478111572E,"['199.jpeg', '200.jpeg']"
Chau Doc City-2406.jpeg,0.9729181081056596,105.13716055064552N,10.67287807406053E,['476.jpeg']
Thái Bình-607.jpeg,0.9728828221559525,106.35939816311522N,20.43116304143958E,[]
Long Xuyen City-876.jpeg,0.9728671610355376,105.48379231957885N,10.328669471374916E,"['932.jpeg', '931.jpeg']"
Go Cong Town-2072.jpeg,0.9728471040725708,106.63749206324476N,10.398084340744397E,[]
Tam Điệp-3396.jpeg,0.97284347563982,105.94406570916391N,20.16820427718152E,[]
Go Cong Town-3316.jpeg,0.9728231728076936,106.64023209212911N,10.425033676001851E,[]
Long Xuyen City-3619.jpeg,0.9727953001856804,105.42077931179409N,10.387958008941302E,[]
Phu Ly City-3939.jpeg,0.9727879837155342,105.9631762706792N,20.580143746085835E,[]
Cai Lậy Town-5869.jpeg,0.9727039858698844,106.18408441382235N,10.470656444789617E,[]
Châu Thành District-6614.jpeg,0.9726089090108871,106.3607895859649N,10.297430873665688E,[]
Duy Tiên District-955.jpeg,0.9726034551858902,105.97920979293177N,20.60387657588136E,[]
Tây Ninh City-2185.jpeg,0.9725174978375436,106.14574414745852N,11.350169973967462E,[]
Duy Tiên District-2980.jpeg,0.9725037068128586,105.99504764575553N,20.638910711717042E,['310.jpeg']
Go Cong Town-2498.jpeg,0.9723999723792076,106.62379191882302N,10.408864074847378E,[]
Phu Ly City-3816.jpeg,0.972396932542324,105.94590851654337N,20.577448812560007E,['345.jpeg']
Cai Lậy Town-5377.jpeg,0.9723609536886216,106.1881946691849N,10.461224177449507E,[]
Thái Bình-298.jpeg,0.9722840040922164,106.33782623250777N,20.4217307740992E,[]
Long Hồ District-4167.jpeg,0.9722746983170508,105.92084037531647N,10.198456707449855E,[]
Duy Tiên District-567.jpeg,0.9722694158554076,105.97920979293177N,20.587706974726427E,"['340.jpeg', '341.jpeg']"
Hung Yen City-1201.jpeg,0.9722277894616128,106.09360514840996N,20.636782275029375E,['304.jpeg']
Tam Điệp-1836.jpeg,0.9722113907337188,105.92253450785479N,20.146644808974987E,['897.jpeg']
Long Xuyen City-2924.jpeg,0.9721680358052254,105.39201250389236N,10.374483341312578E,['490.jpeg']
Mỹ Hào District-3789.jpeg,0.9721022546291352,106.08487470741343N,20.967572679445905E,[]
Go Cong Town-3338.jpeg,0.9721013307571412,106.67037240985691N,10.425033676001851E,[]
Yên Mỹ District-1153.jpeg,0.9720969125628472,106.0205108548486N,20.873402075391663E,[]
Cao Lanh City-3056.jpeg,0.9720201641321182,105.58791183307821N,10.46348580695066E,['499.jpeg']
Cai Lậy Town-5575.jpeg,0.9718648344278336,106.16764339237213N,10.465266577738122E,[]
Phu Ly City-821.jpeg,0.9718251302838326,105.96173729116788N,20.522202675280678E,[]
Go Cong Town-4049.jpeg,0.9717848226428032,106.65941229431952N,10.4371608768677E,['847.jpeg']
Duy Tiên District-4873.jpeg,0.9717132076621056,105.99216803615124N,20.66586004697526E,['318.jpeg']
Thanh Liêm District-6526.jpeg,0.9716915115714072,105.98509988924968N,20.492216815120244E,[]
Thanh Liêm District-5006.jpeg,0.971683956682682,105.91319704556706N,20.470657346913683E,[]
Long Hồ District-4236.jpeg,0.9716674834489822,105.91673263947999N,10.19980417421273E,[]
Duy Tiên District-1168.jpeg,0.9716553688049316,105.9417748680756N,20.610613909695914E,[]
Hung Yen City-3566.jpeg,0.9716274663805962,106.0619234989742N,20.712240413752408E,[]
Thái Bình-714.jpeg,0.9715541750192642,106.34070248992211N,20.433857974965385E,[]
Go Cong Town-2724.jpeg,0.9715496674180032,106.61146178884346N,10.414253941898867E,[]
Duy Tiên District-3077.jpeg,0.9715471938252448,105.99216803615124N,20.640258178479957E,['311.jpeg']
Duy Tiên District-1840.jpeg,0.9715245440602304,105.99072823134907N,20.622741110562114E,[]
Go Cong Town-1448.jpeg,0.9715226292610168,106.67722248206778N,10.380567272827056E,[]
Hoa Lư District-3888.jpeg,0.9715181142091752,105.95358020079591N,20.2896195141941E,"['408.jpeg', '414.jpeg']"
Go Cong Town-259.jpeg,0.971479557454586,106.66215232320387N,10.348228070518116E,[]
Châu Thành District-6160.jpeg,0.9714621603488922,106.30053189425135N,10.294735940139942E,[]
Cai Lậy Town-4438.jpeg,0.9714556485414504,106.11283998753794N,10.445054576295032E,[]
Thái Bình-2083.jpeg,0.9714426398277284,106.35364564828656N,20.462154776986495E,"['451.jpeg', '450.jpeg']"
Go Cong Town-336.jpeg,0.9714194759726524,106.66352233764604N,10.350923004043862E,['857.jpeg']
Trà Vinh City-1018.jpeg,0.971393272280693,106.32492539803008N,9.92840437241054E,[]
Go Cong Town-2116.jpeg,0.9713898822665216,106.62653194770735N,10.399431807507273E,[]
Long Xuyen City-3817.jpeg,0.9713842645287514,105.44269687971922N,10.392000409229915E,[]
Thái Bình-2479.jpeg,0.9713837876915932,106.3780938363084N,20.47158704432686E,"['458.jpeg', '859.jpeg']"
Duy Tiên District-2232.jpeg,0.9713362008333206,106.00944569377715N,20.62813097761375E,"['316.jpeg', '315.jpeg']"
Duy Tiên District-3604.jpeg,0.971300669014454,105.90146033361509N,20.64834297905743E,"['325.jpeg', '326.jpeg', '327.jpeg']"
Cao Lanh City-2252.jpeg,0.9712908193469048,105.65368325070345N,10.44596873903332E,"['953.jpeg', '952.jpeg']"
Mỹ Tho-1197.jpeg,0.9712779223918916,106.41493719836943N,10.350269938431039E,[]
Go Cong Town-2262.jpeg,0.971219502389431,106.67722248206778N,10.402126741033015E,"['851.jpeg', '54.jpeg']"
Go Cong Town-2054.jpeg,0.9712128192186356,106.68544256872082N,10.396736873981526E,[]
Cai Lậy Town-6007.jpeg,0.9711393639445304,106.09776905120856N,10.474698845078231E,[]
Cai Lậy Town-6047.jpeg,0.9710922390222548,106.1525724560427N,10.474698845078231E,[]
Cai Lậy Town-3585.jpeg,0.9710691794753076,106.1827143287015N,10.428884975140564E,[]
Phu Ly City-820.jpeg,0.9710513427853584,105.96029831165657N,20.522202675280678E,[]
Go Cong Town-823.jpeg,0.971032589673996,106.6662623665304N,10.364397671672586E,[]
Go Cong Town-1651.jpeg,0.97102028131485,106.68544256872082N,10.385957139878546E,[]
Duy Tiên District-1656.jpeg,0.971019633114338,105.98928842654688N,20.62004617703629E,[]
Thanh Liêm District-5473.jpeg,0.971019208431244,105.8973784199569N,20.47739468072824E,['383.jpeg']
Trà Vinh City-819.jpeg,0.9710013717412947,106.32902954770172N,9.920319571833314E,[]
Châu Thành District-10168.jpeg,0.9709962904453278,106.36489806494536N,10.325727675686002E,[]
Tam Điệp-1586.jpeg,0.9709950312972068,105.89239082602198N,20.142602408686262E,[]
Phu Ly City-4222.jpeg,0.9709757715463638,105.93583565996408N,20.59092348018912E,[]
Phu Ly City-28.jpeg,0.9709691181778908,105.90417811071508N,20.489863472970836E,[]
Duy Tiên District-5395.jpeg,0.9708747267723083,106.01376510818362N,20.675292314315648E,[]
Go Cong Town-4481.jpeg,0.9708599150180816,106.65256222210868N,10.447940610970683E,[]
Thanh Liêm District-6477.jpeg,0.9708401635289192,105.90456870432516N,20.492216815120244E,[]
Bac Giang City-1517.jpeg,0.9708345979452132,106.16347291657819N,21.273962410193683E,"['191.jpeg', '190.jpeg']"
Hung Yen City-1350.jpeg,0.9708329886198044,106.07632424871774N,20.64082467531811E,[]
Thái Bình-548.jpeg,0.970822349190712,106.35939816311522N,20.429815574676653E,[]
Go Cong Town-199.jpeg,0.970794513821602,106.67448245318344N,10.345533136992373E,[]
Tam Điệp-2166.jpeg,0.9707887172698976,105.92971157495782N,20.15203467602662E,[]
Tây Ninh City-356.jpeg,0.970749981701374,106.09076737156332N,11.308398504318339E,['986.jpeg']
Phu Ly City-2183.jpeg,0.9707294553518296,105.89554423364714N,20.545109610250154E,[]
Duy Tiên District-592.jpeg,0.9707155525684356,105.97776998812962N,20.589054441489335E,"['340.jpeg', '341.jpeg']"
Duy Tiên District-3644.jpeg,0.9707002341747284,105.95905252570155N,20.64834297905743E,['618.jpeg']
Long Hồ District-1355.jpeg,0.9706450030207634,105.91673263947999N,10.162075104852311E,['34.jpeg']
Go Cong Town-1365.jpeg,0.9706237614154816,106.63338201991824N,10.379219806064183E,[]
Long Hồ District-3135.jpeg,0.9706202298402786,105.91125565836468N,10.183634573058265E,[]
Long Hồ District-4377.jpeg,0.970616728067398,105.9181018847588N,10.202499107738472E,[]
Go Cong Town-2923.jpeg,0.9705493897199632,106.61557183216999N,10.418296342187489E,[]
Cai Lậy Town-6120.jpeg,0.9705402553081512,106.16353313700955N,10.476046311841102E,[]
Châu Thành District-6365.jpeg,0.9705312848091124,106.29916240125785N,10.296083406902813E,[]
Thái Bình-289.jpeg,0.9705157801508904,106.32488307414329N,20.4217307740992E,"['445.jpeg', '446.jpeg']"
Go Cong Town-813.jpeg,0.9704780653119088,106.65256222210868N,10.364397671672586E,['845.jpeg']
Cai Lậy Town-4973.jpeg,0.9704723432660104,106.12517075362561N,10.454486843635143E,[]
Thái Bình-742.jpeg,0.970466285943985,106.38097009372268N,20.433857974965385E,"['460.jpeg', '461.jpeg']"
Tam Điệp-2494.jpeg,0.9704326912760736,105.87229503813344N,20.15742454307825E,['886.jpeg']
Hoa Lư District-4103.jpeg,0.9704312086105348,105.96219762730111N,20.29366191448283E,['415.jpeg']
Go Cong Town-3815.jpeg,0.970411203801632,106.66352233764604N,10.43311847657908E,[]
Thái Bình-2278.jpeg,0.9704073891043664,106.31481617319312N,20.46754464403813E,[]
Binh Minh Town-3598.jpeg,0.97040506452322,105.828267715345N,10.078712676190406E,[]
Go Cong Town-1498.jpeg,0.970396988093853,106.67722248206778N,10.381914739589927E,[]
Duy Tiên District-1043.jpeg,0.9703935831785202,105.97201076892097N,20.606571509407175E,[]
Thái Bình-2138.jpeg,0.9703534245491028,106.35076939087223N,20.463502243749414E,[]
Go Cong Town-2728.jpeg,0.9703427255153656,106.61694184661216N,10.414253941898867E,[]
Thái Bình-1621.jpeg,0.9703382179141044,106.39103699467285N,20.451375042883214E,[]
Duy Tiên District-1195.jpeg,0.9703104123473169,105.98064959773394N,20.610613909695914E,['335.jpeg']
Hiệp Hòa District-5523.jpeg,0.9703055322170258,106.0208909897248N,21.333553880712092E,[]
Go Cong Town-4115.jpeg,0.9703009724617004,106.64982219322431N,10.438508343630575E,['53.jpeg']
Hung Yen City-2994.jpeg,0.970275104045868,106.03744222441014N,20.69337587907165E,[]
Long Xuyen City-815.jpeg,0.9702731445431708,105.48653201556947N,10.327322004612043E,"['934.jpeg', '933.jpeg']"
Go Cong Town-4043.jpeg,0.9702611789107324,106.65119220766648N,10.4371608768677E,['53.jpeg']
Thái Bình-2024.jpeg,0.9702491238713264,106.35220751957938N,20.460807310223583E,"['451.jpeg', '450.jpeg']"
Thái Bình-929.jpeg,0.9702199697494508,106.36371254923672N,20.437900375254113E,['459.jpeg']
Bac Giang City-1970.jpeg,0.9702154099941254,106.16925674572272N,21.28204721077117E,"['195.jpeg', '194.jpeg']"
Bến Tre City-1622.jpeg,0.9702080562710762,106.40498635734843N,10.23676267278597E,['717.jpeg']
Hiệp Hòa District-4017.jpeg,0.9701955020427704,105.90227351799868N,21.313341879268368E,[]
Thái Bình-1124.jpeg,0.9701677858829498,106.35364564828656N,20.441942775542838E,['443.jpeg']
Thái Bình-761.jpeg,0.970161721110344,106.31481617319312N,20.435205441728296E,['430.jpeg']
Thái Bình-299.jpeg,0.9700616523623466,106.33926436121493N,20.4217307740992E,[]
Duy Tiên District-5149.jpeg,0.9700519666075706,105.92161760084535N,20.67124991402691E,[]
Hiệp Hòa District-9303.jpeg,0.9700488448143004,106.00642544439235N,21.399579752094933E,[]
Bac Giang City-1386.jpeg,0.9700443968176842,106.16347291657819N,21.271267476667855E,"['191.jpeg', '190.jpeg']"
Cai Lậy Town-2614.jpeg,0.9700179621577264,106.13887160483415N,10.410020440460348E,['86.jpeg']
Thanh Liêm District-3226.jpeg,0.9699993580579758,105.9577768086503N,20.44505547841839E,[]
Duy Tiên District-4760.jpeg,0.9699944406747818,105.9417748680756N,20.66451258021235E,"['324.jpeg', '323.jpeg']"
Go Cong Town-298.jpeg,0.969985380768776,106.66489235208824N,10.34957553728099E,['857.jpeg']
Chau Doc City-4650.jpeg,0.9699749872088432,105.11522045413554N,10.714649543709605E,['466.jpeg']
Phu Ly City-50.jpeg,0.9699706360697746,105.90417811071508N,20.492558406496656E,[]
Sa Đéc City-1156.jpeg,0.969960168004036,105.743601672748N,10.303100272517458E,['525.jpeg']
Hiệp Hòa District-4615.jpeg,0.9699513539671898,105.97749435372745N,21.321426679845857E,[]
Go Cong Town-3310.jpeg,0.9699470549821854,106.63201200547607N,10.425033676001851E,[]
Go Cong Town-227.jpeg,0.9699262753129004,106.6662623665304N,10.346880603755244E,[]
Tây Ninh City-761.jpeg,0.9699060097336768,106.11413250131875N,11.31917823842134E,['615.jpeg']
Hung Yen City-1316.jpeg,0.9698951914906502,106.10080552328174N,20.6394772085552E,[]
Tam Điệp-1576.jpeg,0.9698846936225892,105.87803669181591N,20.142602408686262E,"['892.jpeg', '889.jpeg']"
Thái Bình-706.jpeg,0.969883881509304,106.32919746026477N,20.433857974965385E,['433.jpeg']
Tam Điệp-2689.jpeg,0.9698671624064444,105.87085962471284N,20.16011947660407E,['429.jpeg']
Chau Doc City-1374.jpeg,0.9698331579566002,105.12070547826302N,10.655361006143185E,['960.jpeg']
Hiệp Hòa District-8229.jpeg,0.9698174968361856,105.98038746279394N,21.373977883599547E,[]
Cao Lanh City-3509.jpeg,0.969802737236023,105.6482022992347N,10.47291807429077E,['20.jpeg']
Go Cong Town-1250.jpeg,0.9697879180312156,106.68544256872082N,10.375177405775567E,[]
Bac Giang City-2928.jpeg,0.9697734862565994,106.17937844672568N,21.300911745451973E,['196.jpeg']
Long Hồ District-1249.jpeg,0.9697631374001504,105.9181018847588N,10.16072763808944E,['34.jpeg']
Tam Điệp-4597.jpeg,0.9697630405426024,105.87660127839526N,20.187068811862233E,[]
Phu Ly City-3808.jpeg,0.9697472527623175,105.93439668045279N,20.577448812560007E,[]
Tam Điệp-2441.jpeg,0.969744011759758,105.93258240179902N,20.156077076315338E,[]
Chau Doc City-428.jpeg,0.9697408974170684,105.09876538175307N,10.632454071174338E,['477.jpeg']
Duy Tiên District-3703.jpeg,0.969739742577076,105.90290013841727N,20.649690445820323E,"['325.jpeg', '326.jpeg', '327.jpeg']"
Hoa Lư District-4102.jpeg,0.9697155132889748,105.96076138955021N,20.29366191448283E,['415.jpeg']
Go Cong Town-2907.jpeg,0.9697106182575226,106.68544256872082N,10.416948875424618E,[]
Go Cong Town-1819.jpeg,0.9697095975279808,106.64160210657127N,10.391347006930033E,['604.jpeg']
Go Cong Town-2276.jpeg,0.9696918055415154,106.6964026842582N,10.402126741033015E,[]
Go Cong Town-266.jpeg,0.969685934484005,106.67174242429908N,10.348228070518116E,[]
Go Cong Town-125.jpeg,0.969647616147995,106.66215232320387N,10.342838203466629E,[]
Châu Thành District-6454.jpeg,0.969637967646122,106.42104727767847N,10.296083406902813E,[]
Go Cong Town-760.jpeg,0.9696350544691086,106.65393223655084N,10.363050204909717E,['845.jpeg']
Tam Điệp-4652.jpeg,0.9696273282170296,105.88234293207772N,20.188416278625144E,['885.jpeg']
Go Cong Town-218.jpeg,0.9696143195033072,106.65393223655084N,10.346880603755244E,[]
Chau Doc City-4764.jpeg,0.9695969820022584,105.11110668603992N,10.72273434428684E,"['7.jpeg', '6.jpeg']"
Yên Mỹ District-551.jpeg,0.9695933610200882,106.06522281735626N,20.859927407762545E,"['257.jpeg', '256.jpeg']"
Hung Yen City-3244.jpeg,0.9695889502763748,106.05904334902549N,20.701460679649117E,"['271.jpeg', '272.jpeg']"
Hung Yen City-1064.jpeg,0.9695750027894974,106.07920439866642N,20.63408734150355E,['301.jpeg']
Tây Ninh City-2081.jpeg,0.969526581466198,106.09351621035809N,11.348822507204586E,['609.jpeg']
Yên Mỹ District-3472.jpeg,0.9695162773132324,106.00608764113643N,20.912478611516125E,"['108.jpeg', '625.jpeg']"
Long Hồ District-1516.jpeg,0.9694729074835776,105.98930263925763N,10.163422571615186E,[]
Hiệp Hòa District-9242.jpeg,0.9694505780935287,105.99485300812638N,21.398232285332025E,"['134.jpeg', '133.jpeg']"
Go Cong Town-3178.jpeg,0.9694442078471184,106.67448245318344N,10.422338742476105E,[]
Thái Bình-2478.jpeg,0.969421960413456,106.3766557076012N,20.47158704432686E,"['458.jpeg', '859.jpeg']"
Hung Yen City-819.jpeg,0.9694172069430352,106.10368567323044N,20.628697474451904E,[]
Tam Điệp-3622.jpeg,0.96936596930027,105.94406570916391N,20.17089921070733E,[]
Thái Bình-1314.jpeg,0.9693647250533104,106.33351184638626N,20.445985175831574E,"['860.jpeg', '438.jpeg']"
Cao Lanh City-4391.jpeg,0.9693400785326958,105.58791183307821N,10.491782608970986E,[]
Binh Minh Town-1084.jpeg,0.9693151861429214,105.83647841918126N,10.020771605386921E,['31.jpeg']
Tam Điệp-4178.jpeg,0.9693105220794678,105.90530954680744N,20.178984011284783E,[]
Long Hồ District-5516.jpeg,0.9693050757050514,105.94274829977763N,10.225406042707299E,"['562.jpeg', '563.jpeg']"
Cai Lậy Town-6454.jpeg,0.969297505915165,106.13613143459246N,10.485478579181216E,[]
Cai Lậy Town-5980.jpeg,0.9692901596426964,106.15120237092184N,10.473351378315359E,[]
Long Hồ District-1058.jpeg,0.9692791327834128,105.94822528089293N,10.158032704563702E,[]
Tây Ninh City-2041.jpeg,0.9692765697836876,106.12925111468995N,11.347475040441713E,[]
Cao Lanh City-4206.jpeg,0.9692732095718384,105.61531659042207N,10.487740208682368E,['509.jpeg']
Thái Bình-2764.jpeg,0.9692462310194968,106.36658880665104N,20.47967184490432E,[]
Cao Lanh City-2530.jpeg,0.9692340716719628,105.6427213477659N,10.45135860608481E,['949.jpeg']
Chau Doc City-1540.jpeg,0.969172053039074,105.05214267666935N,10.6594034064318E,['478.jpeg']
Duy Tiên District-2962.jpeg,0.9691550135612488,105.96913115931666N,20.638910711717042E,['338.jpeg']
Go Cong Town-880.jpeg,0.9691523611545564,106.67037240985691N,10.365745138435459E,['858.jpeg']
Chau Doc City-2905.jpeg,0.9691476747393608,105.09465161365743N,10.680962874637771E,['464.jpeg']
Bến Tre City-3200.jpeg,0.969145566225052,106.33926163933714N,10.267754408332031E,"['704.jpeg', '698.jpeg', '689.jpeg']"
Mỹ Hào District-1321.jpeg,0.9691347181797028,106.13536618739911N,20.92041134274396E,[]
Long Xuyen City-4576.jpeg,0.9691171944141388,105.41393007181749N,10.410864943910134E,['936.jpeg']
Duy Tiên District-969.jpeg,0.969106636941433,105.93313603926266N,20.605224042644267E,"['330.jpeg', '332.jpeg', '331.jpeg']"
Thái Bình-304.jpeg,0.9690656736493112,106.34645500475075N,20.4217307740992E,['462.jpeg']
Thái Bình-2349.jpeg,0.9690643325448036,106.34070248992211N,20.468892110801047E,[]
Cai Lậy Town-4166.jpeg,0.9690530002117156,106.17449381797637N,10.439664709243544E,[]
Thái Bình-928.jpeg,0.96903195977211,106.36227442052956N,20.437900375254113E,['459.jpeg']
Duy Tiên District-2963.jpeg,0.9690220579504968,105.97057096411882N,20.638910711717042E,['338.jpeg']
Go Cong Town-680.jpeg,0.9690180942416192,106.6922926409317N,10.36035527138397E,['854.jpeg']
Thái Bình-2530.jpeg,0.969014711678028,106.3780938363084N,20.472934511089775E,"['458.jpeg', '859.jpeg']"
Bac Giang City-2450.jpeg,0.96901186555624,106.22564907988206N,21.290132011348653E,[]
Cai Lậy Town-6119.jpeg,0.9689861610531808,106.16216305188868N,10.476046311841102E,[]
Tam Điệp-2323.jpeg,0.968934528529644,105.8966970662838N,20.15472960955243E,['891.jpeg']
Mỹ Hào District-3736.jpeg,0.968913771212101,106.07477641141628N,20.964877745920074E,"['107.jpeg', '621.jpeg']"
Cai Lậy Town-4089.jpeg,0.9689025953412056,106.17860407333892N,10.43831724248067E,[]
Sa Đéc City-760.jpeg,0.9688955023884772,105.76414617589354N,10.289625604888732E,['909.jpeg']
Bac Giang City-2458.jpeg,0.9688920453190804,106.23721673817117N,21.290132011348653E,[]
Binh Minh Town-2294.jpeg,0.968841888010502,105.84468912301752N,10.046373473881486E,[]
Binh Minh Town-4290.jpeg,0.9688409045338632,105.85837362941128N,10.097577210870606E,[]
Phu Ly City-3982.jpeg,0.9688345715403556,105.95166443458864N,20.58149121284874E,['620.jpeg']
Tam Điệp-2340.jpeg,0.968823440372944,105.92109909443417N,20.15472960955243E,"['896.jpeg', '894.jpeg', '895.jpeg']"
Hiệp Hòa District-3904.jpeg,0.9688186049461364,106.00642544439235N,21.310646945742537E,['180.jpeg']
Châu Thành District-8127.jpeg,0.9688144400715828,106.27451152737501N,10.308210607768663E,[]
Duy Tiên District-86.jpeg,0.9688072353601456,105.97057096411882N,20.56480003975695E,['342.jpeg']
Phu Ly City-1778.jpeg,0.9688068628311156,105.8984221926698N,20.538372276435606E,[]
Mỹ Hào District-2150.jpeg,0.9688054025173188,106.14690709711016N,20.936580943898907E,['216.jpeg']
Hoa Lư District-3999.jpeg,0.9687656834721564,105.90905683051905N,20.29231444771992E,"['411.jpeg', '410.jpeg']"
