image,pred,lon,lat,ward
NONE,NONE,11880028.970519088,1216581.452525829,Hiep Binh Phuoc Ward
NONE,NONE,11880138.10814786,1216473.9441023597,Hiep Binh Phuoc Ward
NONE,NONE,11880047.349367017,1217493.8426571242,Hiep Binh Phuoc Ward
NONE,NONE,11880620.021355454,1217675.8212502035,Tam Binh Ward
NONE,NONE,11880461.279761584,1217912.1273672648,Binh Chieu Ward
NONE,NONE,11880311.699761804,1218034.9274892616,Binh Chieu Ward
NONE,NONE,11880267.828750484,1218296.3706299174,Binh Chieu Ward
NONE,NONE,11880701.273451785,1218463.6171303245,Binh Chieu Ward
NONE,NONE,11880204.076078106,1219007.9765544196,Binh Chieu Ward
NONE,NONE,11880013.140887495,1219016.2710205973,Binh Chieu Ward
NONE,NONE,11880736.695313755,1219705.4760677102,Binh Chieu Ward
NONE,NONE,11880948.024235075,1219787.8908693397,Binh Chieu Ward
NONE,NONE,11880234.9672368,1220040.8907510245,Binh Chieu Ward
NONE,NONE,11880170.546647478,1220040.7377119306,Binh Chieu Ward
NONE,NONE,11879887.00477248,1220277.946873532,Binh Chieu Ward
NONE,NONE,11879256.713815607,1220140.5363529013,Binh Chieu Ward
NONE,NONE,11881095.433504786,1219882.8142065932,Binh Chieu Ward
NONE,NONE,11880599.293666268,1218740.3884420546,Binh Chieu Ward
NONE,NONE,11881173.780162403,1217807.799984198,Binh Chieu Ward
NONE,NONE,11881513.594040005,1217576.544517615,Binh Chieu Ward
NONE,NONE,11881454.138299968,1217755.1886626289,Tam Binh Ward
NONE,NONE,11881356.600162135,1217797.338471488,Binh Chieu Ward
NONE,NONE,11881174.002801389,1217807.3828385433,Binh Chieu Ward
NONE,NONE,11881510.666337391,1218082.4733787014,Binh Chieu Ward
NONE,NONE,11881491.463725232,1218108.0917809575,Binh Chieu Ward
NONE,NONE,11881447.626109757,1218268.5756430912,Binh Chieu Ward
NONE,NONE,11881220.211522017,1218399.8958213397,Binh Chieu Ward
NONE,NONE,11881114.84762398,1218601.1296503532,Binh Chieu Ward
NONE,NONE,11881243.788990166,1218603.2063590644,Binh Chieu Ward
NONE,NONE,11881456.89902334,1218653.0984173634,Binh Chieu Ward
NONE,NONE,11881651.363041809,1218554.650857013,Binh Chieu Ward
NONE,NONE,11881038.05943923,1218840.8577213988,Binh Chieu Ward
NONE,NONE,11880861.17276836,1219050.438529441,Binh Chieu Ward
NONE,NONE,11882276.600093797,1218123.0751546037,Binh Chieu Ward
NONE,NONE,11882298.652484922,1218135.627050802,Binh Chieu Ward
NONE,NONE,11882481.372297112,1218058.1189111962,Binh Chieu Ward
NONE,NONE,11882493.094239492,1218061.0956303696,Binh Chieu Ward
NONE,NONE,11882548.631533448,1218039.2531377005,Binh Chieu Ward
NONE,NONE,11882674.968023548,1217997.9940009443,Binh Chieu Ward
NONE,NONE,11885124.698133793,1218098.507548991,Linh Xuan Ward
NONE,NONE,11885130.854101634,1218393.5977190156,Linh Xuan Ward
NONE,NONE,11884619.20745805,1218632.1125252314,Linh Xuan Ward
NONE,NONE,11884664.892977072,1218653.2525837447,Linh Xuan Ward
NONE,NONE,11884897.372601643,1218801.9497871,Linh Xuan Ward
NONE,NONE,11885257.12380004,1218432.3997611734,Linh Xuan Ward
NONE,NONE,11885299.00219248,1218499.1568349022,Linh Xuan Ward
NONE,NONE,11884741.79248131,1219024.5915613545,Linh Xuan Ward
NONE,NONE,11884975.53001613,1219525.9283293604,Linh Xuan Ward
NONE,NONE,11885252.025367362,1219530.9252633366,Linh Xuan Ward
NONE,NONE,11885196.087323235,1220013.4457512624,Linh Xuan Ward
NONE,NONE,11886230.690670673,1218410.7928107283,Linh Xuan Ward
NONE,NONE,11885978.85258665,1218341.4853882345,Linh Xuan Ward
NONE,NONE,11885946.258239746,1218229.7318472266,Linh Xuan Ward
NONE,NONE,11885754.120798638,1218696.2423601355,Linh Xuan Ward
NONE,NONE,11885872.987750905,1218619.2056355884,Linh Xuan Ward
NONE,NONE,11886054.104562426,1218455.8476426017,Linh Xuan Ward
NONE,NONE,11885548.64728253,1218242.3461289746,Linh Xuan Ward
NONE,NONE,11885354.739861518,1218397.9494854168,Linh Xuan Ward
NONE,NONE,11885363.4227818,1218338.2569927643,Linh Xuan Ward
NONE,NONE,11885448.259365732,1217785.0587522252,Linh Xuan Ward
NONE,NONE,11882447.353060724,1217614.8083232571,Tam Binh Ward
NONE,NONE,11882695.773636378,1217560.5241973435,Binh Chieu Ward
NONE,NONE,11881984.720388936,1217217.532695176,Tam Binh Ward
NONE,NONE,11882730.371734116,1216948.6812786837,Tam Binh Ward
NONE,NONE,11882988.58842496,1216962.7301184256,Tam Binh Ward
NONE,NONE,11882522.282209978,1216763.921555937,Tam Binh Ward
NONE,NONE,11882050.755110877,1216944.5178629598,Tam Binh Ward
NONE,NONE,11881690.313731637,1216926.5651930212,Tam Binh Ward
NONE,NONE,11881631.247609822,1216965.9391127334,Tam Binh Ward
NONE,NONE,11881428.902171403,1217116.5105460414,Tam Binh Ward
NONE,NONE,11880629.093893953,1216555.78200509,Tam Binh Ward
NONE,NONE,11881006.055085627,1217040.25841788,Tam Binh Ward
NONE,NONE,11881011.031066868,1216900.4591397224,Hiep Binh Phuoc Ward
NONE,NONE,11880776.803726288,1216809.2609727646,Hiep Binh Phuoc Ward
NONE,NONE,11880629.238609292,1216562.9185597913,Tam Binh Ward
NONE,NONE,11880139.221342769,1216475.325842894,Hiep Binh Phuoc Ward
NONE,NONE,11880233.965361385,1216395.9160930584,Hiep Binh Phuoc Ward
NONE,NONE,11880287.521168403,1216011.7216204717,Hiep Binh Phuoc Ward
NONE,NONE,11880321.52927284,1215930.0006484748,Hiep Binh Phuoc Ward
NONE,NONE,11880713.54085967,1215879.0709354312,Hiep Binh Phuoc Ward
NONE,NONE,11880399.27480521,1215764.2458643627,Hiep Binh Phuoc Ward
NONE,NONE,11880471.142668469,1215335.7117041608,Hiep Binh Phuoc Ward
NONE,NONE,11880448.411228448,1215349.594388593,Hiep Binh Phuoc Ward
NONE,NONE,11880362.706352483,1215457.9448102517,Hiep Binh Phuoc Ward
NONE,NONE,11880154.505508857,1215415.870456891,Hiep Binh Phuoc Ward
NONE,NONE,11880112.794095654,1215236.6197887363,Hiep Binh Phuoc Ward
NONE,NONE,11879866.143499903,1215398.9942580196,Hiep Binh Phuoc Ward
NONE,NONE,11879894.218275484,1215224.017962011,Hiep Binh Phuoc Ward
NONE,NONE,11880251.564972878,1214865.6726196902,Hiep Binh Phuoc Ward
NONE,NONE,11880018.673466189,1214935.5407834176,Hiep Binh Phuoc Ward
NONE,NONE,11880005.537766276,1214945.6931126956,Hiep Binh Phuoc Ward
NONE,NONE,11880236.047035862,1214761.168740464,Hiep Binh Phuoc Ward
NONE,NONE,11880369.808536,1214693.6891020243,Hiep Binh Phuoc Ward
NONE,NONE,11880053.48307096,1214336.7151521351,Hiep Binh Phuoc Ward
NONE,NONE,11880165.18104802,1214179.20590462,Hiep Binh Phuoc Ward
NONE,NONE,11879822.127773244,1214093.0712664677,Hiep Binh Phuoc Ward
NONE,NONE,11879788.83211355,1214202.437755733,Hiep Binh Phuoc Ward
NONE,NONE,11880166.260847082,1214173.6577823122,Hiep Binh Phuoc Ward
NONE,NONE,11879350.656333888,1213471.6185168242,Hiep Binh Phuoc Ward
NONE,NONE,11878965.357312351,1213382.9003902313,Hiep Binh Phuoc Ward
NONE,NONE,11878907.460045192,1213565.2082540072,Hiep Binh Phuoc Ward
NONE,NONE,11879226.279066823,1213827.2153284722,Hiep Binh Phuoc Ward
NONE,NONE,11879318.74103588,1214096.9589097411,Hiep Binh Phuoc Ward
NONE,NONE,11879251.448403692,1214181.7073770177,Hiep Binh Phuoc Ward
NONE,NONE,11879186.638196154,1214296.0861810988,Hiep Binh Phuoc Ward
NONE,NONE,11879311.972810837,1214413.1890136246,Hiep Binh Phuoc Ward
NONE,NONE,11879788.164196605,1214199.4659095204,Hiep Binh Phuoc Ward
NONE,NONE,11879407.963607747,1214979.774902168,Hiep Binh Phuoc Ward
NONE,NONE,11879613.39259606,1214940.844204797,Hiep Binh Phuoc Ward
NONE,NONE,11879894.630157596,1215183.270047451,Hiep Binh Phuoc Ward
