Unnamed: 0,image,pred,lat,lon,found_Anditi
7236,Go Cong Town-2784.jpeg,0.8937479108572006,10.414253941898867N,106.69366265537386E,[]
7244,Cai Lậy Town-5212.jpeg,0.8936470821499825,10.458529243923762N,106.15668271140524E,[]
7248,Cao Lanh City-1134.jpeg,0.8935930579900742,10.428451671115972N,105.60161421175015E,[]
7251,Hiệp Hòa District-909.jpeg,0.8935097008943558,21.25944320875178N,105.97749435372745E,['169.jpeg']
7253,Tam Điệp-2796.jpeg,0.8934466987848282,20.16146694336698N,105.87803669181591E,[]
7254,Cai Lậy Town-109.jpeg,0.8934382051229477,10.358816703471197N,106.12928100898819E,[]
7255,Thái Bình-1066.jpeg,0.8934341594576836,20.440595308779933N,106.3680269353582E,[]
7257,Cai Lậy Town-5287.jpeg,0.8933973759412766,10.459876710686634N,106.16216305188868E,[]
7258,Thái Bình-2622.jpeg,0.8933865800499916,20.475629444615592N,106.3680269353582E,[]
7260,Long Hồ District-4442.jpeg,0.8933741673827171,10.202499107738472N,106.00710282788233E,[]
7261,Ninh Bình-1430.jpeg,0.8933668658137321,20.250959742820164N,105.96439959272529E,[]
7262,Cai Lậy Town-4107.jpeg,0.8933536931872368,10.439664709243544N,106.09365879584597E,[]
7267,Go Cong Town-1105.jpeg,0.8932710513472557,10.371135005486948N,106.69366265537386E,[]
7268,Cai Lậy Town-3511.jpeg,0.8932576701045036,10.427537508377691N,106.17312373285549E,[]
7269,Long Hồ District-5935.jpeg,0.8932448849081993,10.233490843284528N,105.94411754505647E,[]
7276,Tây Ninh City-5470.jpeg,0.893146850168705,11.405416111245337N,106.1127580819214E,[]
7281,Ninh Bình-509.jpeg,0.8930962458252907,20.228052807850712N,105.95721863258582E,[]
7288,Bac Giang City-913.jpeg,0.8930216431617737,21.259140275801617N,106.19672993415931E,[]
7296,Bến Tre City-2185.jpeg,0.8928797990083694,10.246194940126077N,106.40909415222414E,[]
7298,Tây Ninh City-633.jpeg,0.8928683549165726,11.316483304895591N,106.08114643578168E,[]
7301,Thanh Liêm District-5869.jpeg,0.8928269520401955,20.482784547779872N,105.91894927306168E,[]
7304,Go Cong Town-4088.jpeg,0.8927798196673393,10.438508343630575N,106.61283180328563E,[]
7307,Binh Minh Town-1162.jpeg,0.8927479013800621,10.022119072149795N,105.86111053069003E,[]
7309,Vĩnh Long-925.jpeg,0.8927313908934593,10.24764993811426N,105.90487863538168E,[]
7310,Mỹ Tho-2421.jpeg,0.8927302062511444,10.371829406636992N,106.34918643792071E,[]
7311,Cao Lanh City-2961.jpeg,0.8927214369177818,10.460790873424916N,105.61942730402366E,[]
7319,Hiệp Hòa District-7696.jpeg,0.8926348611712456,21.36454561625914N,105.9413304903963E,[]
